Time,Threshold
0.231544,4294967295
2.0959,10200
22.8361,41140
38.4622,33320
54.7069,29240
69.8918,28900
86.6388,30600
94.8262,30260
112.085,29240
120.273,28900
136.889,27540
151.443,26860
166.856,25500
181.852,24820
197.057,24480
211.801,21420
225.614,19720
239.097,16320
249.948,14620
262.025,3740
271.411,4420
274.941,5100
278.219,4760
281.056,3740
287.423,3400
290.26,3060
293.727,3740
296.753,3400
299.337,2380
301.733,1700
305.011,2720
307.217,2040
309.487,1700
311.882,2380
313.774,2040
315.476,1360
317.871,2380
319.573,1700
321.149,1360
323.293,2040
345.294,37740
359.66,37060
375.805,29240
