Time,Goodput
1.0001,2476
2.0001,5910
3.0001,6304
4.0001,6304
5.0001,6304
6.0001,6304
7.0001,6304
8.0001,6304
9.0001,6304
10.0001,5910
11.0001,6304
12.0001,6304
13.0001,6304
14.0001,6304
15.0001,6304
16.0001,6304
17.0001,5910
18.0001,6304
19.0001,6304
20.0001,6304
21.0001,6304
22.0001,6304
23.0001,6304
24.0001,5910
25.0001,6304
26.0001,6304
27.0001,6304
28.0001,6304
29.0001,6304
30.0001,6304
31.0001,5910
32.0001,6304
33.0001,6304
34.0001,6304
35.0001,6304
36.0001,6304
37.0001,6304
38.0001,6304
39.0001,5910
40.0001,6304
41.0001,6304
42.0001,6304
43.0001,2758
44.0001,3152
45.0001,3940
46.0001,4728
47.0001,4728
48.0001,5122
49.0001,5516
50.0001,6304
51.0001,6304
52.0001,5910
53.0001,6304
54.0001,6304
55.0001,6304
56.0001,6304
57.0001,6304
58.0001,6304
59.0001,5910
60.0001,6304
61.0001,6304
62.0001,6304
63.0001,6304
64.0001,6304
65.0001,6304
66.0001,5910
67.0001,6304
68.0001,6304
69.0001,6304
70.0001,6304
71.0001,6304
72.0001,6304
73.0001,5910
74.0001,6304
75.0001,6304
76.0001,6304
77.0001,6304
78.0001,6304
79.0001,6304
80.0001,6304
81.0001,5910
82.0001,6304
83.0001,6304
84.0001,6304
85.0001,6304
86.0001,6304
87.0001,6304
88.0001,5910
89.0001,6304
90.0001,6304
91.0001,6304
92.0001,6304
93.0001,6304
94.0001,6304
95.0001,5910
96.0001,6304
97.0001,6304
98.0001,6304
99.0001,6304
100,6304
101,6304
102,6304
103,5910
104,6304
105,6304
106,6304
107,6304
108,6304
109,6304
110,5910
111,6304
112,6304
113,6304
114,6304
115,6304
116,6304
117,5910
118,6304
119,6304
120,6304
121,6304
122,6304
123,6304
124,5910
125,6304
126,6304
127,6304
128,6304
129,6304
130,6304
131,6304
132,5910
133,6304
134,6304
135,6304
136,6304
137,6304
138,6304
139,5910
140,6304
141,6304
142,6304
143,6304
144,6304
145,6304
146,5910
147,6304
148,6304
149,6304
150,6304
151,6304
152,6304
153,6304
154,5910
155,6304
156,6304
157,6304
158,6304
159,6304
160,6304
161,5910
162,6304
163,6304
164,6304
165,6304
166,6304
167,6304
168,5910
169,6304
170,6304
171,6304
172,6304
173,6304
174,6304
175,6304
176,5910
177,6304
178,6304
179,6304
180,6304
181,6304
182,6304
183,5910
184,6304
185,6304
186,6304
187,6304
188,6304
189,6304
190,5910
191,6304
192,6304
193,6304
194,6304
195,6304
196,6304
197,5910
198,6304
199,6304
200,6304
201,6304
202,6304
203,6304
204,6304
205,5910
206,6304
207,6304
208,6304
209,6304
210,6304
211,6304
212,5910
213,6304
214,6304
215,6304
216,6304
217,6304
218,6304
219,5910
220,6304
221,6304
222,6304
223,6304
224,6304
225,6304
226,6304
227,5910
228,6304
229,6304
230,6304
231,6304
232,6304
233,6304
234,5910
235,6304
236,6304
237,6304
238,6304
239,6304
240,6304
241,5910
242,6304
243,6304
244,6304
245,6304
246,6304
247,6304
248,6304
249,5910
250,6304
251,6304
252,6304
253,6304
254,11820
255,12608
256,12214
257,12608
258,12608
259,8274
260,5910
261,6304
262,6304
263,6304
264,6304
265,6304
266,6304
267,5910
268,6304
269,6304
270,6304
271,6304
272,6304
273,6304
274,5910
275,6304
276,6304
277,6304
278,6304
279,6304
280,6304
281,6304
282,5910
283,6304
284,6304
285,6304
286,6304
287,6304
288,6304
289,5910
290,6304
291,6304
292,6304
293,6304
294,6304
295,6304
296,5910
297,6304
298,6304
299,6304
300,6304
301,6304
302,6304
303,5910
304,6304
305,6304
306,6304
307,6304
308,6304
309,6304
310,6304
311,5910
312,6304
313,6304
314,6304
315,6304
316,6304
317,6304
318,5910
319,6304
320,6304
321,6304
322,6304
323,6304
324,6304
325,5910
326,6304
327,6304
328,6304
329,6304
330,6304
331,6304
332,6304
333,5910
334,6304
335,6304
336,6304
337,6304
338,6304
339,6304
340,5910
341,6304
342,6304
343,6304
344,6304
345,6304
346,6304
347,5910
348,6304
349,6304
350,6304
351,6304
352,6304
353,6304
354,6304
355,5910
356,6304
357,6304
358,6304
359,6304
360,6304
361,6304
362,5910
363,6304
364,6304
365,6304
366,6304
367,6304
368,6304
369,5910
370,6304
371,6304
372,6304
373,6304
374,6304
375,6304
376,5910
377,6304
377.999,6304
