Time,Goodput
0,0
0.231544,58
0.790703,900
0.916783,1688
1.02422,2476
1.1503,3264
1.27638,4052
1.40246,4840
1.52854,5628
1.59158,6022
1.71766,6810
1.84374,7598
1.96982,8386
2.0959,9174
2.22198,9962
2.34806,10750
2.47414,11538
2.60022,12326
2.7263,13114
2.91542,14296
3.0415,15084
3.16758,15872
3.29366,16660
3.41974,17448
3.54582,18236
3.6719,19024
3.79798,19812
3.92406,20600
4.05014,21388
4.17622,22176
4.3023,22964
4.42838,23752
4.55446,24540
4.68054,25328
4.80662,26116
4.9327,26904
5.05878,27692
5.18486,28480
5.31094,29268
5.43702,30056
5.5631,30844
5.68918,31632
5.81526,32420
5.94134,33208
6.06742,33996
6.1935,34784
6.31958,35572
6.44566,36360
6.57174,37148
6.69782,37936
6.8239,38724
6.94998,39512
7.07606,40300
7.20214,41088
7.32822,41876
7.4543,42664
7.58038,43452
7.70646,44240
7.83254,45028
7.95862,45816
8.0847,46604
8.21078,47392
8.33686,48180
8.46294,48968
8.58902,49756
8.7151,50544
8.84118,51332
8.96726,52120
9.09334,52908
9.21942,53696
9.3455,54484
9.47158,55272
9.59766,56060
9.72374,56848
9.84982,57636
9.9759,58424
10.102,59212
10.2281,60000
10.3541,60788
10.4802,61576
10.6063,62364
10.7324,63152
10.8585,63940
10.9845,64728
11.1106,65516
11.2367,66304
11.3628,67092
11.4889,67880
11.6149,68668
11.741,69456
11.8671,70244
11.9932,71032
12.1193,71820
12.2453,72608
12.3714,73396
12.4975,74184
12.6236,74972
12.7497,75760
12.8757,76548
13.0018,77336
13.1279,78124
13.254,78912
13.3801,79700
13.5061,80488
13.6322,81276
13.7583,82064
13.8844,82852
14.0105,83640
14.1365,84428
14.2626,85216
14.3887,86004
14.5148,86792
14.6409,87580
14.7669,88368
14.893,89156
15.0191,89944
15.1452,90732
15.2713,91520
15.3973,92308
15.5234,93096
15.6495,93884
15.7756,94672
15.9017,95460
16.0277,96248
16.1538,97036
16.2799,97824
16.406,98612
16.5321,99400
16.6581,100188
16.7842,100976
16.9103,101764
17.0364,102552
17.1625,103340
17.2885,104128
17.4146,104916
17.5407,105704
17.6668,106492
17.7929,107280
17.9189,108068
18.045,108856
18.1711,109644
18.2972,110432
18.4233,111220
18.5493,112008
18.6754,112796
18.8015,113584
18.9276,114372
19.0537,115160
19.1797,115948
19.3058,116736
19.4319,117524
19.558,118312
19.6841,119100
19.8101,119888
19.9362,120676
20.0623,121464
20.1884,122252
20.3145,123040
20.4405,123828
20.5666,124616
20.6927,125404
20.8188,126192
20.9449,126980
21.0709,127768
21.197,128556
21.3861,129738
28.5727,174654
28.6357,175048
35.0028,214842
35.0658,215236
35.1289,215630
35.1919,216024
35.2549,216418
35.318,216812
35.381,217206
35.4441,217600
35.5071,217994
35.5701,218388
35.6332,218782
35.6962,219176
35.7593,219570
35.8223,219964
36.0114,221146
36.0745,221540
36.1375,221934
36.2005,222328
36.2636,222722
36.3266,223116
36.3897,223510
36.4527,223904
36.5157,224298
36.5788,224692
36.6418,225086
36.7049,225480
36.7679,225874
36.8309,226268
36.894,226662
36.9157,226662
42.1263,259364
42.5854,260940
42.5854,260940
43.0445,261728
43.1076,262122
43.5667,263304
43.6928,263698
44.2149,265668
44.404,266456
44.7371,267638
45.1962,269214
45.3853,270396
45.4483,270396
45.9074,272760
46.0335,273548
46.4296,275124
46.6187,276306
46.8887,277094
47.1409,278670
47.4108,279852
47.4739,280246
47.87,282216
47.996,283004
48.3291,284580
48.5182,285762
48.6443,286550
48.9143,288126
49.1034,289308
49.1664,289702
49.4994,291672
49.6255,292460
49.8777,294036
50.0846,295218
50.2107,296006
50.4629,297582
50.652,298764
50.715,299158
51.0302,301128
51.1563,301916
51.4085,303492
51.5976,304674
51.7237,305462
51.9758,307038
52.165,308220
52.228,308614
52.5432,310584
52.6693,311372
52.9214,312948
53.1106,314130
53.2366,314918
53.4888,316494
53.6779,317676
53.741,318070
54.0562,320040
54.1822,320828
54.4344,322404
