Time,RTO
0.231544,1
0.916783,1.2425
1.02422,1.54082
1.1503,1.85498
1.27638,2.17365
1.40246,2.48925
1.52854,2.16805
1.59158,1.98344
1.71766,1.9671
1.96982,1.80236
2.0959,1.80528
2.22198,1.78031
2.34806,1.73894
2.47414,1.82877
2.60022,1.86407
2.7263,1.93335
2.91542,2.02475
3.0415,2.12977
3.16758,2.24242
3.29366,2.28764
3.41974,2.42895
3.54582,2.4911
3.6719,2.49935
3.79798,2.61372
3.92406,2.65634
4.05014,2.65056
4.17622,2.75493
4.3023,2.79053
4.42838,2.77987
4.55446,2.88094
4.68054,2.84348
4.80662,2.7852
4.9327,2.85683
5.05878,2.87365
5.18486,2.85398
5.31094,2.95273
5.43702,2.98942
5.5631,2.98314
5.68918,3.09061
5.81526,3.13155
5.94134,3.12756
6.06742,3.23595
6.1935,3.27578
6.31958,3.27045
6.44566,3.3774
6.57174,3.4169
6.69782,3.41088
6.8239,3.51694
6.94998,3.55541
7.07606,3.54946
7.20214,3.65519
7.32822,3.69311
7.4543,3.68533
7.58038,3.78956
7.70646,3.82623
7.83254,3.8174
7.95862,3.92076
8.0847,3.95669
8.21078,3.94725
8.33686,4.05007
8.46294,4.08443
8.58902,4.07499
8.7151,4.17776
8.84118,4.21315
8.96726,4.20322
9.09334,4.3056
9.21942,4.34068
9.3455,4.33048
9.47158,4.43266
9.59766,4.46756
9.72374,4.45723
9.84982,4.55929
9.9759,4.5941
10.102,4.58369
10.2281,4.68681
10.3541,4.7223
10.4802,4.71229
10.6063,4.8145
10.7324,4.84934
10.8585,4.83776
10.9845,4.93892
11.1106,4.97308
11.2367,4.96222
11.3628,5.0639
11.4889,5.09844
11.6149,5.08785
11.741,5.19084
11.8671,5.22625
11.9932,5.21619
12.1193,5.31837
12.2453,5.35319
12.3714,5.34272
12.4975,5.44462
12.6236,5.47924
12.7497,5.46865
12.8757,5.57046
13.0018,5.60503
13.1279,5.59329
13.254,5.69435
13.3801,5.7296
13.5061,5.71947
13.6322,5.82161
13.7583,5.85644
13.8844,5.846
14.0105,5.94793
14.1365,5.98261
14.2626,5.97206
14.3887,6.07392
14.5148,6.10855
14.6409,6.09798
14.7669,6.19982
14.893,6.23557
15.0191,6.22573
15.1452,6.32803
15.2713,6.36291
15.3973,6.35246
15.5234,6.45435
15.6495,6.48782
15.7756,6.47645
15.9017,6.57775
16.0277,6.61202
16.1538,6.60123
16.2799,6.70295
16.406,6.73752
16.5321,6.72807
16.6581,6.83067
16.7842,6.8658
16.9103,6.85555
17.0364,6.95758
17.1625,6.99231
17.2885,6.98177
17.4146,7.08361
17.5407,7.11821
17.6668,7.1076
17.7929,7.2094
17.9189,7.24285
18.045,7.23261
18.1711,7.33469
18.2972,7.36947
18.4233,7.359
18.5493,7.46091
18.6754,7.49557
18.8015,7.48502
18.9276,7.58688
19.0537,7.6215
19.1797,7.61093
19.3058,7.71277
19.4319,7.7474
19.558,7.73683
19.6841,7.8398
19.8101,7.87517
19.9362,7.86506
20.0623,7.96717
20.1884,8.00193
20.3145,7.99027
20.4405,8.09137
20.5666,8.12548
20.6927,8.11457
20.8188,8.2162
20.9449,8.25071
21.0709,8.24008
21.197,8.34304
36.9157,16.6861
42.1263,8.34304
83.2881,12.6177
83.4772,15.0827
84.0446,16.2823
84.801,16.6681
84.9271,16.5076
85.0532,15.9357
85.2423,15.0566
85.4945,14.1154
85.6206,13.1059
85.7466,12.0832
85.8727,11.0836
85.9988,10.1305
86.1249,9.23776
86.251,8.52357
86.377,7.83293
86.5031,7.18022
86.6922,6.57282
86.8183,6.12437
86.9444,5.68006
87.0705,5.3626
87.1966,5.13438
87.3226,4.85766
87.4487,4.55863
87.5748,4.2534
87.7009,3.89852
87.827,3.68949
87.953,3.46764
88.0791,3.24522
88.2052,3.02937
88.3313,2.82458
88.4574,2.63346
88.5834,2.45726
88.7095,2.29637
88.8356,2.15056
88.9617,1.90895
89.0878,1.72708
89.2138,1.58919
89.3399,1.48448
89.466,1.40481
89.5921,1.34318
89.7182,1.29624
89.8442,1.26039
89.9703,1.23294
90.0964,1.21187
90.2225,1.19564
90.3486,1.18309
90.4746,1.17335
90.6007,1.16576
90.7268,1.1607
90.8529,1.15654
90.979,1.1531
91.105,1.14937
91.2311,1.14647
91.3572,1.14421
91.4833,1.14244
91.6094,1.14105
91.7354,1.13994
91.8615,1.13906
91.9876,1.13835
92.1137,1.13779
92.2398,1.1382
92.3658,1.13834
92.4919,1.13829
92.618,1.13813
92.7441,1.1376
92.8702,1.13717
92.9962,1.13682
93.1223,1.13654
93.2484,1.1363
93.3745,1.13611
93.5006,1.13594
93.6266,1.27756
93.7527,1.36998
93.8788,1.42722
94.0049,1.45847
94.131,1.47277
94.257,1.47663
94.3831,1.47243
94.5092,1.46306
94.6353,1.4506
94.7614,1.4365
94.8874,1.42176
95.0135,1.40707
95.1396,1.39286
95.2657,1.37941
95.3918,1.36689
95.5178,1.35424
95.6439,1.34299
95.77,1.33301
95.8961,1.32531
96.0222,1.31824
96.1482,1.31182
96.2743,1.30602
96.4004,1.3008
96.5265,1.29613
96.6526,1.29197
96.7786,1.28828
96.9047,1.285
97.0308,1.2821
97.1569,1.27841
97.283,1.27541
97.409,1.27409
97.5351,1.27281
97.6612,1.27161
97.7873,1.27049
97.9134,1.26945
98.0394,1.26851
98.1655,1.26766
98.2916,1.26689
98.4177,1.2662
98.5438,1.26559
98.6698,1.26454
98.7959,1.26371
98.922,1.26305
99.0481,1.40498
99.1742,1.49756
99.3002,1.55486
99.4263,1.58722
99.5524,1.60219
99.6785,1.6053
99.8046,1.60051
99.9306,1.5907
100.057,1.5779
100.183,1.56353
100.309,1.54858
100.435,1.5326
100.561,1.51866
100.687,1.50539
100.813,1.49299
100.939,1.48153
101.065,1.47106
101.191,1.46156
101.318,1.453
101.444,1.44532
101.57,1.43846
101.696,1.43234
101.822,1.42692
101.948,1.42098
102.074,1.41599
102.2,1.41291
102.326,1.41007
102.452,1.40749
102.578,1.40516
102.704,1.40306
102.83,1.40118
102.957,1.3995
103.083,1.39801
103.209,1.39669
103.335,1.39552
103.461,1.39448
103.587,1.39245
103.713,1.39204
103.839,1.39161
103.965,1.39118
104.091,1.39077
104.217,1.39038
104.343,1.39003
104.47,1.38969
104.596,1.3894
104.722,1.38912
104.848,1.53063
104.974,1.62294
105.1,1.68009
105.226,1.71124
105.352,1.72658
105.478,1.72998
105.604,1.72543
105.73,1.7158
105.856,1.70315
105.982,1.6889
106.109,1.67405
106.235,1.65928
106.361,1.64501
106.487,1.63152
106.613,1.61897
106.739,1.60742
106.865,1.59688
106.991,1.58735
107.117,1.57878
107.243,1.57109
107.369,1.56423
107.495,1.55813
107.622,1.55272
107.748,1.54792
107.874,1.54368
108,1.53995
108.126,1.53665
108.252,1.53375
