Time,RTT
0.231544,0.231
0.790703,0.272
0.916783,0.323625
1.02422,0.382296
1.1503,0.449384
1.27638,0.523836
1.40246,0.604731
1.52854,0.621389
1.59158,0.64384
1.71766,0.679235
1.96982,0.696705
2.0959,0.727741
2.22198,0.754898
2.34806,0.778785
2.47414,0.815436
2.60022,0.847506
2.7263,0.883442
2.91542,0.922761
3.0415,0.96504
3.16758,1.00991
3.29366,1.04917
3.41974,1.09927
3.54582,1.14311
3.6719,1.18147
3.79798,1.23079
3.92406,1.27394
4.05014,1.3117
4.17622,1.36048
4.3023,1.40317
4.42838,1.44053
4.55446,1.48896
4.68054,1.52347
4.80662,1.55366
4.9327,1.59582
5.05878,1.63272
5.18486,1.66501
5.31094,1.709
5.43702,1.74763
5.5631,1.78142
5.68918,1.82675
5.81526,1.8664
5.94134,1.9011
6.06742,1.94721
6.1935,1.98744
6.31958,2.02263
6.44566,2.06918
6.57174,2.1099
6.69782,2.14554
6.8239,2.19247
6.94998,2.23354
7.07606,2.26959
7.20214,2.3169
7.32822,2.35828
7.4543,2.3945
7.58038,2.44193
7.70646,2.48344
7.83254,2.51976
7.95862,2.56729
8.0847,2.60888
8.21078,2.64527
8.33686,2.69286
8.46294,2.73438
8.58902,2.77083
8.7151,2.81847
8.84118,2.86016
8.96726,2.89664
9.09334,2.94431
9.21942,2.98602
9.3455,3.02252
9.47158,3.07021
9.59766,3.11193
9.72374,3.14844
9.84982,3.19613
9.9759,3.23787
10.102,3.27438
10.2281,3.32221
10.3541,3.36406
10.4802,3.40067
10.6063,3.44846
10.7324,3.49028
10.8585,3.52675
10.9845,3.5744
11.1106,3.6161
11.2367,3.65259
11.3628,3.70026
11.4889,3.74198
11.6149,3.77848
11.741,3.8263
11.8671,3.86813
11.9932,3.90474
12.1193,3.95252
12.2453,3.99433
12.3714,4.03092
12.4975,4.07868
12.6236,4.12047
12.7497,4.15703
12.8757,4.20478
13.0018,4.24655
13.1279,4.28299
13.254,4.33061
13.3801,4.37241
13.5061,4.40898
13.6322,4.45673
13.7583,4.49852
13.8844,4.53508
14.0105,4.58282
14.1365,4.62459
14.2626,4.66114
14.3887,4.70887
14.5148,4.75064
14.6409,4.78718
14.7669,4.83491
14.893,4.8768
15.0191,4.91345
15.1452,4.96127
15.2713,5.00311
15.3973,5.03972
15.5234,5.0875
15.6495,5.12919
15.7756,5.16566
15.9017,5.21333
16.0277,5.25504
16.1538,5.29153
16.2799,5.33922
16.406,5.38094
16.5321,5.41757
16.6581,5.46537
16.7842,5.5072
16.9103,5.5438
17.0364,5.59157
17.1625,5.63338
17.2885,5.66995
17.4146,5.71771
17.5407,5.7595
17.6668,5.79606
17.7929,5.8438
17.9189,5.88545
18.045,5.92202
18.1711,5.96976
18.2972,6.01154
18.4233,6.0481
18.5493,6.09584
18.6754,6.13761
18.8015,6.17416
18.9276,6.22189
19.0537,6.26365
19.1797,6.30019
19.3058,6.34792
19.4319,6.38968
19.558,6.42622
19.6841,6.47407
19.8101,6.51593
19.9362,6.55257
20.0623,6.60037
20.1884,6.6422
20.3145,6.67867
20.4405,6.72634
20.5666,6.76804
20.6927,6.80454
20.8188,6.85222
20.9449,6.89394
21.0709,6.93045
21.197,6.97827
83.2881,6.31886
