Time,Threshold
0.231544,4294967295
21.3861,828
36.9157,909
54.8126,1027
65.0695,1084
253.406,849
256.107,938
259.584,1174
262.062,1317
265.258,1303
267.735,1297
271.373,1292
273.85,1286
277.425,1279
279.902,1277
283.477,1272
285.954,1267
289.528,1263
292.006,1259
295.58,1257
301.632,1254
304.109,1251
307.684,1248
310.161,1246
316.213,1247
319.788,1245
322.265,1243
325.839,1241
328.317,1240
331.891,1241
334.369,1243
337.943,1241
340.42,1239
343.995,1238
346.472,1237
350.047,1239
352.524,1241
356.099,1239
358.576,1238
362.15,1236
364.628,1235
368.202,1238
370.68,1240
374.254,1238
376.731,1237
