Time,Window Size
0.0,0
0.038744,3400
0.139503,3740
0.265583,4420
0.391663,5100
0.517743,5780
0.643823,6460
0.769903,7140
0.895983,7820
1.02206,8500
1.14814,9180
1.27422,9860
1.4003,10540
1.52638,11220
1.65246,11900
1.77854,12580
3.03934,12920
4.04798,13260
4.42622,13600
4.80446,13940
5.05662,14280
5.1827,14620
5.43486,14960
5.56094,15300
5.8131,15640
5.93918,15980
6.06526,16320
6.19134,16660
6.31742,17000
6.4435,17340
6.56958,17680
6.69566,18020
6.82174,18360
6.94782,18700
7.0739,19040
7.19998,19380
7.32606,19720
7.45214,20060
7.57822,20400
7.7043,20740
7.83038,21080
7.95646,21420
8.08254,21760
8.20862,22100
8.3347,22440
8.46078,22780
8.58686,23120
8.71294,23460
8.83902,23800
8.9651,24140
9.09118,24480
9.21726,24820
9.34334,25160
9.46942,25500
9.5955,25840
9.72158,26180
9.84766,26520
9.97374,26860
10.0998,27200
10.2259,27540
10.352,27880
10.4781,28220
10.6041,28560
10.7302,28900
10.8563,29240
10.9824,29580
11.1085,29920
11.2345,30260
11.3606,30600
11.4867,30940
11.6128,31280
11.7389,31620
11.8649,31960
11.991,32300
12.1171,32640
12.2432,32980
12.3693,33320
12.4953,33660
12.6214,34000
12.7475,34340
12.8736,34680
12.9997,35020
13.1257,35360
13.2518,35700
13.3779,36040
13.504,36380
13.6301,36720
13.7561,37060
13.8822,37400
14.0083,37740
14.1344,38080
14.2605,38420
14.3865,38760
14.5126,39100
14.6387,39440
14.7648,39780
14.8909,40120
15.0169,40460
15.143,40800
15.2691,41140
15.3952,41480
15.5213,41820
15.6473,42160
15.7734,42500
15.8995,42840
16.0256,43180
16.1517,43520
16.2777,43860
16.4038,44200
16.5299,44540
16.656,44880
16.7821,45220
16.9081,45560
17.0342,45900
17.1603,46240
17.2864,46580
17.4125,46920
17.5385,47260
17.6646,47600
17.7907,47940
17.9168,48280
18.0429,48620
18.1689,48960
18.295,49300
18.4211,49640
18.5472,49980
18.6733,50320
18.7993,50660
18.9254,51000
19.0515,51340
19.1776,51680
19.3037,52020
19.4297,52360
19.5558,52700
19.6819,53040
19.808,53380
19.9341,53720
20.0601,54060
20.2493,53720
26.8685,53040
26.9315,53380
33.4877,52700
33.5507,53040
34.6178,340
40.1069,1700
41.3046,2720
41.4937,3060
41.5568,4760
41.872,5440
41.9981,6800
42.2502,7820
42.4393,8500
42.5654,9860
42.8176,10880
43.0067,11220
43.0697,12920
43.3849,13600
43.511,14960
43.7632,15980
43.9523,16660
44.0784,18020
44.3305,19040
44.5197,19380
44.5827,21080
44.8979,21760
45.024,23120
45.2761,24140
45.4653,24820
45.5913,26180
45.8435,27200
46.0326,27540
46.0957,29240
46.4109,29920
46.5369,31280
46.7891,32300
46.9782,32980
47.1043,34340
47.3565,35360
47.5456,35700
47.6086,37400
47.9238,37740
48.0499,38080
48.3021,38420
48.4912,38760
48.6173,39100
48.8694,39440
49.0585,39780
49.1216,40120
49.4368,40460
49.5629,40800
49.815,41140
50.0041,41480
50.1302,41820
50.3824,42160
50.7606,41820
57.1907,41140
57.2537,41480
63.7469,40800
63.8099,41140
64.94,340
65.1241,1020
65.3082,1700
65.4343,2040
65.4973,2720
65.6234,3060
65.6864,3740
65.8125,4420
65.9386,4760
66.0016,5440
66.1277,5780
66.1907,6120
66.2538,6800
66.3799,7140
66.4429,7820
66.569,8160
66.632,8500
66.6951,9180
66.8211,9520
66.8842,9860
66.9472,10540
67.0733,10880
67.1363,11220
67.1994,11900
67.3255,12240
67.3885,12580
67.4515,13260
67.5776,13600
67.6407,13940
67.7037,14620
67.8298,14960
67.8928,15300
67.9559,15640
68.0189,16320
68.145,16660
68.208,17000
68.2711,17340
68.3341,18020
68.4602,18360
68.5232,18700
68.5863,19040
68.6493,19720
68.7754,20060
68.8384,20400
68.9015,20740
68.9645,21420
69.0906,21760
69.1536,22100
69.2167,22440
69.2797,23120
69.4058,23460
69.4688,23800
69.5319,24140
69.5949,24480
69.6579,25160
69.784,25500
69.8471,25840
69.9101,26180
69.9731,26520
70.0362,27200
70.1623,27540
70.2253,27880
70.2883,28220
70.3514,28560
70.4144,28900
70.5405,29240
70.6035,29580
70.6666,29920
70.7296,30260
70.7927,30600
70.9187,30940
70.9818,31280
71.0448,31620
71.1079,31960
71.1709,32300
71.297,32640
71.36,32980
71.4231,33320
71.4861,33660
71.5491,34000
71.6122,34340
71.7383,34680
71.8013,35020
71.9274,35360
72.0535,35700
72.1795,36040
72.3056,36380
72.4317,36720
72.4947,37060
72.6839,37400
72.8099,37740
