Time,Goodput
1.0001,5628
2.0001,6304
3.0001,6304
4.0001,6304
5.0001,6304
6.0001,6304
7.0001,6304
8.0001,5910
9.0001,6304
10.0001,6304
11.0001,6304
12.0001,6304
13.0001,6304
14.0001,6304
15.0001,6304
16.0001,5910
17.0001,6304
18.0001,6304
19.0001,6304
20.0001,6304
21.0001,6304
22.0001,6304
23.0001,5910
24.0001,6304
25.0001,6304
26.0001,6304
27.0001,6304
28.0001,6304
29.0001,6304
30.0001,5910
31.0001,6304
32.0001,6304
33.0001,6304
34.0001,6304
35.0001,6304
36.0001,6304
37.0001,6304
38.0001,5910
39.0001,6304
40.0001,6304
41.0001,6304
42.0001,6304
43.0001,6304
44.0001,6304
45.0001,5910
46.0001,6304
47.0001,6304
48.0001,6304
49.0001,6304
50.0001,6304
51.0001,6304
52.0001,5910
53.0001,6304
54.0001,6304
55.0001,6304
56.0001,6304
57.0001,6304
58.0001,6304
59.0001,5910
60.0001,6304
61.0001,6304
62.0001,6304
63.0001,6304
64.0001,6304
65.0001,0
66.0001,5122
67.0001,6304
68.0001,6304
69.0001,6304
70.0001,6304
71.0001,5910
72.0001,6304
73.0001,6304
74.0001,6304
75.0001,6304
76.0001,6304
77.0001,6304
78.0001,5910
79.0001,6304
80.0001,6304
81.0001,6304
82.0001,6304
83.0001,3940
84.0001,0
85.0001,0
86.0001,0
87.0001,0
88.0001,4334
89.0001,6304
90.0001,6304
91.0001,6304
92.0001,6304
93.0001,6304
94.0001,5910
95.0001,6304
96.0001,6304
97.0001,6304
98.0001,6304
99.0001,6304
100,6304
101,6304
102,5910
103,6304
104,6304
105,6304
106,6304
107,6304
108,6304
109,5910
110,6304
111,6304
112,6304
113,6304
114,6304
115,6304
116,5910
117,6304
118,6304
119,6304
120,6304
121,6304
122,6304
123,5910
124,6304
125,6304
126,6304
127,6304
128,5516
129,6304
130,5910
131,6304
132,6304
133,6304
134,6304
135,6304
136,6304
137,5910
138,6304
139,6304
140,6304
141,6304
142,6304
143,6304
144,5910
145,6304
146,6304
147,6304
148,6304
149,6304
150,6304
151,5910
152,6304
153,6304
154,6304
155,6304
156,6304
157,6304
158,6304
159,5910
160,6304
161,6304
162,6304
163,6304
164,6304
165,6304
166,5910
167,6304
168,6304
169,6304
170,6304
171,5910
172,6304
173,6304
174,6304
175,6304
176,6304
177,6304
178,5910
179,6304
180,6304
181,6304
182,6304
183,6304
184,6304
185,5910
186,6304
187,6304
188,6304
189,6304
190,6304
191,5122
192,6304
193,6304
194,6304
195,6304
196,6304
197,5122
198,6304
199,6304
200,5910
201,6304
202,6304
203,6304
204,6304
205,6304
206,6304
207,5910
208,6304
209,6304
210,6304
211,6304
212,6304
213,6304
214,5910
215,6304
216,6304
217,6304
218,6304
219,6304
220,6304
221,6304
222,5910
223,6304
224,5516
225,4728
226,6304
227,6304
228,6304
229,6304
230,6304
231,6304
232,5910
233,6304
234,6304
235,6304
236,6304
237,6304
238,6304
239,5910
240,6304
241,6304
242,6304
243,6304
244,6304
245,6304
246,5910
247,6304
248,6304
249,6304
250,5122
251,6304
252,6304
253,6304
254,5122
255,6304
256,6304
257,6304
258,1182
259,0
260,0
261,394
262,4728
263,5910
264,6304
265,6304
266,6304
267,6304
268,6304
269,6304
270,5910
271,6304
272,6304
273,6304
274,6304
275,6304
276,6304
277,6304
278,5910
279,6304
280,5122
281,6304
282,6304
283,5910
284,6304
285,6304
286,6304
287,6304
288,6304
289,6304
290,5910
291,6304
292,6304
293,6304
294,6304
295,6304
296,6304
297,6304
298,5910
299,6304
300,6304
301,6304
302,6304
303,6304
304,6304
305,5910
306,6304
307,6304
308,6304
309,6304
310,6304
311,6304
312,5910
313,6304
314,6304
315,6304
316,6304
317,5516
318,5910
319,6304
320,6304
321,6304
322,6304
323,6304
324,6304
325,6304
326,5910
327,6304
328,6304
329,6304
330,6304
331,6304
332,6304
333,5910
334,6304
335,6304
336,6304
337,6304
338,6304
339,6304
340,5910
341,6304
342,6304
343,6304
344,6304
345,6304
346,6304
347,6304
348,5910
349,6304
350,6304
351,6304
352,6304
353,6304
354,6304
355,5910
356,6304
357,6304
358,4334
359,6304
360,6304
361,6304
362,6304
363,6304
364,5910
365,6304
366,6304
367,6304
368,6304
369,6304
370,6304
371,5910
372,6304
373,6304
374,6304
375,6304
376,6304
377,6304
377.999,5910
