Time,Bytes
0.038745,340
0.038745,680
0.038745,1020
0.038745,1360
0.038745,1700
0.038745,2040
0.038745,2380
0.038745,2720
0.038745,3060
0.038745,3400
0.139503,3060
0.139503,3400
0.139503,3740
0.265583,3060
0.265583,3400
0.265583,3740
0.265583,4080
0.265583,4420
0.391663,3740
0.391663,4080
0.391663,4420
0.391663,4760
0.391663,5100
0.517743,4420
0.517743,4760
0.517743,5100
0.517743,5440
0.517743,5780
0.643823,5100
0.643823,5440
0.643823,5780
0.643823,6120
0.643823,6460
0.769903,5780
0.769903,6120
0.769903,6460
0.769903,6800
0.769903,7140
0.895983,6460
0.895983,6800
0.895983,7140
0.895983,7480
0.895983,7820
1.02206,7140
1.02206,7480
1.02206,7820
1.02206,8160
1.02206,8500
1.14814,7820
1.14814,8160
1.14814,8500
1.14814,8840
1.14814,9180
1.27422,8500
1.27422,8840
1.27422,9180
1.27422,9520
1.27422,9860
1.4003,9180
1.4003,9520
1.4003,9860
1.4003,10200
1.4003,10540
1.52638,9860
1.52638,10200
1.52638,10540
1.52638,10880
1.52638,11220
1.65246,10540
1.65246,10880
1.65246,11220
1.65246,11560
1.65246,11900
1.77854,11220
1.77854,11560
1.77854,11900
1.77854,12240
1.77854,12580
1.90462,11900
1.90462,12240
1.90462,12580
2.0307,11900
2.0307,12240
2.0307,12580
2.15678,11900
2.15678,12240
2.15678,12580
2.28286,11900
2.28286,12240
2.28286,12580
2.40894,11900
2.40894,12240
2.40894,12580
2.53502,11900
2.53502,12240
2.53502,12580
2.6611,11900
2.6611,12240
2.6611,12580
2.78718,11900
2.78718,12240
2.78718,12580
2.91326,11900
2.91326,12240
2.91326,12580
3.03934,11900
3.03934,12240
3.03934,12580
3.03934,12920
3.16542,12240
3.16542,12580
3.16542,12920
3.2915,12240
3.2915,12580
3.2915,12920
3.41758,12240
3.41758,12580
3.41758,12920
3.54366,12240
3.54366,12580
3.54366,12920
3.66974,12240
3.66974,12580
3.66974,12920
3.79582,12240
3.79582,12580
3.79582,12920
3.9219,12240
3.9219,12580
3.9219,12920
4.04798,12240
4.04798,12580
4.04798,12920
4.04798,13260
4.17406,12580
4.17406,12920
4.17406,13260
4.30014,12580
4.30014,12920
4.30014,13260
4.42622,12580
4.42622,12920
4.42622,13260
4.42622,13600
4.5523,12920
4.5523,13260
4.5523,13600
4.67838,12920
4.67838,13260
4.67838,13600
4.80446,12920
4.80446,13260
4.80446,13600
4.80446,13940
4.93054,13260
4.93054,13600
4.93054,13940
5.05662,13260
5.05662,13600
5.05662,13940
5.05662,14280
5.1827,13600
5.1827,13940
5.1827,14280
5.1827,14620
5.30878,13940
5.30878,14280
5.30878,14620
5.43486,13940
5.43486,14280
5.43486,14620
5.43486,14960
5.56094,14280
5.56094,14620
5.56094,14960
5.56094,15300
5.68702,14620
5.68702,14960
5.68702,15300
5.8131,14620
5.8131,14960
5.8131,15300
5.8131,15640
5.93918,14960
5.93918,15300
5.93918,15640
5.93918,15980
6.06526,15300
6.06526,15640
6.06526,15980
6.06526,16320
6.19134,15640
6.19134,15980
6.19134,16320
6.19134,16660
6.31742,15980
6.31742,16320
6.31742,16660
6.31742,17000
6.4435,16320
6.4435,16660
6.4435,17000
6.4435,17340
6.56958,16660
6.56958,17000
6.56958,17340
6.56958,17680
6.69566,17000
6.69566,17340
6.69566,17680
6.69566,18020
6.82174,17340
6.82174,17680
6.82174,18020
6.82174,18360
6.94782,17680
6.94782,18020
6.94782,18360
6.94782,18700
7.0739,18020
7.0739,18360
7.0739,18700
7.0739,19040
7.19998,18360
7.19998,18700
7.19998,19040
7.19998,19380
7.32606,18700
7.32606,19040
7.32606,19380
7.32606,19720
7.45214,19040
7.45214,19380
7.45214,19720
7.45214,20060
7.57822,19380
7.57822,19720
7.57822,20060
7.57822,20400
7.7043,19720
7.7043,20060
7.7043,20400
7.7043,20740
7.83038,20060
7.83038,20400
7.83038,20740
7.83038,21080
7.95646,20400
7.95646,20740
7.95646,21080
7.95646,21420
8.08254,20740
8.08254,21080
8.08254,21420
8.08254,21760
8.20862,21080
8.20862,21420
8.20862,21760
8.20862,22100
8.3347,21420
8.3347,21760
8.3347,22100
8.3347,22440
8.46078,21760
8.46078,22100
8.46078,22440
8.46078,22780
8.58686,22100
8.58686,22440
8.58686,22780
8.58686,23120
8.71294,22440
8.71294,22780
8.71294,23120
8.71294,23460
8.83902,22780
8.83902,23120
8.83902,23460
8.83902,23800
8.9651,23120
8.9651,23460
8.9651,23800
8.9651,24140
9.09118,23460
9.09118,23800
9.09118,24140
9.09118,24480
9.21726,23800
9.21726,24140
