Time,RTO
0.038744,1
0.643823,1.21735
0.769903,1.55365
0.895983,1.77677
1.02206,1.89241
1.14814,2.07457
1.27422,2.15688
1.4003,2.31283
1.52638,2.37443
1.65246,2.51394
1.77854,2.5624
1.90462,2.69135
2.0307,2.73127
2.15678,2.85327
2.28286,2.88751
2.40894,3.00484
2.53502,3.03523
2.6611,3.14934
2.78718,3.17703
2.91326,3.28889
3.03934,3.31468
3.16542,3.42492
3.2915,3.44934
3.41758,3.55841
3.54366,3.58182
3.66974,3.69004
3.79582,3.71271
3.9219,3.82028
4.04798,3.8424
4.17406,3.95062
4.30014,3.97306
4.42622,3.9385
4.5523,3.86762
4.67838,3.77511
4.80446,3.67131
4.93054,3.56221
5.05662,3.45414
5.1827,3.35012
5.30878,3.25201
5.43486,3.16084
5.56094,3.07708
5.68702,3.00192
5.8131,2.93367
5.93918,2.87207
6.06526,2.81677
6.19134,2.76733
6.31742,2.72329
6.4435,2.68415
6.56958,2.79121
6.69566,2.85193
6.82174,2.88144
6.94782,2.88954
7.0739,2.88334
7.19998,2.86795
7.32606,2.84813
7.45214,2.96668
7.57822,3.03452
7.7043,3.06697
7.83038,3.07517
7.95646,3.20894
8.08254,3.28315
8.20862,3.31593
8.3347,3.32051
8.46078,3.44819
8.58686,3.51372
8.71294,3.53752
8.83902,3.5343
8.9651,3.65412
9.09118,3.71312
9.21726,3.73037
9.34334,3.86143
9.46942,3.92527
9.5955,3.943
9.72158,4.07166
9.84766,4.1313
9.97374,4.14377
10.0998,4.26664
10.2259,4.32033
10.352,4.32692
10.4781,4.44528
10.6041,4.49439
10.7302,4.4965
10.8563,4.60947
10.9824,4.65272
11.1085,4.64995
11.2345,4.75882
11.3606,4.79975
11.4867,4.7948
11.6128,4.90165
11.7389,4.94072
11.8649,4.93409
11.991,5.04054
12.1171,5.07898
12.2432,5.07158
12.3693,5.17609
12.4953,5.21294
12.6214,5.20426
12.7475,5.30771
12.8736,5.3437
12.9997,5.3343
13.1257,5.43715
13.2518,5.47152
13.3779,5.46096
13.504,5.563
13.6301,5.59906
13.7561,5.5896
13.8822,5.69231
14.0083,5.72761
14.1344,5.71757
14.2605,5.81984
14.3865,5.8548
14.5126,5.8445
14.6387,5.94657
14.7648,5.98138
14.8909,5.97096
15.0169,6.07294
15.143,6.1088
15.2691,6.09906
15.3952,6.20145
15.5213,6.23641
15.6473,6.2249
15.7734,6.3261
15.8995,6.36029
16.0256,6.34944
16.1517,6.45111
16.2777,6.48565
16.4038,6.47504
16.5299,6.57689
16.656,6.61155
16.7821,6.60215
16.9081,6.70479
17.0342,6.73994
17.1603,6.72969
17.2864,6.83172
17.4125,6.86644
17.5385,6.8559
17.6646,6.95773
17.7907,6.99232
17.9168,6.98058
18.0429,7.08163
18.1689,7.11574
18.295,7.10597
18.4211,7.20838
18.5472,7.24338
18.6733,7.23306
18.7993,7.33507
18.9254,7.36979
19.0515,7.35927
19.1776,7.46114
19.3037,7.49577
19.4297,7.48519
19.5558,7.58702
19.6819,7.62163
19.808,7.61104
19.9341,7.71399
20.0601,7.74934
34.6178,15.4987
40.1069,7.74934
64.94,15.4987
65.1241,7.74934
87.0524,15.4987
87.2365,7.74934
102.987,15.4987
107.152,7.74934
137.692,9.08414
137.818,9.8161
137.944,10.0744
138.07,10.071
138.196,9.84074
138.322,9.52592
138.449,9.11032
138.575,8.69867
138.701,8.24734
138.827,7.84118
138.953,7.42222
139.079,7.06506
139.205,6.7036
139.331,6.4095
139.457,6.11276
139.583,5.88066
139.709,5.66513
139.835,5.50228
139.962,5.44996
140.088,5.40291
140.277,5.43166
140.466,5.51123
140.592,5.62363
140.718,5.68515
140.844,5.78336
140.97,5.83258
141.096,5.91899
141.222,5.9582
141.348,6.03608
141.474,6.06687
141.664,6.13777
141.853,6.23474
142.042,6.34776
142.231,6.46976
142.42,6.59691
142.609,6.72437
142.798,6.85
142.987,6.97247
143.177,7.09102
143.366,7.20525
143.555,7.31505
143.681,7.34961
143.807,7.33258
143.933,7.28445
144.059,7.35807
144.185,7.37147
144.311,7.34494
144.437,7.29303
144.563,7.22609
144.69,7.29313
144.816,7.30818
144.942,7.28864
145.068,7.24702
145.194,7.19221
145.32,7.2722
145.446,7.30035
145.572,7.29471
145.698,7.26486
145.824,7.22116
145.95,7.31147
146.076,7.3491
146.202,7.35098
146.329,7.32933
146.455,7.29293
146.581,7.38974
146.707,7.43311
146.833,7.44008
146.959,7.4938
147.085,7.50875
147.211,7.42582
147.337,7.35015
147.463,7.28162
147.589,7.36165
147.715,7.39775
147.842,7.40498
147.968,7.39303
162.358,14.7861
168.582,7.39303
189.3,14.7861
195.489,7.39303
216.866,14.7861
216.975,7.39303
242.123,14.7861
248.347,7.39303
260.476,14.7861
260.935,7.39303
273.137,14.7861
274.002,7.39303
330.091,8.00778
330.217,8.34418
330.343,8.43228
330.469,8.41177
330.595,8.26551
330.722,8.09838
330.848,7.86766
330.974,7.65951
331.1,7.41755
331.226,7.21894
331.352,6.99894
331.478,6.82801
331.604,6.71304
331.73,6.62283
331.856,6.62258
331.982,6.61246
332.171,6.66705
332.361,6.76438
332.487,6.88867
332.613,6.95788
332.739,7.05964
332.865,7.11068
332.991,7.19885
333.117,7.23862
333.243,7.31626
333.369,7.3463
333.495,7.41613
333.621,7.44098
333.747,7.50641
333.874,7.52753
334,7.58977
334.126,7.60816
334.252,7.66807
334.378,7.68445
334.567,7.74374
334.756,7.83022
334.945,7.93382
349.877,15.8676
356.064,7.93382
