Time,RTT
0.038744,0.038
0.139503,0.045875
0.265583,0.068515
0.391663,0.104075
0.517743,0.15094
0.643823,0.207697
0.769903,0.273109
0.895983,0.33347
1.02206,0.386411
1.14814,0.448484
1.27422,0.502798
1.4003,0.566073
1.52638,0.621438
1.65246,0.685633
1.77854,0.741803
1.90462,0.806702
2.0307,0.863489
2.15678,0.928927
2.28286,0.986186
2.40894,1.05204
2.53502,1.10966
2.6611,1.17582
2.78718,1.23372
2.91326,1.30013
3.03934,1.35824
3.16542,1.42483
3.2915,1.4831
3.41758,1.54984
3.54366,1.60824
3.66974,1.67508
3.79582,1.73357
3.9219,1.8005
4.04798,1.85906
4.17406,1.92618
4.30014,1.9849
4.42622,2.03629
4.5523,2.08125
4.67838,2.1206
4.80446,2.15502
4.93054,2.18502
5.05662,2.21127
5.1827,2.23423
5.30878,2.25433
5.43486,2.27191
5.56094,2.2873
5.68702,2.30089
5.8131,2.31277
5.93918,2.32318
6.06526,2.33228
6.19134,2.34024
6.31742,2.34721
6.4435,2.35331
6.56958,2.3744
6.69566,2.39272
6.82174,2.40876
6.94782,2.42279
7.0739,2.43506
7.19998,2.4458
7.32606,2.45533
7.45214,2.47941
7.57822,2.50048
7.7043,2.51892
7.83038,2.53506
7.95646,2.56493
8.08254,2.59106
8.20862,2.61393
8.3347,2.63394
8.46078,2.66719
8.58686,2.69617
8.71294,2.72152
8.83902,2.74383
8.9651,2.7791
9.09118,2.80996
9.21726,2.83697
9.34334,2.87635
9.46942,2.9108
9.5955,2.94095
9.72158,2.98308
9.84766,3.01995
9.97374,3.0522
10.0998,3.09618
10.2259,3.13465
10.352,3.16832
10.4781,3.21366
10.6041,3.25332
10.7302,3.28803
10.8563,3.33415
10.9824,3.37438
11.1085,3.40958
11.2345,3.45614
11.3606,3.49687
11.4867,3.53251
11.6128,3.57945
11.7389,3.62052
11.8649,3.65645
11.991,3.70377
12.1171,3.74517
12.2432,3.7814
12.3693,3.82885
12.4953,3.87037
12.6214,3.9067
12.7475,3.95423
12.8736,3.99583
12.9997,4.03223
13.1257,4.07982
13.2518,4.12134
13.3779,4.15768
13.504,4.20521
13.6301,4.24694
13.7561,4.28345
13.8822,4.33114
14.0083,4.37287
14.1344,4.40939
14.2605,4.45709
14.3865,4.49883
14.5126,4.53535
14.6387,4.58305
14.7648,4.6248
14.8909,4.66132
15.0169,4.70903
15.143,4.7509
15.2691,4.78754
15.3952,4.83535
15.5213,4.87718
15.6473,4.91365
15.7734,4.96132
15.8995,5.00303
16.0256,5.03953
16.1517,5.08721
16.2777,5.12893
16.4038,5.16544
16.5299,5.21314
16.656,5.25487
16.7821,5.29151
16.9081,5.33932
17.0342,5.38115
17.1603,5.41776
17.2864,5.46554
17.4125,5.50735
17.5385,5.54393
17.6646,5.59169
17.7907,5.63348
17.9168,5.66992
18.0429,5.71755
18.1689,5.75923
18.295,5.79583
18.4211,5.8436
18.5472,5.8854
18.6733,5.92197
18.7993,5.96973
18.9254,6.01151
19.0515,6.04807
19.1776,6.09581
19.3037,6.13759
19.4297,6.17414
19.5558,6.22187
19.6819,6.26363
19.808,6.30018
19.9341,6.34803
20.0601,6.3899
137.692,6.15067
137.818,5.94133
137.944,5.76604
138.07,5.61266
138.196,5.48633
138.322,5.37578
138.449,5.28694
138.575,5.20919
138.701,5.14904
138.827,5.09641
138.953,5.05824
139.079,5.02483
139.205,5.0036
139.331,4.9849
139.457,4.97641
139.583,4.96899
139.709,4.97036
139.835,4.97157
139.962,4.9805
140.088,4.98831
140.277,5.00302
140.466,5.02377
140.592,5.04979
140.718,5.07257
140.844,5.1005
140.97,5.12493
141.096,5.15419
141.222,5.17979
141.348,5.21007
141.474,5.23643
141.664,5.26738
141.853,5.30233
142.042,5.34079
142.231,5.38232
142.42,5.42665
142.609,5.47332
142.798,5.52203
142.987,5.57252
143.177,5.62458
143.366,5.67801
143.555,5.73263
143.681,5.78043
143.807,5.82212
143.933,5.85873
144.059,5.90652
144.185,5.94833
144.311,5.98491
144.437,6.01692
144.563,6.04493
144.69,6.08519
144.816,6.12041
144.942,6.15124
145.068,6.17821
145.194,6.20181
145.32,6.2382
145.446,6.27005
145.572,6.29805
145.698,6.32242
145.824,6.34374
145.95,6.37815
146.076,6.40825
146.202,6.43459
146.329,6.45765
146.455,6.47781
146.581,6.51121
146.707,6.54044
146.833,6.566
146.959,6.59625
147.085,6.62285
147.211,6.63824
147.337,6.65171
147.463,6.6635
147.589,6.68956
147.715,6.71224
147.842,6.73208
147.968,6.74945
330.091,6.63864
330.217,6.54169
330.343,6.46472
330.469,6.39738
330.595,6.34634
330.722,6.30167
330.848,6.27046
330.974,6.24315
331.1,6.22713
331.226,6.21299
331.352,6.20849
331.478,6.20468
331.604,6.20922
331.73,6.21319
331.856,6.22454
331.982,6.23447
332.171,6.25104
332.361,6.27341
332.487,6.30086
332.613,6.32487
332.739,6.35377
332.865,6.37904
332.991,6.40916
333.117,6.43552
333.243,6.46645
333.369,6.49339
333.495,6.52485
333.621,6.55236
333.747,6.58432
333.874,6.61228
334,6.64462
334.126,6.67291
334.252,6.70555
334.378,6.73411
334.567,6.76709
334.756,6.80383
334.945,6.84385
