Time,Window Size
0.0,0
0.038744,3400
0.139503,3740
0.265583,4080
0.391663,4420
0.517743,4760
0.643823,5100
0.769903,5440
0.895983,5780
1.02206,6120
1.14814,6460
1.27422,6800
1.4003,7140
1.52638,7480
1.65246,7820
1.77854,8160
1.90462,8500
2.0307,8840
2.15678,9180
2.28286,9520
2.40894,9860
2.53502,10200
2.6611,10540
2.78718,10880
2.91326,11220
3.03934,11560
3.16542,11900
3.2915,12240
3.41758,12580
3.54366,12920
3.66974,13260
3.79582,13600
3.9219,13940
4.04798,14280
4.17406,14620
4.30014,14960
4.42622,15300
4.5523,15640
4.67838,15980
4.80446,16320
4.93054,16660
5.05662,17000
5.1827,17340
5.30878,17680
5.43486,18020
5.56094,18360
5.68702,18700
5.8131,19040
5.93918,19380
6.06526,19720
6.19134,20060
6.31742,20400
6.4435,20740
6.56958,21080
6.69566,21420
6.82174,21760
6.94782,22100
7.0739,22440
7.19998,22780
7.32606,23120
7.45214,23460
7.57822,23800
7.7043,24140
7.83038,24480
7.95646,24820
8.08254,25160
8.20862,25500
8.3347,25840
8.46078,26180
8.58686,26520
8.71294,26860
8.83902,27200
8.9651,27540
9.09118,27880
9.21726,28220
9.34334,28560
9.46942,28900
9.5955,29240
9.72158,29580
9.84766,29920
9.97374,30260
10.0998,30600
10.2259,30940
10.352,31280
10.4781,31620
10.6041,31960
10.7302,32300
10.8563,32640
10.9824,32980
11.1085,33320
11.2345,33660
11.3606,34000
11.4867,34340
11.6128,34680
11.7389,35020
11.8649,35360
11.991,35700
12.1171,36040
12.2432,36380
12.3693,36720
12.4953,37060
12.6214,37400
12.7475,37740
12.8736,38080
12.9997,38420
13.1257,38760
13.2518,39100
13.3779,39440
13.504,39780
13.6301,40120
13.7561,40460
13.8822,40800
14.0083,41140
14.1344,41480
14.2605,41820
14.3865,42160
14.5126,42500
14.6387,42840
14.7648,43180
14.8909,43520
15.0169,43860
15.143,44200
15.2691,44540
15.3952,44880
15.5213,45220
15.6473,45560
15.7734,45900
15.8995,46240
16.0256,46580
16.1517,46920
16.2777,47260
16.4038,47600
16.5299,47940
16.656,48280
16.7821,48620
16.9081,48960
17.0342,49300
17.1603,49640
17.2864,49980
17.4125,50320
17.5385,50660
17.6646,51000
17.7907,51340
17.9168,51680
18.0429,52020
18.1689,52360
18.295,52700
18.4211,53040
18.5472,53380
18.6733,53720
18.7993,54060
18.9885,53720
25.6077,53040
25.6707,53380
32.2269,52700
32.2899,53040
33.3555,340
38.8461,680
40.0438,1020
40.1699,1360
40.2329,1700
40.4851,2040
40.6112,2380
40.8633,2720
41.0525,3060
41.1785,3400
41.4307,3740
41.6198,4080
41.6829,4420
41.9981,4760
42.1241,5100
42.3763,5440
42.5654,5780
42.6915,6120
42.9437,6460
43.1328,6800
43.1958,7140
43.511,7480
43.6371,7820
43.8893,8160
44.0784,8500
44.2045,8840
44.4566,9180
44.6457,9520
44.7088,9860
45.024,10200
45.1501,10540
45.4022,10880
45.5913,11220
45.7174,11560
45.9696,11900
46.1587,12240
46.2217,12580
46.5369,12920
46.663,13260
46.9152,13600
47.1043,13940
47.2304,14280
47.4825,14620
47.6717,14960
47.7347,15300
48.0499,15640
48.176,15980
48.4281,16320
48.6173,16660
48.7433,17000
48.9955,17340
49.3737,17000
52.4627,16320
52.5888,15980
52.7149,15640
52.8409,15300
52.967,14960
53.0931,14620
53.2192,14280
53.3453,13940
53.4713,13600
53.5974,13260
53.7235,12920
53.8496,12580
53.9757,12240
54.1017,11900
54.2278,11560
54.3539,11220
54.48,10880
54.6061,10540
54.7321,10200
54.8582,9860
54.9843,9520
55.1104,9180
55.2365,8840
55.3625,8500
55.4886,8160
55.6147,7820
55.7408,8500
55.7408,8513
55.8669,8526
55.9929,8539
56.119,8552
56.2451,8565
56.3712,8578
56.4973,8591
56.6233,8604
56.7494,8617
56.8755,8630
57.0016,8643
57.1277,8656
57.2537,8669
57.3798,8682
57.5059,8695
57.632,8708
57.7581,8721
57.8841,8734
58.0102,8747
58.1363,8760
58.2624,8773
58.3885,8786
58.5145,8799
58.6406,8812
58.7667,8825
58.9558,8160
60.5318,7480
60.5949,7820
60.7209,7140
60.847,6800
60.9731,6460
61.0992,6120
61.2253,5780
61.3513,5440
61.4774,5100
61.6035,4760
61.7296,4420
61.8557,4080
61.9817,3740
62.1078,3400
62.2339,3060
62.36,2720
62.4861,2380
62.6121,2040
62.7382,1700
62.8643,1360
62.9904,1020
63.1165,680
63.2425,340
63.3686,0
63.7469,4080
63.7469,4108
63.8729,4136
63.999,4163
71.7468,340
