Time,Goodput
1.0001,5628
2.0001,6304
3.0001,6304
4.0001,6304
5.0001,6304
6.0001,6304
7.0001,6304
8.0001,5910
9.0001,6304
10.0001,6304
11.0001,6304
12.0001,6304
13.0001,6304
14.0001,6304
15.0001,6304
16.0001,5910
17.0001,6304
18.0001,6304
19.0001,6304
20.0001,6304
21.0001,6304
22.0001,6304
23.0001,5910
24.0001,6304
25.0001,6304
26.0001,6304
27.0001,6304
28.0001,6304
29.0001,6304
30.0001,5910
31.0001,6304
32.0001,6304
33.0001,6304
34.0001,6304
35.0001,6304
36.0001,6304
37.0001,6304
38.0001,5910
39.0001,6304
40.0001,6304
41.0001,6304
42.0001,6304
43.0001,6304
44.0001,6304
45.0001,5910
46.0001,6304
47.0001,6304
48.0001,6304
49.0001,6304
50.0001,6304
51.0001,6304
52.0001,5910
53.0001,6304
54.0001,6304
55.0001,6304
56.0001,6304
57.0001,6304
58.0001,6304
59.0001,5910
60.0001,6304
61.0001,6304
62.0001,6304
63.0001,6304
64.0001,6304
65.0001,0
66.0001,0
67.0001,0
68.0001,0
69.0001,0
70.0001,0
71.0001,0
72.0001,394
73.0001,3546
74.0001,6304
75.0001,6304
76.0001,6304
77.0001,6304
78.0001,5910
79.0001,6304
80.0001,6304
81.0001,6304
82.0001,6304
83.0001,6304
84.0001,6304
85.0001,5910
86.0001,6304
87.0001,6304
88.0001,6304
89.0001,6304
90.0001,6304
91.0001,6304
92.0001,6304
93.0001,5910
94.0001,6304
95.0001,6304
96.0001,6304
97.0001,6304
98.0001,6304
99.0001,6304
100,5910
101,6304
102,6304
103,6304
104,6304
105,6304
106,6304
107,5910
108,6304
109,6304
110,6304
111,6304
112,6304
113,6304
114,6304
115,5910
116,6304
117,6304
118,6304
119,6304
120,6304
121,6304
122,5910
123,6304
124,6304
125,6304
126,6304
127,6304
128,5122
129,6304
130,6304
131,6304
132,6304
133,6304
134,6304
135,5910
136,6304
137,6304
138,6304
139,6304
140,6304
141,6304
142,6304
143,5910
144,6304
145,6304
146,6304
147,6304
148,6304
149,6304
150,5910
151,6304
152,6304
153,6304
154,6304
155,6304
156,6304
157,5910
158,6304
159,6304
160,6304
161,6304
162,6304
163,6304
164,5910
165,6304
166,6304
167,6304
168,6304
169,6304
170,6304
171,6304
172,5910
173,6304
174,6304
175,6304
176,6304
177,6304
178,6304
179,5910
180,6304
181,6304
182,6304
183,6304
184,6304
185,6304
186,5910
187,6304
188,6304
189,6304
190,6304
191,5516
192,5910
193,6304
194,6304
195,6304
196,6304
197,6304
198,6304
199,6304
200,5910
201,6304
202,6304
203,6304
204,6304
205,6304
206,6304
207,5910
208,6304
209,6304
210,6304
211,6304
212,6304
213,6304
214,5910
215,6304
216,6304
217,6304
218,6304
219,6304
220,6304
221,6304
222,5910
223,6304
224,6304
225,6304
226,6304
227,6304
228,6304
229,5910
230,6304
231,6304
232,6304
233,6304
234,6304
235,6304
236,5910
237,6304
238,6304
239,6304
240,6304
241,6304
242,6304
243,6304
244,5910
245,6304
246,6304
247,6304
248,6304
249,6304
250,6304
251,5910
252,6304
253,6304
254,5516
255,6304
256,6304
257,5910
258,6304
259,6304
260,6304
261,6304
262,6304
263,6304
264,5910
265,6304
266,6304
267,6304
268,6304
269,6304
270,6304
271,6304
272,5910
273,6304
274,6304
275,6304
276,6304
277,6304
278,6304
279,5910
280,6304
281,6304
282,6304
283,6304
284,6304
285,6304
286,5910
287,6304
288,6304
289,6304
290,6304
291,6304
292,6304
293,5910
294,6304
295,6304
296,6304
297,6304
298,6304
299,6304
300,6304
301,5910
302,6304
303,6304
304,6304
305,6304
306,6304
307,6304
308,5910
309,6304
310,6304
311,6304
312,6304
313,6304
314,6304
315,5910
316,6304
317,5122
318,6304
319,6304
320,6304
321,3152
322,1576
323,4728
324,5910
325,6304
326,6304
327,6304
328,6304
329,6304
330,6304
331,5910
332,6304
333,6304
334,6304
335,6304
336,6304
337,6304
338,5910
339,6304
340,6304
341,6304
342,6304
343,6304
344,6304
345,6304
346,5910
347,6304
348,6304
349,6304
350,6304
351,6304
352,6304
353,5910
354,6304
355,6304
356,6304
357,6304
358,6304
359,6304
360,5910
361,6304
362,6304
363,6304
364,6304
365,6304
366,6304
367,6304
368,5910
369,6304
370,6304
371,6304
372,6304
373,6304
374,6304
375,5910
376,6304
377,6304
377.999,6304
