Time,RTO
0.038744,1
0.643823,1.21735
0.769903,1.55365
0.895983,1.77677
1.02206,1.89241
1.14814,1.93282
1.27422,2.06435
1.4003,2.11374
1.52638,2.1077
1.65246,2.20721
1.77854,2.23507
1.90462,2.21504
2.0307,2.30596
2.15678,2.32791
2.28286,2.305
2.40894,2.39512
2.53502,2.41992
2.6611,2.39997
2.78718,2.49304
2.91326,2.51955
3.03934,2.50156
3.16542,2.59667
3.2915,2.62523
3.41758,2.60921
3.54366,2.70619
3.66974,2.73648
3.79582,2.72207
3.9219,2.82051
4.04798,2.85213
4.17406,2.84003
4.30014,2.94028
4.42622,2.97219
4.5523,2.95933
4.67838,3.05927
4.80446,3.09228
4.93054,3.08034
5.05662,3.18102
5.1827,3.21466
5.30878,3.20325
5.43486,3.30437
5.56094,3.33838
5.68702,3.32841
5.8131,3.43053
5.93918,3.46523
6.06526,3.45458
6.19134,3.55626
6.31742,3.59067
6.4435,3.57986
6.56958,3.68145
6.69566,3.71583
6.82174,3.70389
6.94782,3.80478
7.0739,3.83875
7.19998,3.82774
7.32606,3.93042
7.45214,3.96561
7.57822,3.9554
7.7043,4.05747
7.83038,4.09222
7.95646,4.08171
8.08254,4.18356
8.20862,4.21817
8.3347,4.20757
8.46078,4.30937
8.58686,4.34395
8.71294,4.33333
8.83902,4.43626
8.9651,4.47157
9.09118,4.4603
9.21726,4.56164
9.34334,4.59591
9.46942,4.58509
9.5955,4.68676
9.72158,4.72128
9.84766,4.71064
9.97374,4.81245
10.0998,4.84706
10.2259,4.83649
10.352,4.93835
10.4781,4.97412
10.6041,4.96431
10.7302,5.06665
10.8563,5.10156
10.9824,5.09115
11.1085,5.19306
11.2345,5.22768
11.3606,5.21708
11.4867,5.31886
11.6128,5.35229
11.7389,5.3409
11.8649,5.44222
11.991,5.47763
12.1171,5.46761
12.2432,5.56982
12.3693,5.60468
12.4953,5.59426
12.6214,5.6962
12.7475,5.73087
12.8736,5.72031
12.9997,5.82215
13.1257,5.85676
13.2518,5.84617
13.3779,5.948
13.504,5.9826
13.6301,5.97314
13.7561,6.0757
13.8822,6.10964
14.0083,6.09859
14.1344,6.20009
14.2605,6.23449
14.3865,6.22376
14.5126,6.32551
14.6387,6.36008
14.7648,6.34948
14.8909,6.45133
15.0169,6.48596
15.143,6.47654
15.2691,6.57915
15.3952,6.61427
15.5213,6.60399
15.6473,6.706
15.7734,6.74069
15.8995,6.73012
16.0256,6.83193
16.1517,6.8665
16.2777,6.85473
16.4038,6.95576
16.5299,6.98986
16.656,6.97895
16.7821,7.08174
16.9081,7.11701
17.0342,7.10688
17.1603,7.20901
17.2864,7.24382
17.4125,7.23336
17.5385,7.33526
17.6646,7.36991
17.7907,7.35933
17.9168,7.46117
18.0429,7.49577
18.1689,7.48517
18.295,7.58812
18.4211,7.62346
18.5472,7.6122
18.6733,7.71355
18.7993,7.74783
33.3555,15.4957
38.8461,7.74783
71.7468,15.4957
72.1309,7.74783
74.5743,12.5584
74.7004,15.3387
74.8265,16.6996
74.9526,17.0867
75.0786,16.8224
75.2047,16.1391
75.3308,15.202
75.4569,14.1278
75.583,12.9971
75.709,11.8637
75.8351,10.765
75.9612,9.72339
76.0873,8.75174
76.2134,7.85725
76.3394,7.04045
76.4655,6.18991
76.5916,5.458
76.7177,4.8268
76.8438,4.28143
76.9698,3.80942
77.0959,3.40031
77.222,3.04438
77.3481,2.73538
77.4742,2.46684
77.6002,2.23324
77.7263,2.02987
77.8524,1.85356
77.9785,1.69963
78.1046,1.56518
78.2306,1.44773
78.3567,1.34509
78.4828,1.25539
78.6089,1.17698
78.735,1.10843
78.861,1.04761
78.9871,1
79.1132,1.01065
79.2393,1.0132
79.3654,1.00687
79.4914,1
82.3913,1.00817
82.5174,1.0637
82.6434,1.09449
82.7695,1.10809
82.8956,1.10886
83.0217,1.10227
83.1478,1.09106
83.2738,1.07718
83.3999,1.06196
83.526,1.04748
83.6521,1.03284
83.7782,1.01855
83.9042,1.00493
84.0303,1
86.0476,1.03993
86.1737,1.12954
86.2998,1.18455
86.4258,1.21513
86.5519,1.22873
86.678,1.23188
86.8041,1.22698
86.9302,1.21696
87.0562,1.20388
87.1823,1.18921
87.3084,1.17395
87.4345,1.15878
87.5606,1.14414
87.6866,1.12919
87.8127,1.11559
87.9388,1.1033
88.0649,1.09226
88.191,1.08238
88.317,1.0747
88.4431,1.06761
88.5692,1.06112
88.6953,1.05523
88.8214,1.04993
88.9474,1.04516
89.0735,1.04091
89.1996,1.03712
89.3257,1.03263
89.4518,1.02892
89.5778,1.02582
89.7039,1.02324
89.83,1.02219
89.9561,1.02109
90.0822,1.01999
90.2082,1.01892
90.3343,1.15966
90.4604,1.25126
90.5865,1.30773
90.7126,1.3394
90.8386,1.35379
90.9647,1.35527
91.0908,1.34933
91.2169,1.3387
91.343,1.32533
91.469,1.3117
91.5951,1.29723
91.7212,1.28267
91.8473,1.2685
91.9734,1.25503
92.0994,1.24243
92.2255,1.23081
92.3516,1.2202
92.4777,1.21056
92.6038,1.20076
92.7298,1.19223
92.8559,1.18482
92.982,1.17949
93.1081,1.17461
93.2342,1.17016
93.3602,1.16615
93.4863,1.16254
93.6124,1.15931
93.7385,1.15643
93.8646,1.15387
93.9906,1.1516
94.1167,1.14847
94.2428,1.14596
94.3689,1.14395
94.495,1.14231
94.621,1.1421
94.7471,1.14174
94.8732,1.1413
94.9993,1.28256
95.1254,1.37459
95.2514,1.43143
95.3775,1.46341
95.5036,1.47807
95.6297,1.48091
95.7558,1.4759
95.8818,1.46477
96.0079,1.45107
96.134,1.43723
96.2601,1.42264
96.3862,1.40802
96.5122,1.39383
96.6383,1.38036
96.7644,1.3678
96.8905,1.35621
97.0166,1.34563
97.1426,1.33605
97.2687,1.32742
97.3948,1.31855
97.5209,1.3109
97.647,1.30429
97.773,1.29969
97.8991,1.29547
98.0252,1.29161
98.1513,1.28813
98.2774,1.285
98.4034,1.28219
98.5295,1.27969
98.6556,1.27746
98.7817,1.27549
98.9078,1.27374
99.0338,1.27107
99.1599,1.26897
99.286,1.26844
99.4121,1.26785
99.5382,1.26726
99.6642,1.26667
99.7903,1.26611
99.9164,1.26558
100.042,1.26509
100.169,1.26464
100.295,1.26424
100.421,1.40562
100.547,1.49782
100.673,1.55373
100.799,1.58519
100.925,1.60073
101.051,1.60425
101.177,1.59977
101.303,1.59019
101.429,1.57755
101.555,1.5633
101.682,1.54843
101.808,1.53364
101.934,1.51934
102.06,1.50583
102.186,1.49324
102.312,1.48054
102.438,1.47038
102.564,1.46111
102.69,1.4527
102.816,1.44514
102.942,1.43835
103.068,1.4323
103.194,1.42691
103.321,1.42212
103.447,1.41788
103.573,1.41414
103.699,1.41083
103.825,1.40679
103.951,1.40349
104.077,1.4019
104.203,1.4004
104.329,1.39899
104.455,1.39769
104.581,1.3965
104.707,1.39543
104.834,1.39446
104.96,1.39359
105.086,1.39281
105.212,1.39212
105.338,1.39151
105.464,1.3905
105.59,1.39025
105.716,1.38998
105.842,1.38971
105.968,1.38945
106.094,1.38921
106.22,1.53072
106.346,1.62304
106.473,1.68019
106.599,1.71246
106.725,1.72741
106.851,1.73052
106.977,1.72577
107.103,1.71487
107.229,1.70251
107.355,1.68847
107.481,1.67377
107.607,1.65911
107.733,1.64492
107.859,1.63148
107.986,1.61896
108.112,1.60743
108.238,1.59692
108.364,1.5874
108.49,1.57882
108.616,1.57114
108.742,1.56428
108.868,1.55817
108.994,1.55276
109.12,1.54796
109.246,1.54372
109.372,1.53998
109.498,1.53668
109.625,1.53377
109.751,1.53122
109.877,1.52897
110.003,1.527
110.129,1.52527
110.255,1.52262
110.381,1.52168
110.507,1.52079
110.633,1.51996
110.759,1.5192
110.885,1.51851
111.011,1.51788
111.138,1.51732
111.264,1.51682
111.39,1.51636
111.516,1.51596
111.642,1.51561
111.768,1.51529
111.894,1.51501
112.02,1.51477
112.146,1.51455
112.272,1.51436
112.398,1.51419
112.524,1.51405
112.65,1.65567
112.777,1.74809
112.903,1.80533
113.029,1.83769
113.155,1.85272
113.281,1.85591
113.407,1.85122
113.533,1.84151
113.659,1.82882
113.785,1.81455
113.911,1.7997
114.037,1.78493
114.163,1.77069
114.29,1.75722
114.416,1.74469
114.542,1.73316
114.668,1.72266
114.794,1.71314
114.92,1.70459
115.046,1.69805
115.172,1.69082
115.298,1.68446
115.424,1.67886
115.55,1.67394
115.676,1.66962
115.802,1.66583
115.929,1.6625
116.055,1.65958
116.181,1.65703
116.307,1.65478
116.433,1.65282
116.559,1.6511
116.685,1.64959
116.811,1.64827
116.937,1.64712
117.063,1.6461
117.189,1.64522
117.315,1.64444
117.442,1.64376
117.568,1.64317
117.694,1.64265
117.82,1.64219
117.946,1.64179
118.072,1.64145
118.198,1.64227
118.324,1.64161
118.45,1.6411
118.576,1.6407
118.702,1.64038
118.828,1.64013
118.954,1.63993
119.081,1.63993
119.207,1.63993
119.333,1.63994
119.459,1.63995
119.585,1.78113
119.711,1.8736
119.837,1.93202
119.963,1.96404
120.089,1.97884
120.215,1.98186
120.341,1.97707
120.467,1.9673
120.594,1.95457
120.72,1.94029
120.846,1.92544
120.972,1.91068
121.098,1.89644
121.224,1.88299
121.35,1.8716
121.476,1.86083
121.602,1.84967
121.728,1.8397
121.854,1.83082
121.98,1.82294
122.106,1.81596
122.233,1.80978
122.359,1.80433
122.485,1.79952
122.611,1.79529
122.737,1.79157
122.863,1.78829
122.989,1.78654
123.115,1.78363
123.241,1.78113
123.367,1.77899
123.493,1.77714
123.619,1.77555
123.746,1.77418
123.872,1.773
123.998,1.77197
124.124,1.77108
124.25,1.7703
124.376,1.76963
124.502,1.77016
124.628,1.77039
124.754,1.76927
124.88,1.76841
125.006,1.76773
125.132,1.76721
125.258,1.76679
125.385,1.76646
125.511,1.7662
125.637,1.76599
125.763,1.76592
125.889,1.76593
126.015,1.76594
126.141,1.76661
126.267,1.76628
126.393,1.76605
126.519,1.76605
126.645,1.76604
126.771,1.76603
126.898,1.76603
127.042,1.92843
128.971,3.85686
129.133,1.92843
145.964,2.84511
146.469,3.38034
146.658,3.6476
147.036,3.84091
147.162,3.75434
147.351,3.60188
147.603,3.52122
147.729,3.37686
147.855,3.13919
147.982,2.90481
148.108,2.79016
148.234,2.53323
148.36,2.30514
148.486,2.21336
148.612,2.09971
148.738,1.97438
148.864,1.84622
148.99,1.7202
149.116,1.59952
149.242,1.487
149.368,1.27318
149.494,1.11277
149.621,1
155.294,1.01526
155.42,1.07001
155.546,1.1001
155.672,1.11306
155.798,1.11438
155.925,1.10689
156.051,1.09495
156.177,1.08045
156.303,1.06474
156.429,1.04872
156.555,1.03299
156.681,1.01908
156.807,1.0057
156.933,1
158.95,1.04004
159.077,1.13079
159.203,1.18541
159.329,1.21571
159.455,1.2291
159.581,1.23098
159.707,1.22524
159.833,1.21582
159.959,1.20317
160.085,1.1888
160.211,1.17375
160.337,1.15873
160.463,1.14419
160.59,1.13043
160.716,1.1176
160.842,1.10466
160.968,1.09315
161.094,1.08293
161.22,1.07389
161.346,1.06702
161.472,1.06069
161.598,1.05493
161.724,1.04971
161.85,1.04502
161.976,1.04081
162.102,1.03705
162.229,1.03371
162.355,1.02962
162.481,1.02626
162.607,1.02349
162.733,1.02118
162.859,1.01926
162.985,1.01877
