Time,RTT
0.038744,0.038
0.139503,0.045875
0.265583,0.068515
0.391663,0.104075
0.517743,0.15094
0.643823,0.207697
0.769903,0.273109
0.895983,0.33347
1.02206,0.386411
1.14814,0.432734
1.27422,0.489017
1.4003,0.538264
1.52638,0.581356
1.65246,0.634811
1.77854,0.681584
1.90462,0.722511
2.0307,0.774072
2.15678,0.819063
2.28286,0.85843
2.40894,0.908626
2.53502,0.952672
2.6611,0.991213
2.78718,1.04069
2.91326,1.08397
3.03934,1.12185
3.16542,1.17075
3.2915,1.21353
3.41758,1.25096
3.54366,1.29947
3.66974,1.34191
3.79582,1.37904
3.9219,1.42729
4.04798,1.4695
4.17406,1.50656
4.30014,1.55474
4.42622,1.59677
4.5523,1.63355
4.67838,1.68148
4.80446,1.72342
4.93054,1.76012
5.05662,1.80798
5.1827,1.84986
5.30878,1.8865
5.43486,1.93431
5.56094,1.97615
5.68702,2.01288
5.8131,2.06077
5.93918,2.10267
6.06526,2.13934
6.19134,2.18717
6.31742,2.22902
6.4435,2.26564
6.56958,2.31344
6.69566,2.35526
6.82174,2.39173
6.94782,2.43938
7.0739,2.48109
7.19998,2.51757
7.32606,2.56538
7.45214,2.6072
7.57822,2.6438
7.7043,2.69158
7.83038,2.73338
7.95646,2.76996
8.08254,2.81771
8.20862,2.8595
8.3347,2.89606
8.46078,2.9438
8.58686,2.98558
8.71294,3.02213
8.83902,3.06999
8.9651,3.11186
9.09118,3.14838
9.21726,3.19608
9.34334,3.23782
9.46942,3.27434
9.5955,3.32205
9.72158,3.36379
9.84766,3.40032
9.97374,3.44803
10.0998,3.48977
10.2259,3.5263
10.352,3.57401
10.4781,3.61589
10.6041,3.65253
10.7302,3.70033
10.8563,3.74217
10.9824,3.77877
11.1085,3.82655
11.2345,3.86836
11.3606,3.90494
11.4867,3.95269
11.6128,3.99436
11.7389,4.03081
11.8649,4.07846
11.991,4.12028
12.1171,4.15687
12.2432,4.20463
12.3693,4.24643
12.4953,4.283
12.6214,4.33075
12.7475,4.37253
12.8736,4.40909
12.9997,4.45683
13.1257,4.4986
13.2518,4.53515
13.3779,4.58288
13.504,4.62464
13.6301,4.66131
13.7561,4.70915
13.8822,4.75088
14.0083,4.78739
14.1344,4.83509
14.2605,4.87683
14.3865,4.91335
14.5126,4.96106
14.6387,5.0028
14.7648,5.03932
14.8909,5.08703
15.0169,5.12878
15.143,5.16543
15.2691,5.21325
15.3952,5.25509
15.5213,5.29171
15.6473,5.33949
15.7734,5.38131
15.8995,5.41789
16.0256,5.46566
16.1517,5.50745
16.2777,5.54389
16.4038,5.59153
16.5299,5.63321
16.656,5.66969
16.7821,5.71748
16.9081,5.75929
17.0342,5.79588
17.1603,5.84364
17.2864,5.88544
17.4125,5.92201
17.5385,5.96976
17.6646,6.01154
17.7907,6.04809
17.9168,6.09583
18.0429,6.1376
18.1689,6.17415
18.295,6.22201
18.4211,6.26388
18.5472,6.3004
18.6733,6.3481
18.7993,6.38983
74.5743,5.6541
74.7004,5.01034
74.8265,4.44705
74.9526,3.95417
75.0786,3.5229
75.2047,3.14553
75.3308,2.81534
75.4569,2.52642
75.583,2.27362
75.709,2.05254
75.8351,1.8591
75.9612,1.68984
76.0873,1.54173
76.2134,1.41202
76.3394,1.29851
76.4655,1.21495
76.5916,1.14183
76.7177,1.07785
76.8438,1.02187
76.9698,0.972884
77.0959,0.930023
77.222,0.892645
77.3481,0.859939
77.4742,0.831321
77.6002,0.80628
77.7263,0.78437
77.8524,0.765073
77.9785,0.748188
78.1046,0.733414
78.2306,0.720487
78.3567,0.709176
78.4828,0.699279
78.6089,0.690619
78.735,0.683041
78.861,0.676535
78.9871,0.670843
79.1132,0.681612
79.2393,0.691035
79.3654,0.69928
79.4914,0.706495
79.6175,0.712683
79.7436,0.718097
79.8697,0.722834
79.9958,0.726979
80.1218,0.730606
80.2479,0.73378
80.374,0.736682
80.5001,0.739221
80.6262,0.741443
80.7522,0.743387
80.8783,0.745088
81.0044,0.746577
81.1305,0.747754
81.2566,0.748784
81.3826,0.749686
81.5087,0.750475
81.6348,0.751165
81.7609,0.751769
81.887,0.752297
82.013,0.752884
82.1391,0.753398
82.2652,0.769598
82.3913,0.783773
82.5174,0.796176
82.6434,0.807029
82.7695,0.816525
82.8956,0.824709
83.0217,0.83187
83.1478,0.838136
83.2738,0.843619
83.3999,0.848416
83.526,0.852739
83.6521,0.856521
83.7782,0.85983
83.9042,0.862726
84.0303,0.86526
84.1564,0.867477
84.2825,0.869417
84.4086,0.870989
84.5346,0.872365
84.6607,0.873569
84.7868,0.874622
84.9129,0.875544
85.039,0.876351
85.165,0.877182
85.2911,0.877909
85.4172,0.878545
85.5433,0.879101
85.6694,0.879588
85.7954,0.880014
85.9215,0.880387
86.0476,0.896463
86.1737,0.910405
86.2998,0.922604
86.4258,0.933278
86.5519,0.942618
86.678,0.950915
86.8041,0.958175
86.9302,0.964528
87.0562,0.970087
87.1823,0.974951
87.3084,0.979207
87.4345,0.982931
87.5606,0.986189
87.6866,0.988915
87.8127,0.9913
87.9388,0.993387
88.0649,0.995213
88.191,0.996811
88.317,0.998334
88.4431,0.999667
88.5692,1.00083
88.6953,1.00185
88.8214,1.00275
88.9474,1.00353
89.0735,1.00421
89.1996,1.00481
89.3257,1.00521
89.4518,1.00556
89.5778,1.00586
89.7039,1.00613
89.83,1.00649
89.9561,1.0068
90.0822,1.00707
90.2082,1.00731
90.3343,1.02327
90.4604,1.03724
90.5865,1.04946
90.7126,1.06015
90.8386,1.06951
90.9647,1.07757
91.0908,1.08462
91.2169,1.09079
91.343,1.09619
91.469,1.10104
91.5951,1.10529
91.7212,1.109
91.8473,1.11225
91.9734,1.11509
92.0994,1.11758
92.2255,1.11976
92.3516,1.12166
92.4777,1.12333
92.6038,1.12466
92.7298,1.12583
92.8559,1.12685
92.982,1.12787
93.1081,1.12876
93.2342,1.12954
93.3602,1.13022
93.4863,1.13082
93.6124,1.13134
93.7385,1.1318
93.8646,1.1322
93.9906,1.13255
94.1167,1.13273
94.2428,1.13289
94.3689,1.13303
94.495,1.13315
94.621,1.13338
94.7471,1.13358
94.8732,1.13376
94.9993,1.14966
95.1254,1.16358
95.2514,1.17576
95.3775,1.18641
95.5036,1.19573
95.6297,1.20389
95.7558,1.21103
95.8818,1.21715
96.0079,1.22251
96.134,1.22732
96.2601,1.23153
96.3862,1.23521
96.5122,1.23843
96.6383,1.24125
96.7644,1.24372
96.8905,1.24588
97.0166,1.24777
97.1426,1.24942
97.2687,1.25087
97.3948,1.25201
97.5209,1.25301
97.647,1.25388
97.773,1.25477
97.8991,1.25555
98.0252,1.25623
98.1513,1.25683
98.2774,1.25735
98.4034,1.2578
98.5295,1.2582
98.6556,1.25855
98.7817,1.25886
98.9078,1.25913
99.0338,1.25923
99.1599,1.25933
99.286,1.25954
99.4121,1.25972
99.5382,1.25988
99.6642,1.26002
99.7903,1.26014
99.9164,1.26025
100.042,1.26034
100.169,1.26042
100.295,1.2605
100.421,1.27631
100.547,1.29015
100.673,1.30213
100.799,1.31261
100.925,1.32191
101.051,1.33004
101.177,1.33716
101.303,1.34339
101.429,1.34884
101.555,1.35361
101.682,1.35779
101.808,1.36144
101.934,1.36463
102.06,1.36743
102.186,1.36987
102.312,1.37189
102.438,1.37378
102.564,1.37543
102.69,1.37688
102.816,1.37814
102.942,1.37925
103.068,1.38022
103.194,1.38106
103.321,1.38181
103.447,1.38245
103.573,1.38302
103.699,1.38352
103.825,1.38383
103.951,1.3841
104.077,1.38446
104.203,1.38478
104.329,1.38506
104.455,1.3853
104.581,1.38551
104.707,1.3857
104.834,1.38586
104.96,1.386
105.086,1.38613
105.212,1.38623
105.338,1.38633
105.464,1.38629
105.59,1.38638
105.716,1.38645
105.842,1.38652
105.968,1.38658
106.094,1.38663
106.22,1.40243
106.346,1.41625
106.473,1.42834
106.599,1.43892
106.725,1.44818
106.851,1.45629
106.977,1.46337
107.103,1.46945
107.229,1.4749
107.355,1.47966
107.481,1.48382
107.607,1.48747
107.733,1.49066
107.859,1.49345
107.986,1.4959
108.112,1.49803
108.238,1.4999
108.364,1.50154
108.49,1.50297
108.616,1.50423
108.742,1.50532
108.868,1.50628
108.994,1.50712
109.12,1.50785
109.246,1.5085
109.372,1.50906
109.498,1.50955
109.625,1.50998
109.751,1.51036
109.877,1.51069
110.003,1.51098
110.129,1.51123
110.255,1.51133
110.381,1.51154
110.507,1.51172
110.633,1.51188
110.759,1.51202
110.885,1.51214
111.011,1.51225
111.138,1.51234
111.264,1.51242
111.39,1.51249
111.516,1.51256
111.642,1.51261
111.768,1.51266
111.894,1.5127
112.02,1.51274
112.146,1.51277
112.272,1.5128
112.398,1.51283
112.524,1.51285
112.65,1.52862
112.777,1.54241
112.903,1.55449
113.029,1.56505
113.155,1.57429
113.281,1.58238
113.407,1.58946
113.533,1.59565
113.659,1.60107
113.785,1.60581
113.911,1.60996
114.037,1.61359
114.163,1.61676
114.29,1.61954
114.416,1.62197
114.542,1.6241
114.668,1.62596
114.794,1.62759
114.92,1.62902
115.046,1.63039
115.172,1.63147
115.298,1.63241
115.424,1.63323
115.55,1.63395
115.676,1.63458
115.802,1.63514
115.929,1.63562
116.055,1.63604
116.181,1.63641
116.307,1.63673
116.433,1.63702
116.559,1.63726
116.685,1.63748
116.811,1.63767
116.937,1.63784
117.063,1.63798
117.189,1.63811
117.315,1.63822
117.442,1.63832
117.568,1.6384
117.694,1.63847
117.82,1.63854
117.946,1.6386
118.072,1.63865
118.198,1.63882
118.324,1.63884
118.45,1.63886
118.576,1.63888
118.702,1.63889
118.828,1.6389
118.954,1.63892
119.081,1.63893
119.207,1.63894
119.333,1.63894
119.459,1.63895
119.585,1.65471
119.711,1.66849
119.837,1.68068
119.963,1.69122
120.089,1.70044
120.215,1.70851
120.341,1.71557
120.467,1.72175
120.594,1.72716
120.72,1.73189
120.846,1.73602
120.972,1.73965
121.098,1.74282
121.224,1.74559
121.35,1.74814
121.476,1.75037
121.602,1.7522
121.728,1.7538
121.854,1.7552
121.98,1.75642
122.106,1.7575
122.233,1.75843
122.359,1.75925
122.485,1.75997
122.611,1.7606
122.737,1.76115
122.863,1.76163
122.989,1.76218
123.115,1.76253
123.241,1.76284
123.367,1.76311
123.493,1.76334
123.619,1.76355
123.746,1.76373
123.872,1.76389
123.998,1.76403
124.124,1.76415
124.25,1.76425
124.376,1.76435
124.502,1.76455
124.628,1.76473
124.754,1.76477
124.88,1.76479
125.006,1.76482
125.132,1.76484
125.258,1.76486
125.385,1.76488
125.511,1.76489
125.637,1.76491
125.763,1.76492
125.889,1.76493
126.015,1.76494
126.141,1.76507
126.267,1.76506
126.393,1.76505
126.519,1.76504
126.645,1.76504
126.771,1.76503
126.898,1.76503
127.042,1.78315
145.964,1.64701
146.469,1.52775
146.658,1.42341
147.036,1.31636
147.162,1.23856
147.351,1.17049
147.603,1.09518
147.729,1.02916
147.855,0.979262
147.982,0.935604
148.108,0.881653
148.234,0.850196
148.36,0.822671
148.486,0.782837
148.612,0.747982
148.738,0.717609
148.864,0.691032
148.99,0.667778
149.116,0.64743
149.242,0.629501
149.368,0.629563
149.494,0.629617
149.621,0.629664
149.747,0.629706
149.873,0.629742
149.999,0.629774
150.125,0.629802
150.251,0.629826
150.377,0.629972
150.503,0.6301
150.629,0.630212
150.755,0.63031
150.881,0.630396
151.007,0.630346
151.134,0.630302
151.26,0.630264
151.386,0.630231
151.512,0.630202
151.638,0.630176
151.764,0.630154
151.89,0.630259
152.016,0.646101
152.142,0.659963
152.268,0.672092
152.394,0.682705
152.52,0.691991
152.646,0.699992
152.773,0.706993
152.899,0.713118
153.025,0.718478
153.151,0.723168
153.277,0.727272
153.403,0.730863
153.529,0.73413
153.655,0.736988
153.781,0.739489
153.907,0.741677
154.033,0.743592
154.159,0.745268
154.286,0.746609
154.412,0.747782
154.538,0.748809
154.664,0.749707
154.79,0.750493
154.916,0.751181
155.042,0.751908
155.168,0.768294
155.294,0.782632
155.42,0.795178
155.546,0.806155
155.672,0.81576
155.798,0.824165
155.925,0.831394
156.051,0.837719
156.177,0.843254
156.303,0.848097
156.429,0.852334
156.555,0.856042
156.681,0.859411
156.807,0.862359
156.933,0.864939
157.059,0.867196
157.185,0.869171
157.311,0.870899
157.438,0.872411
157.564,0.873609
157.69,0.874657
157.816,0.875574
157.942,0.876377
158.068,0.877079
158.194,0.877819
158.32,0.878466
158.446,0.879032
158.572,0.879528
158.698,0.879962
158.824,0.880341
158.95,0.896423
159.077,0.910495
159.203,0.922683
159.329,0.933347
159.455,0.942678
159.581,0.950843
159.707,0.957987
159.833,0.964363
159.959,0.969942
160.085,0.974824
160.211,0.979096
160.337,0.982834
160.463,0.986104
160.59,0.988966
160.716,0.99147
160.842,0.993536
160.968,0.995344
161.094,0.996926
161.22,0.99831
161.346,0.999646
161.472,1.00082
161.598,1.00184
161.724,1.00273
161.85,1.00352
161.976,1.0042
162.102,1.0048
162.229,1.00533
