Time,Bytes
0.038745,340
0.038745,680
0.038745,1020
0.038745,1360
0.038745,1700
0.038745,2040
0.038745,2380
0.038745,2720
0.038745,3060
0.038745,3400
0.139503,3060
0.139503,3400
0.139503,3740
0.265583,3060
0.265583,3400
0.265583,3740
0.265583,4080
0.391663,3400
0.391663,3740
0.391663,4080
0.391663,4420
0.517743,3740
0.517743,4080
0.517743,4420
0.517743,4760
0.643823,4080
0.643823,4420
0.643823,4760
0.643823,5100
0.769903,4420
0.769903,4760
0.769903,5100
0.769903,5440
0.895983,4760
0.895983,5100
0.895983,5440
0.895983,5780
1.02206,5100
1.02206,5440
1.02206,5780
1.02206,6120
1.14814,5440
1.14814,5780
1.14814,6120
1.14814,6460
1.27422,5780
1.27422,6120
1.27422,6460
1.27422,6800
1.4003,6120
1.4003,6460
1.4003,6800
1.4003,7140
1.52638,6460
1.52638,6800
1.52638,7140
1.52638,7480
1.65246,6800
1.65246,7140
1.65246,7480
1.65246,7820
1.77854,7140
1.77854,7480
1.77854,7820
1.77854,8160
1.90462,7480
1.90462,7820
1.90462,8160
1.90462,8500
2.0307,7820
2.0307,8160
2.0307,8500
2.0307,8840
2.15678,8160
2.15678,8500
2.15678,8840
2.15678,9180
2.28286,8500
2.28286,8840
2.28286,9180
2.28286,9520
2.40894,8840
2.40894,9180
2.40894,9520
2.40894,9860
2.53502,9180
2.53502,9520
2.53502,9860
2.53502,10200
2.6611,9520
2.6611,9860
2.6611,10200
2.6611,10540
2.78718,9860
2.78718,10200
2.78718,10540
2.78718,10880
2.91326,10200
2.91326,10540
2.91326,10880
2.91326,11220
3.03934,10540
3.03934,10880
3.03934,11220
3.03934,11560
3.16542,10880
3.16542,11220
3.16542,11560
3.16542,11900
3.2915,11220
3.2915,11560
3.2915,11900
3.2915,12240
3.41758,11560
3.41758,11900
3.41758,12240
3.41758,12580
3.54366,11900
3.54366,12240
3.54366,12580
3.54366,12920
3.66974,12240
3.66974,12580
3.66974,12920
3.66974,13260
3.79582,12580
3.79582,12920
3.79582,13260
3.79582,13600
3.9219,12920
3.9219,13260
3.9219,13600
3.9219,13940
4.04798,13260
4.04798,13600
4.04798,13940
4.04798,14280
4.17406,13600
4.17406,13940
4.17406,14280
4.17406,14620
4.30014,13940
4.30014,14280
4.30014,14620
4.30014,14960
4.42622,14280
4.42622,14620
4.42622,14960
4.42622,15300
4.5523,14620
4.5523,14960
4.5523,15300
4.5523,15640
4.67838,14960
4.67838,15300
4.67838,15640
4.67838,15980
4.80446,15300
4.80446,15640
4.80446,15980
4.80446,16320
4.93054,15640
4.93054,15980
4.93054,16320
4.93054,16660
5.05662,15980
5.05662,16320
5.05662,16660
5.05662,17000
5.1827,16320
5.1827,16660
5.1827,17000
5.1827,17340
5.30878,16660
5.30878,17000
5.30878,17340
5.30878,17680
5.43486,17000
5.43486,17340
5.43486,17680
5.43486,18020
5.56094,17340
5.56094,17680
5.56094,18020
5.56094,18360
5.68702,17680
5.68702,18020
5.68702,18360
5.68702,18700
5.8131,18020
5.8131,18360
5.8131,18700
5.8131,19040
5.93918,18360
5.93918,18700
5.93918,19040
5.93918,19380
6.06526,18700
6.06526,19040
6.06526,19380
6.06526,19720
6.19134,19040
6.19134,19380
6.19134,19720
6.19134,20060
6.31742,19380
6.31742,19720
6.31742,20060
6.31742,20400
6.4435,19720
6.4435,20060
6.4435,20400
6.4435,20740
6.56958,20060
6.56958,20400
6.56958,20740
6.56958,21080
6.69566,20400
6.69566,20740
6.69566,21080
6.69566,21420
6.82174,20740
6.82174,21080
6.82174,21420
6.82174,21760
6.94782,21080
6.94782,21420
6.94782,21760
6.94782,22100
7.0739,21420
7.0739,21760
7.0739,22100
7.0739,22440
7.19998,21760
7.19998,22100
7.19998,22440
7.19998,22780
7.32606,22100
7.32606,22440
7.32606,22780
7.32606,23120
7.45214,22440
7.45214,22780
7.45214,23120
7.45214,23460
7.57822,22780
7.57822,23120
7.57822,23460
7.57822,23800
7.7043,23120
7.7043,23460
7.7043,23800
7.7043,24140
7.83038,23460
7.83038,23800
7.83038,24140
7.83038,24480
7.95646,23800
7.95646,24140
7.95646,24480
7.95646,24820
8.08254,24140
8.08254,24480
8.08254,24820
8.08254,25160
8.20862,24480
8.20862,24820
8.20862,25160
8.20862,25500
8.3347,24820
8.3347,25160
8.3347,25500
8.3347,25840
8.46078,25160
8.46078,25500
8.46078,25840
8.46078,26180
8.58686,25500
8.58686,25840
8.58686,26180
8.58686,26520
8.71294,25840
8.71294,26180
8.71294,26520
8.71294,26860
8.83902,26180
8.83902,26520
8.83902,26860
8.83902,27200
