Time,State
21.1437,1
21.2698,3
36.1402,4
52.1478,0
52.2109,1
52.337,3
67.0183,4
83.4672,0
83.5302,1
83.6563,3
91.4663,4
108.104,0
108.167,1
108.293,3
122.029,4
137.343,0
137.406,1
137.532,3
152.214,4
167.465,0
167.528,1
167.654,3
182.083,4
196.641,0
196.704,1
196.83,3
210.755,4
223.863,0
223.926,1
224.052,3
237.157,4
247.869,0
247.932,1
248.059,3
259.714,4
266.076,0
266.14,1
266.266,3
268.346,0
269.292,1
269.418,3
271.561,0
271.624,1
271.75,0
272.065,1
272.191,3
274.272,0
274.335,1
274.461,0
274.524,1
274.65,3
276.604,0
276.793,1
276.919,0
277.108,1
277.235,3
279.126,0
279.189,1
279.315,0
279.63,1
279.756,0
279.819,1
279.945,3
281.836,0
281.9,1
282.026,3
283.854,0
283.917,1
284.106,0
284.421,1
284.547,3
286.186,0
286.249,1
286.375,0
286.691,1
286.817,0
286.88,1
287.006,3
288.645,0
288.708,1
288.834,0
288.897,1
289.023,0
289.464,1
289.59,0
289.653,1
289.78,3
291.608,0
291.671,1
291.797,0
291.86,1
291.986,0
292.175,1
292.301,0
292.364,1
292.49,0
292.553,1
292.742,0
292.805,1
292.995,0
293.058,1
293.184,0
293.499,1
293.625,0
293.688,1
293.814,0
293.877,1
294.003,0
294.697,1
294.823,0
295.39,1
295.516,0
295.579,1
295.705,0
296.525,1
296.651,0
296.714,1
296.84,0
296.903,1
297.029,0
297.218,1
297.344,0
297.66,1
297.786,0
297.849,1
297.975,0
298.038,1
298.164,0
298.857,1
298.983,0
299.046,1
299.172,0
299.236,1
299.362,0
299.551,1
299.677,0
299.74,1
299.866,0
301.064,1
301.19,0
301.253,1
301.379,0
302.324,1
302.451,0
314.996,1
315.122,3
329.992,4
345.748,0
345.811,1
345.937,3
353.747,4
370.688,0
370.751,1
370.877,3
378.687,4
395.314,0
395.377,1
395.503,3
409.428,4
424.931,0
424.994,1
425.12,3
439.802,4
455.053,0
455.116,1
455.242,3
469.671,4
484.229,0
484.292,1
484.418,3
498.343,4
511.451,0
511.514,1
511.64,3
524.745,4
535.457,0
535.52,1
535.646,3
547.302,4
553.664,0
553.727,1
553.853,3
555.934,0
556.879,1
557.005,3
559.149,0
559.212,1
559.338,0
559.653,1
559.779,3
561.86,0
561.923,1
562.049,0
562.112,1
562.238,3
564.192,0
564.381,1
564.507,0
564.696,1
564.822,3
566.714,0
566.777,1
566.903,0
567.218,1
567.344,0
567.407,1
567.533,3
569.424,0
569.487,1
569.613,3
571.442,0
571.505,1
571.694,0
572.009,1
572.135,3
573.774,0
573.837,1
573.963,0
574.278,1
574.404,0
574.468,1
574.594,3
576.233,0
576.296,1
576.422,0
576.485,1
576.611,0
577.052,1
577.178,0
577.241,1
577.367,3
579.196,0
579.259,1
579.385,0
579.448,1
