Time,Window Size
0.0,0
0.15424,3400
0.5296,3740
0.65568,4420
0.78176,5100
0.90784,5780
1.03392,6460
1.16,7140
1.28608,7820
1.41216,8500
1.53824,9180
1.66432,9860
1.7904,10540
1.91648,11220
2.04256,11900
2.16864,12580
3.42944,12920
4.312,13260
4.81632,13600
5.06848,13940
5.32064,14280
5.44672,14620
5.69888,14960
5.82496,15300
6.07712,15640
6.2032,15980
6.32928,16320
6.45536,16660
6.58144,17000
6.70752,17340
6.8336,17680
6.95968,18020
7.08576,18360
7.21184,18700
7.33792,19040
7.464,19380
7.59008,19720
7.71616,20060
7.84224,20400
7.96832,20740
8.0944,21080
8.22048,21420
8.34656,21760
8.47264,22100
8.59872,22440
8.7248,22780
8.85088,23120
8.97696,23460
9.10304,23800
9.22912,24140
9.3552,24480
9.48128,24820
9.60736,25160
9.73344,25500
9.85952,25840
9.9856,26180
10.1117,26520
10.2378,26860
10.3638,27200
10.4899,27540
10.616,27880
10.7421,28220
10.8682,28560
10.9942,28900
11.1203,29240
11.2464,29580
11.3725,29920
11.4986,30260
11.6246,30600
11.7507,30940
11.8768,31280
12.0029,31620
12.129,31960
12.255,32300
12.3811,32640
12.5072,32980
12.6333,33320
12.7594,33660
12.8854,34000
13.0115,34340
13.1376,34680
13.2637,35020
13.3898,35360
13.5158,35700
13.6419,36040
13.768,36380
13.8941,36720
14.0202,37060
14.1462,37400
14.2723,37740
14.3984,38080
14.5245,38420
14.6506,38760
14.7766,39100
14.9027,39440
15.0288,39780
15.1549,40120
15.281,40460
15.407,40800
15.5331,41140
15.6592,41480
15.7853,41820
15.9114,42160
16.0374,42500
16.1635,42840
16.2896,43180
16.4157,43520
16.5418,43860
16.6678,44200
16.7939,44540
16.92,44880
17.0461,45220
17.1722,45560
17.2982,45900
17.4243,46240
17.5504,46580
17.6765,46920
17.8026,47260
17.9286,47600
18.0547,47940
18.1808,48280
18.3069,48620
18.433,48960
18.559,49300
18.6851,49640
18.8112,49980
18.9373,50320
19.0634,50660
19.1894,51000
19.3155,51340
19.4416,51680
19.5677,52020
19.6938,52360
19.8198,52700
19.9459,53040
20.072,53380
20.1981,53720
20.3242,54060
20.4502,54400
20.5763,54740
20.7024,55080
20.8285,55420
20.9546,55760
21.0806,56100
21.2698,55760
28.1411,55080
28.2042,55420
35.0125,54740
35.0755,55080
35.5798,54740
35.6429,54400
35.7059,54060
35.769,53720
35.832,53380
35.895,53040
35.9581,52700
36.0211,52360
36.0842,52020
36.1402,340
41.8838,1700
42.4512,2720
42.6403,3060
42.7034,4760
43.0701,5440
43.1962,6800
43.4483,7820
43.6374,8500
43.7635,9860
44.0157,10880
44.2048,11220
44.2678,12920
44.583,13600
44.7091,14960
44.9613,15980
45.1504,16660
45.2765,18020
45.5286,19040
45.7178,19380
45.7808,21080
46.096,21760
46.2221,23120
46.4742,24140
46.6634,24820
46.7894,26180
47.0416,27200
47.2307,27540
47.2938,29240
47.609,29920
47.735,31280
47.9872,32300
48.1763,32980
48.3024,34340
48.5546,35360
48.7437,35700
48.8067,37400
49.1219,37740
49.248,38080
49.5002,38420
49.6893,38760
49.8154,39100
50.0675,39440
50.2566,39780
50.3197,40120
50.6349,40460
50.761,40800
51.0131,41140
51.2022,41480
51.3283,41820
51.5805,42160
51.7696,42500
51.8326,42840
52.337,42500
59.0192,41820
59.0822,42160
65.8275,41480
65.8906,41820
67.0183,340
72.6358,1020
73.8966,1700
74.0227,2040
74.2634,2720
74.3894,3060
74.4525,3740
74.5786,4420
74.7046,4760
74.7677,5440
74.8938,5780
74.9568,6120
75.0198,6800
75.1459,7140
75.209,7820
75.335,8160
75.3981,8500
75.4611,9180
75.5872,9520
75.6502,9860
75.7133,10540
75.8394,10880
75.9024,11220
75.9654,11900
76.0915,12240
76.1546,12580
76.2176,13260
76.3437,13600
76.4067,13940
76.4698,14620
76.5958,14960
76.6589,15300
76.7219,15640
76.785,16320
76.911,16660
76.9741,17000
77.0371,17340
77.1002,18020
77.2262,18360
77.2893,18700
77.3523,19040
77.4154,19720
77.5414,20060
77.6045,20400
77.6675,20740
77.7306,21420
77.8566,21760
77.9197,22100
77.9827,22440
78.0458,23120
78.1718,23460
78.2349,23800
78.2979,24140
78.361,24480
78.424,25160
78.5501,25500
78.6131,25840
78.6762,26180
78.7392,26520
78.8022,27200
78.9283,27540
78.9914,27880
79.0544,28220
79.1174,28560
79.1805,29240
79.3066,29580
79.3696,29920
79.4326,30260
79.4957,30600
79.5587,30940
79.6848,31280
79.7478,31620
79.8109,31960
79.8739,32300
79.937,32640
80.063,32980
80.1261,33320
80.1891,33660
80.2522,34000
80.3152,34340
80.3782,34680
80.5043,35020
80.5674,35360
80.6304,35700
80.6934,36040
80.8195,36380
80.9456,36720
81.0717,37060
81.1978,37400
81.2608,37740
81.4499,38080
81.576,38420
81.7021,38760
81.8282,39100
81.9542,39440
82.0803,39780
82.2064,40120
82.3325,40460
82.4586,40800
82.5846,41140
82.7107,41480
82.8368,41820
82.9629,42160
83.089,42500
83.215,42840
83.3411,43180
83.6563,42840
91.4663,340
91.9146,1020
98.4077,1360
98.4707,2040
98.7744,2380
98.8374,3060
98.9635,3740
99.0896,4080
99.1526,4760
99.2787,5100
99.3418,5440
99.4048,6120
99.5309,6460
99.5939,7140
99.72,7480
99.783,7820
99.8461,8500
99.9722,8840
100.035,9180
100.098,9860
100.224,10200
100.287,10540
100.35,11220
100.476,11560
100.54,11900
100.603,12580
100.729,12920
100.792,13260
100.855,13940
100.981,14280
101.044,14620
101.107,14960
101.17,15640
101.296,15980
101.359,16320
101.422,16660
101.485,17340
101.611,17680
101.674,18020
101.737,18360
101.8,19040
101.926,19380
101.989,19720
102.052,20060
102.116,20740
102.242,21080
102.305,21420
102.368,21760
102.431,22440
102.557,22780
102.62,23120
102.683,23460
102.746,23800
102.809,24480
102.935,24820
102.998,25160
103.061,25500
103.124,25840
103.187,26520
103.313,26860
103.376,27200
103.439,27540
103.502,27880
103.565,28560
103.692,28900
103.755,29240
103.818,29580
103.881,29920
103.944,30260
104.07,30600
104.196,30940
104.322,31280
104.448,31620
104.574,31960
104.7,32300
104.763,32640
104.952,32980
105.078,33320
105.204,33660
105.331,34000
105.457,34340
105.583,34680
105.646,35020
105.835,35360
105.961,35700
106.087,36040
106.213,36380
106.339,36720
106.465,37060
106.591,37400
106.717,37740
106.844,38080
106.97,38420
107.096,38760
107.222,39100
107.348,39440
107.474,39780
107.6,40120
107.726,40460
107.852,40800
107.978,41140
108.293,40800
114.03,40120
114.156,39780
114.219,40120
120.901,39440
120.964,39780
122.029,340
127.647,1700
128.844,2720
129.034,3400
129.211,4760
129.463,5780
129.652,6120
129.716,6800
129.842,7480
129.968,8160
130.094,8500
130.157,9180
130.283,9520
130.346,10200
130.472,10540
130.535,11220
130.661,11560
130.724,12240
130.85,12580
130.913,12920
130.976,13600
131.102,13940
131.165,14280
131.228,14960
131.355,15300
131.418,15640
131.481,16320
131.607,16660
131.67,17000
131.733,17680
131.859,18020
131.922,18360
131.985,19040
132.111,19380
132.174,19720
132.237,20400
132.363,20740
132.426,21080
132.489,21420
132.552,22100
132.678,22440
132.741,22780
132.804,23120
132.868,23800
132.994,24140
133.057,24480
133.12,24820
133.183,25500
133.309,25840
133.372,26180
133.435,26520
133.498,27200
133.624,27540
133.687,27880
133.813,28220
133.876,28560
134.065,28900
134.191,29240
134.254,29580
134.444,29920
134.57,30260
134.696,30600
134.822,30940
134.948,31280
135.074,31620
135.2,31960
135.326,32300
135.389,32640
135.578,32980
135.704,33320
135.767,33660
135.956,34000
136.083,34340
136.146,34680
136.335,35020
136.461,35360
136.587,35700
136.713,36040
136.839,36380
136.965,36720
137.028,37060
137.217,37400
137.532,37060
144.215,36380
144.278,36720
151.023,36040
151.086,36380
152.214,340
157.831,1020
159.092,1360
159.155,2040
159.459,2380
159.522,3060
159.648,3740
159.774,4080
159.837,4760
159.963,5100
160.026,5440
160.089,6120
160.215,6460
160.278,7140
160.404,7480
160.468,7820
160.531,8500
160.657,8840
160.72,9180
160.783,9860
160.909,10200
160.972,10540
161.035,11220
161.161,11560
161.224,11900
161.287,12580
161.413,12920
161.476,13260
161.539,13940
161.665,14280
161.728,14620
161.791,14960
161.854,15640
161.98,15980
162.044,16320
162.107,16660
162.17,17340
162.296,17680
162.359,18020
162.422,18360
162.485,19040
162.611,19380
162.674,19720
162.737,20060
162.8,20740
162.926,21080
162.989,21420
163.052,21760
163.115,22440
163.241,22780
163.304,23120
163.367,23460
163.43,23800
163.493,24480
163.62,24820
163.683,25160
163.746,25500
163.872,25840
163.998,26180
164.124,26520
164.25,26860
164.376,27200
164.502,27540
164.628,27880
164.754,28220
164.88,28560
165.006,28900
165.132,29240
165.259,29580
165.385,29920
165.448,30260
165.637,30600
165.763,30940
165.889,31280
166.015,31620
166.141,31960
166.267,32300
166.393,32640
166.519,32980
166.645,33320
166.708,33660
166.898,34000
167.024,34340
167.15,34680
167.276,35020
167.402,35360
167.654,35020
174.084,34340
174.21,34000
174.273,34340
180.956,33660
181.019,34000
182.083,340
187.701,1020
188.899,1700
189.025,2380
189.328,2720
189.391,3400
189.517,3740
189.58,4420
189.707,5100
189.833,5440
189.896,6120
190.022,6460
190.085,6800
190.148,7480
190.274,7820
190.337,8500
190.463,8840
190.526,9180
190.589,9860
190.715,10200
190.778,10540
190.841,11220
190.967,11560
191.03,11900
191.093,12580
191.22,12920
191.283,13260
191.346,13940
191.472,14280
191.535,14620
191.598,15300
191.724,15640
191.787,15980
191.85,16320
191.913,17000
192.039,17340
192.102,17680
192.165,18020
192.228,18700
