Time,Packets Lost,rxBytes,rxPackets,txBytes,txPackets
1,0,3636,11,9516,11
2,0,9908,27,22060,27
3,0,16180,43,29900,43
4,0,22452,59,36564,59
5,0,28724,75,43620,75
6,0,34604,90,51852,90
7,0,40876,106,61260,106
8,0,47148,122,70668,122
9,0,53420,138,80076,138
10,0,59692,154,89484,154
11,0,65964,170,98892,170
12,0,72236,186,107124,186
13,0,78116,201,116532,201
14,0,84388,217,125940,217
15,6,90660,233,135348,233
16,14,96932,249,144756,249
17,22,103204,265,154164,265
18,30,109476,281,163572,281
19,38,115748,297,172980,297
20,46,122020,313,182388,313
21,54,127900,328,191796,328
22,55,134172,344,198068,344
23,55,140444,360,204340,360
24,55,146716,376,210612,376
25,55,152988,392,216884,392
26,55,159260,408,223156,408
27,55,165532,424,229036,424
28,55,171412,439,235308,439
29,55,177684,455,241580,455
30,55,183956,471,247852,471
31,55,190228,487,254124,487
32,55,196500,503,260396,503
33,55,202772,519,266668,519
34,55,209044,535,272548,535
35,55,214924,550,278820,550
36,55,221196,566,281956,566
37,55,227468,582,282348,582
38,55,233740,598,282348,598
39,55,240012,614,282348,614
40,55,246284,630,282348,630
41,55,252556,646,282348,646
42,55,258828,662,284308,662
43,55,264708,677,291364,677
44,55,270588,692,303124,692
45,55,276860,708,317236,708
46,55,283132,724,328996,724
47,55,289404,740,340756,740
48,55,295676,756,354868,756
49,56,301948,772,366628,772
50,61,308220,788,374468,788
51,66,314100,803,382308,803
52,71,320372,819,391716,819
53,91,326644,835,446204,835
54,160,332916,851,452476,851
55,197,339188,867,458748,867
56,197,345460,883,465020,883
57,197,351732,899,470900,899
58,197,358004,915,477172,915
59,197,363884,930,483052,930
60,197,370156,946,489324,946
61,197,376428,962,495596,962
62,197,382700,978,501868,978
63,197,388972,994,508140,994
64,197,395244,1010,514412,1010
65,197,401516,1026,520292,1026
66,197,407396,1041,526564,1041
67,197,413668,1057,532836,1057
68,197,419940,1073,533228,1073
69,197,426212,1089,533228,1089
70,197,432484,1105,533228,1105
71,197,438756,1121,533228,1121
72,197,445028,1137,533228,1137
73,197,450908,1152,534404,1152
74,197,457180,1168,535972,1168
75,197,462276,1181,546164,1181
76,197,468548,1197,559492,1197
77,197,474820,1213,571252,1213
78,197,481092,1229,583796,1229
79,197,487364,1245,596340,1245
80,197,493636,1261,608100,1261
81,197,499908,1277,618684,1277
82,203,505788,1292,628092,1292
83,211,512060,1308,637500,1308
84,229,518332,1324,694340,1324
85,295,524604,1340,700612,1340
86,341,530876,1356,706884,1356
87,341,537148,1372,713156,1372
88,341,543420,1388,719036,1388
89,341,549300,1403,725308,1403
90,341,555572,1419,731580,1419
91,341,561844,1435,737852,1435
