Time,Bytes
0.154241,340
0.154241,680
0.154241,1020
0.154241,1360
0.154241,1700
0.154241,2040
0.154241,2380
0.154241,2720
0.154241,3060
0.154241,3400
0.5296,3060
0.5296,3400
0.5296,3740
0.65568,3060
0.65568,3400
0.65568,3740
0.65568,4080
0.65568,4420
0.78176,3740
0.78176,4080
0.78176,4420
0.78176,4760
0.78176,5100
0.90784,4420
0.90784,4760
0.90784,5100
0.90784,5440
0.90784,5780
1.03392,5100
1.03392,5440
1.03392,5780
1.03392,6120
1.03392,6460
1.16,5780
1.16,6120
1.16,6460
1.16,6800
1.16,7140
1.28608,6460
1.28608,6800
1.28608,7140
1.28608,7480
1.28608,7820
1.41216,7140
1.41216,7480
1.41216,7820
1.41216,8160
1.41216,8500
1.53824,7820
1.53824,8160
1.53824,8500
1.53824,8840
1.53824,9180
1.66432,8500
1.66432,8840
1.66432,9180
1.66432,9520
1.66432,9860
1.7904,9180
1.7904,9520
1.7904,9860
1.7904,10200
1.7904,10540
1.91648,9860
1.91648,10200
1.91648,10540
1.91648,10880
1.91648,11220
2.04256,10540
2.04256,10880
2.04256,11220
2.04256,11560
2.04256,11900
2.16864,11220
2.16864,11560
2.16864,11900
2.16864,12240
2.16864,12580
2.29472,11900
2.29472,12240
2.29472,12580
2.4208,11900
2.4208,12240
2.4208,12580
2.54688,11900
2.54688,12240
2.54688,12580
2.67296,11900
2.67296,12240
2.67296,12580
2.79904,11900
2.79904,12240
2.79904,12580
2.92512,11900
2.92512,12240
2.92512,12580
3.0512,11900
3.0512,12240
3.0512,12580
3.17728,11900
3.17728,12240
3.17728,12580
3.30336,11900
3.30336,12240
3.30336,12580
3.42944,11900
3.42944,12240
3.42944,12580
3.42944,12920
3.55552,12240
3.55552,12580
3.55552,12920
3.6816,12240
3.6816,12580
3.6816,12920
3.80768,12240
3.80768,12580
3.80768,12920
3.93376,12240
3.93376,12580
3.93376,12920
4.05984,12240
4.05984,12580
4.05984,12920
4.18592,12240
4.18592,12580
4.18592,12920
4.312,12240
4.312,12580
4.312,12920
4.312,13260
4.43808,12580
4.43808,12920
4.43808,13260
4.56416,12580
4.56416,12920
4.56416,13260
4.69024,12580
4.69024,12920
4.69024,13260
4.81632,12580
4.81632,12920
