Time,RTO
0.0,3
0.15424,1
0.78176,1.17146
0.90784,1.48752
1.03392,1.81373
1.16,2.14147
1.28608,2.04094
1.41216,1.93485
1.53824,1.97017
1.66432,1.95937
1.7904,2.0604
1.91648,2.09384
2.04256,2.22364
2.16864,2.2748
2.29472,2.4145
2.4208,2.46901
2.54688,2.60875
2.67296,2.66224
2.79904,2.80034
2.92512,2.85074
3.0512,2.98376
3.17728,3.02903
3.30336,3.15705
3.42944,3.19756
3.55552,3.32113
3.6816,3.35753
3.80768,3.47734
3.93376,3.51033
4.05984,3.62706
4.18592,3.65729
4.312,3.77268
4.43808,3.80145
4.56416,3.91422
4.69024,3.94078
4.81632,3.90994
4.9424,3.84239
5.06848,3.75286
5.19456,3.65058
5.32064,3.54422
5.44672,3.43851
5.5728,3.33653
5.69888,3.24018
5.82496,3.15054
5.95104,3.06922
6.07712,2.99482
6.2032,2.92728
6.32928,2.86636
6.45536,2.81168
6.58144,2.76281
6.70752,2.71815
6.8336,2.82049
6.95968,2.87829
7.08576,2.90506
7.21184,2.91063
7.33792,2.9021
7.464,2.88572
7.59008,2.86361
7.71616,2.98018
7.84224,3.04629
7.96832,3.07723
8.0944,3.08412
8.22048,3.21676
8.34656,3.28998
8.47264,3.3219
8.59872,3.32572
8.7248,3.45274
8.85088,3.5177
8.97696,3.541
9.10304,3.53735
9.22912,3.65678
9.3552,3.71545
9.48128,3.73241
9.60736,3.86321
9.73344,3.92683
9.85952,3.94436
9.9856,4.07285
10.1117,4.13234
10.2378,4.14468
10.3638,4.26744
10.4899,4.32103
10.616,4.32866
10.7421,4.44655
10.8682,4.49531
10.9942,4.49604
11.1203,4.60809
11.2464,4.65187
11.3725,4.64947
11.4986,4.75861
11.6246,4.79971
11.7507,4.79488
11.8768,4.90181
12.0029,4.94092
12.129,4.93431
12.255,5.04078
12.3811,5.07922
12.5072,5.07181
12.6333,5.17629
12.7594,5.21314
12.8854,5.20444
13.0115,5.30787
13.1376,5.34384
13.2637,5.33443
13.3898,5.43727
13.5158,5.47162
13.6419,5.46105
13.768,5.56421
13.8941,5.59987
14.0202,5.59012
14.1462,5.69262
14.2723,5.72777
14.3984,5.71763
14.5245,5.81984
14.6506,5.85475
14.7766,5.84442
14.9027,5.94648
15.0288,5.98128
15.1549,5.97086
15.281,6.07284
15.407,6.10871
15.5331,6.09897
15.6592,6.20137
15.7853,6.2352
15.9114,6.2241
16.0374,6.32558
16.1635,6.35998
16.2896,6.34927
16.4157,6.45105
16.5418,6.48565
16.6678,6.47509
16.7939,6.57697
16.92,6.61276
17.0461,6.60298
17.1722,6.70534
17.2982,6.74029
17.4243,6.7299
17.5504,6.83184
17.6765,6.86649
17.8026,6.8559
17.9286,6.95771
18.0547,6.99228
18.1808,6.98052
18.3069,7.08156
18.433,7.11567
18.559,7.10591
18.6851,7.20832
18.8112,7.24333
18.9373,7.23301
19.0634,7.33502
19.1894,7.36975
19.3155,7.35923
19.4416,7.4611
19.5677,7.49573
19.6938,7.48516
19.8198,7.58699
