Time,RTT
0.0,0
0.15424,0.154
0.5296,0.181625
0.65568,0.221546
0.78176,0.272227
0.90784,0.332323
1.03392,0.400657
1.16,0.476324
1.28608,0.511408
1.41216,0.542107
1.53824,0.584718
1.66432,0.622003
1.7904,0.670377
1.91648,0.712704
2.04256,0.765491
2.16864,0.811679
2.29472,0.867844
2.4208,0.916863
2.54688,0.975505
2.67296,1.02682
2.79904,1.08759
2.92512,1.14077
3.0512,1.20304
3.17728,1.25754
3.30336,1.32097
3.42944,1.37647
3.55552,1.44079
3.6816,1.49706
3.80768,1.56206
3.93376,1.61892
4.05984,1.68443
4.18592,1.74175
4.312,1.80778
4.43808,1.86556
4.56416,1.93186
4.69024,1.98988
4.81632,2.04065
4.9424,2.08506
5.06848,2.12393
5.19456,2.15781
5.32064,2.18746
5.44672,2.2134
5.5728,2.2361
5.69888,2.25597
5.82496,2.27334
5.95104,2.28868
6.07712,2.30209
6.2032,2.31383
6.32928,2.3241
6.45536,2.33309
6.58144,2.34095
6.70752,2.34771
6.8336,2.36937
6.95968,2.38832
7.08576,2.40491
7.21184,2.41942
7.33792,2.43211
7.464,2.44335
7.59008,2.45318
7.71616,2.47753
7.84224,2.49884
7.96832,2.51749
8.0944,2.5338
8.22048,2.56382
8.34656,2.5901
8.47264,2.61308
8.59872,2.6332
8.7248,2.66655
8.85088,2.6956
8.97696,2.72103
9.10304,2.7434
9.22912,2.77872
9.3552,2.80963
9.48128,2.83668
9.60736,2.87609
9.73344,2.91058
9.85952,2.94076
9.9856,2.98291
10.1117,3.0198
10.2378,3.05207
10.3638,3.09606
10.4899,3.13456
10.616,3.16836
10.7421,3.21369
10.8682,3.25335
10.9942,3.28793
11.1203,3.33394
11.2464,3.3742
11.3725,3.40942
11.4986,3.456
11.6246,3.49675
11.7507,3.5324
11.8768,3.57935
12.0029,3.62043
12.129,3.65638
12.255,3.7037
12.3811,3.74512
12.5072,3.78135
12.6333,3.82881
12.7594,3.87033
12.8854,3.90666
13.0115,3.95421
13.1376,3.9958
13.2637,4.0322
13.3898,4.0798
13.5158,4.12133
13.6419,4.15766
13.768,4.20533
13.8941,4.24704
14.0202,4.28353
14.1462,4.33122
14.2723,4.37294
14.3984,4.40944
14.5245,4.45714
14.6506,4.49887
14.7766,4.53539
14.9027,4.58309
15.0288,4.62483
15.1549,4.66135
15.281,4.70905
15.407,4.75092
15.5331,4.78756
15.6592,4.83536
15.7853,4.87706
15.9114,4.91356
16.0374,4.96124
16.1635,5.00296
16.2896,5.03946
16.4157,5.08715
16.5418,5.12888
16.6678,5.1654
16.7939,5.2131
16.92,5.25496
17.0461,5.29159
17.1722,5.33939
17.2982,5.38122
17.4243,5.41781
17.5504,5.46559
17.6765,5.50739
17.8026,5.54396
17.9286,5.59172
18.0547,5.6335
18.1808,5.66994
18.3069,5.71757
18.433,5.75925
18.559,5.79584
18.6851,5.84361
18.8112,5.88541
18.9373,5.92198
19.0634,5.96974
19.1894,6.01152
19.3155,6.04808
19.4416,6.09582
19.5677,6.13759
19.6938,6.17414
19.8198,6.22187
19.9459,6.26364
20.072,6.30031
20.1981,6.34814
20.3242,6.39
20.4502,6.4265
20.5763,6.47419
20.7024,6.51591
20.8285,6.55242
20.9546,6.60012
21.0806,6.64185
298.668,6.19775
298.794,5.80915
298.983,5.47701
299.172,5.19426
299.362,4.95472
299.677,4.75301
299.866,4.58438
299.992,4.44483
300.118,4.32273
300.244,4.22376
300.37,4.13704
300.496,4.06904
300.622,4.00953
300.748,3.95746
300.875,3.91978
301.001,3.88681
301.19,3.86583
301.379,3.85535
301.505,3.85406
301.631,3.85305
301.757,3.86004
301.883,3.86616
302.009,3.87939
302.135,3.89097
302.261,3.9011
302.451,3.91771
302.577,3.93224
302.703,3.94496
302.829,3.95609
302.955,3.97371
303.081,3.98912
303.207,3.99485
303.333,4.00774
303.459,4.01903
303.585,4.0289
303.711,4.04541
303.837,4.05986
303.964,4.06462
304.09,4.06867
304.216,4.07221
304.342,4.07531
304.468,4.07802
304.594,4.09614
304.72,4.09638
304.846,4.09658
304.972,4.1125
305.098,4.11069
305.224,4.12485
305.35,4.12937
305.476,4.1412
305.603,4.15155
305.729,4.16061
305.855,4.1684
305.981,4.17523
306.107,4.1812
306.233,4.18642
306.359,4.19112
306.485,4.19523
306.611,4.2067
306.737,4.21674
306.863,4.22552
306.989,4.2332
307.116,4.25568
307.242,4.27534
307.368,4.29255
307.494,4.32336
307.62,4.35031
307.746,4.37377
307.872,4.41018
307.998,4.44203
308.124,4.4699
308.25,4.49429
308.376,4.53138
308.502,4.56383
308.628,4.59223
308.755,4.63282
308.881,4.66834
309.007,4.69942
309.133,4.74237
309.259,4.77995
309.385,4.81283
309.511,4.85748
309.637,4.89654
309.763,4.93072
309.889,4.97638
310.015,5.01621
310.141,5.05106
310.268,5.0973
310.394,5.13776
310.52,5.17317
310.646,5.21989
310.772,5.26078
310.898,5.29656
311.024,5.34374
311.15,5.38502
311.276,5.42114
311.402,5.4685
311.528,5.50994
311.654,5.54619
