Time,Threshold
0.0,0
0.15424,4294967295
2.29472,12580
21.2698,39100
36.1402,36380
52.337,29920
67.0183,29240
83.6563,29920
108.293,28560
122.029,27540
137.532,26180
152.214,25160
167.654,24480
182.083,23800
196.83,22780
210.755,20740
224.052,19720
237.157,15980
248.059,14280
259.714,8160
266.266,3740
269.418,4080
272.191,3740
274.65,2720
277.235,2380
282.026,1700
287.006,2040
289.78,2380
315.122,38760
329.992,36380
345.937,29580
353.747,29240
370.877,29920
395.503,28560
409.428,27540
425.12,26180
439.802,25160
455.242,24480
469.671,23800
484.418,22780
498.343,20740
511.64,19720
524.745,15980
535.646,14280
547.302,8160
553.853,3740
557.005,4080
559.779,3740
562.238,2720
564.822,2380
569.613,1700
574.594,2040
577.367,2380
602.709,38760
617.582,36380
633.524,29580
641.337,29240
658.465,29920
683.091,28560
697.018,27540
712.708,26180
727.392,25160
742.83,24480
757.261,23800
772.006,22780
785.933,20740
799.228,19720
812.335,15980
823.234,14280
834.892,8160
841.441,3740
844.593,4080
847.367,3740
849.826,2720
852.41,2380
857.201,1700
862.181,2040
864.955,2380
890.297,38760
905.17,36380
921.112,29580
928.924,29240
946.053,29920
970.679,28560
984.605,27540
1000.3,26180
1014.98,25160
1030.42,24480
1044.85,23800
1059.59,22780
1073.52,20740
1086.82,19720
1099.92,15980
1110.82,14280
1122.48,8160
1129.03,3740
1132.18,4080
1134.95,3740
1137.41,2720
1140,2380
1144.79,1700
1149.77,2040
1152.54,2380
1177.89,38760
1192.76,36380
1208.7,29580
1216.51,29240
1233.64,29920
1258.27,28560
1272.19,27540
1287.88,26180
1302.57,25160
1318.01,24480
1332.44,23800
1347.18,22780
1361.11,20740
1374.4,19720
1387.51,15980
1398.41,14280
1410.07,8160
1416.62,3740
1419.77,4080
1422.54,3740
1425,2720
1427.59,2380
1432.38,1700
1437.36,2040
1440.13,2380
1465.47,38760
1480.34,36380
1496.29,29580
1504.1,29240
1521.23,29920
1545.85,28560
1559.78,27540
1575.47,26180
1590.15,25160
1605.59,24480
1620.02,23800
1634.77,22780
1648.69,20740
1661.99,19720
1675.1,15980
1686,14280
1697.65,8160
1704.2,3740
1707.36,4080
1710.13,3740
1712.59,2720
1715.17,2380
1719.96,1700
1724.94,2040
1727.72,2380
1753.06,38760
1767.93,36380
1783.88,29580
1791.69,29240
1808.82,29920
1833.44,28560
1847.37,27540
1863.06,26180
1877.74,25160
1893.18,24480
1907.61,23800
1922.36,22780
1936.28,20740
1949.58,19720
1962.68,15980
1973.59,14280
1985.24,8160
1991.79,3740
1994.94,4080
1997.72,3740
