Time,State
20.009,1
20.135,3
35.0054,4
51.3053,0
51.3683,1
51.4944,3
58.1136,0
61.3286,1
61.4547,3
66.4349,0
68.0109,1
68.137,0
68.2,1
68.3261,3
72.3606,0
73.8106,1
73.9366,3
76.9626,0
78.1603,1
78.2864,3
80.5558,0
81.5014,1
81.6275,3
83.2666,0
83.7078,1
83.8339,3
84.9056,0
85.3469,1
85.473,3
86.2925,0
86.4816,1
86.6077,3
87.175,0
87.2381,1
87.3642,0
87.4272,1
87.5533,0
87.7424,1
87.8685,0
87.9315,1
88.0576,0
88.1206,1
88.2467,0
88.3098,1
88.4358,0
88.4989,1
88.625,0
88.9402,1
89.0662,0
89.1293,1
89.2554,0
89.8227,1
89.9488,0
90.5162,1
90.6422,0
91.2096,1
91.3357,0
958.703,1
958.829,3
965.576,4
972.509,0
972.572,1
972.698,3
984.047,4
994.212,0
994.275,1
994.401,3
996.292,0
996.355,1
996.481,0
997.174,1
997.3,3
998.813,0
999.255,1
999.381,0
999.444,1
999.633,0
999.696,1
999.822,3
1001.02,0
1001.08,1
1001.21,0
1001.4,1
1001.59,0
1001.65,1
1001.78,3
1002.78,0
1002.85,1
1002.97,0
1003.16,1
1003.29,3
1004.11,0
1004.17,1
1004.36,0
1004.55,1
1004.74,0
1005.43,1
1005.56,0
1005.87,1
1006,0
1006.32,1
1006.44,0
1006.63,1
1006.76,0
1006.82,1
1006.95,0
1007.26,1
1007.39,0
1007.45,1
1007.58,0
1007.64,1
1007.77,0
1007.83,1
1007.95,0
1008.27,1
1008.4,0
1008.71,1
1008.84,0
1008.9,1
1009.03,0
1009.34,1
1009.47,0
1010.03,1
1010.16,0
1010.48,1
1010.6,0
1011.67,1
1011.8,0
1012.49,1
1012.62,0
1876.2,1
1876.33,3
1883.08,4
1890.01,0
1890.07,1
1890.2,3
1901.55,4
1911.71,0
1911.78,1
1911.9,3
1913.79,0
1913.86,1
1913.98,0
1914.68,1
1914.8,3
1916.31,0
1916.76,1
1916.88,0
1916.94,1
1917.13,0
1917.2,1
1917.32,3
1918.52,0
1918.58,1
1918.71,0
1918.9,1
1919.09,0
1919.15,1
1919.28,3
1920.29,0
1920.35,1
1920.48,0
1920.66,1
1920.79,3
1921.61,0
1921.67,1
1921.86,0
1922.05,1
1922.24,0
1922.93,1
1923.06,0
1923.38,1
1923.5,0
1923.82,1
1923.94,0
1924.13,1
1924.26,0
1924.32,1
1924.45,0
1924.76,1
1924.89,0
1924.95,1
1925.08,0
1925.14,1
1925.27,0
1925.33,1
1925.46,0
1925.77,1
1925.9,0
1926.21,1
1926.34,0
1926.4,1
1926.53,0
1926.84,1
1926.97,0
1927.54,1
1927.66,0
1927.98,1
1928.1,0
1929.17,1
1929.3,0
1929.99,1
1930.12,0
