Time,Window Size
0.0,0
0.15424,3400
0.5296,3740
0.65568,4080
0.78176,4420
0.90784,4760
1.03392,5100
1.16,5440
1.28608,5780
1.41216,6120
1.53824,6460
1.66432,6800
1.7904,7140
1.91648,7480
2.04256,7820
2.16864,8160
2.29472,8500
2.4208,8840
2.54688,9180
2.67296,9520
2.79904,9860
2.92512,10200
3.0512,10540
3.17728,10880
3.30336,11220
3.42944,11560
3.55552,11900
3.6816,12240
3.80768,12580
3.93376,12920
4.05984,13260
4.18592,13600
4.312,13940
4.43808,14280
4.56416,14620
4.69024,14960
4.81632,15300
4.9424,15640
5.06848,15980
5.19456,16320
5.32064,16660
5.44672,17000
5.5728,17340
5.69888,17680
5.82496,18020
5.95104,18360
6.07712,18700
6.2032,19040
6.32928,19380
6.45536,19720
6.58144,20060
6.70752,20400
6.8336,20740
6.95968,21080
7.08576,21420
7.21184,21760
7.33792,22100
7.464,22440
7.59008,22780
7.71616,23120
7.84224,23460
7.96832,23800
8.0944,24140
8.22048,24480
8.34656,24820
8.47264,25160
8.59872,25500
8.7248,25840
8.85088,26180
8.97696,26520
9.10304,26860
9.22912,27200
9.3552,27540
9.48128,27880
9.60736,28220
9.73344,28560
9.85952,28900
9.9856,29240
10.1117,29580
10.2378,29920
10.3638,30260
10.4899,30600
10.616,30940
10.7421,31280
10.8682,31620
10.9942,31960
11.1203,32300
11.2464,32640
11.3725,32980
11.4986,33320
11.6246,33660
11.7507,34000
11.8768,34340
12.0029,34680
12.129,35020
12.255,35360
12.3811,35700
12.5072,36040
12.6333,36380
12.7594,36720
12.8854,37060
13.0115,37400
13.1376,37740
13.2637,38080
13.3898,38420
13.5158,38760
13.6419,39100
13.768,39440
13.8941,39780
14.0202,40120
14.1462,40460
14.2723,40800
14.3984,41140
14.5245,41480
14.6506,41820
14.7766,42160
14.9027,42500
15.0288,42840
15.1549,43180
15.281,43520
15.407,43860
15.5331,44200
15.6592,44540
15.7853,44880
15.9114,45220
16.0374,45560
16.1635,45900
16.2896,46240
16.4157,46580
16.5418,46920
16.6678,47260
16.7939,47600
16.92,47940
17.0461,48280
17.1722,48620
17.2982,48960
17.4243,49300
17.5504,49640
17.6765,49980
17.8026,50320
17.9286,50660
18.0547,51000
18.1808,51340
18.3069,51680
18.433,52020
18.559,52360
18.6851,52700
18.8112,53040
18.9373,53380
19.0634,53720
19.1894,54060
19.3155,54400
19.4416,54740
19.5677,55080
19.6938,55420
19.8198,55760
19.9459,56100
20.135,55760
27.0064,55080
27.0694,55420
33.8778,54740
33.9408,55080
34.4451,54740
34.5082,54400
34.5712,54060
34.6342,53720
34.6973,53380
34.7603,53040
34.8234,52700
34.8864,52360
34.9494,52020
35.0054,340
40.7491,680
41.3165,1020
41.6832,1360
41.7462,1700
42.176,2040
42.3021,2380
42.6058,2720
42.7949,3060
42.921,3400
43.1731,3740
43.3622,4080
43.4253,4420
43.7405,4760
43.8666,5100
44.1187,5440
44.3078,5780
44.4339,6120
44.6861,6460
44.8752,6800
44.9382,7140
45.2534,7480
45.3795,7820
45.6317,8160
45.8208,8500
45.9469,8840
46.199,9180
46.3882,9520
46.4512,9860
46.7664,10200
46.8925,10540
47.1446,10880
47.3338,11220
47.4598,11560
47.712,11900
47.9011,12240
47.9642,12580
48.2794,12920
48.4054,13260
48.6576,13600
48.8467,13940
48.9728,14280
49.225,14620
49.4141,14960
49.4771,15300
49.7923,15640
49.9184,15980
50.1706,16320
50.3597,16660
50.4858,17000
50.7379,17340
50.927,17680
50.9901,18020
51.4944,17680
54.7094,17000
54.8355,16660
54.9616,16320
55.0877,15980
55.2138,15640
55.3398,15300
55.4659,14960
55.592,14620
55.7181,14280
55.8442,13940
55.9702,13600
56.0963,13260
56.2224,12920
56.3485,12580
56.4746,12240
56.6006,11900
56.7267,11560
56.8528,11220
56.9789,10880
57.105,10540
57.231,10200
57.3571,9860
57.4832,9520
57.6093,9180
57.7354,8840
57.8614,8500
57.9875,8160
58.1136,8840
58.1136,8853
58.2397,8866
58.3658,8879
58.4918,8892
58.6179,8905
58.744,8917
58.8701,8929
58.9962,8941
59.1222,8953
59.2483,8965
59.3744,8977
59.5005,8989
59.6266,9001
59.7526,9013
59.8787,9025
60.0048,9037
60.1309,9049
60.257,9061
60.383,9073
60.5091,9085
60.6352,9097
60.7613,9109
60.8874,9121
61.0134,9133
61.1395,9145
61.2656,9157
61.4547,8500
63.0938,7820
63.1568,8160
63.2829,7480
63.409,7140
63.535,6800
63.6611,6460
63.7872,6120
63.9133,5780
64.0394,5440
64.1654,5100
64.2915,4760
64.4176,4420
64.5437,4080
64.6698,3740
64.7958,3400
64.9219,3060
65.048,2720
65.1741,2380
65.3002,2040
65.4262,1700
65.5523,1360
65.6784,1020
65.8045,680
65.9306,340
66.0566,0
66.4349,4250
66.4349,4277
66.561,4304
66.687,4330
66.8131,4356
66.9392,4382
67.0653,4408
67.1914,4434
67.3174,4460
67.4435,4485
67.5696,4510
67.6957,4535
67.8218,4560
67.9478,4585
68.137,4610
68.3261,4080
69.839,3400
69.9651,3060
70.0912,2720
70.2173,2380
70.3434,2040
70.4694,1700
70.5955,1360
70.7216,1020
70.8477,680
70.9738,340
71.0998,0
71.289,340
71.415,0
72.1085,340
72.2346,0
72.3606,2040
72.3606,2096
72.4867,2151
72.6128,2204
72.7389,2256
72.865,2307
72.991,2357
73.1171,2406
73.2432,2454
73.3693,2501
73.4954,2547
73.6214,2592
73.7475,2636
73.9366,2040
75.1344,1360
75.2605,1020
75.3866,680
75.5126,340
75.6387,0
76.2061,340
76.3322,0
76.9626,1020
76.9626,1133
77.0886,1235
77.2147,1328
77.3408,1415
77.4669,1496
77.593,1573
77.719,1646
77.8451,1716
77.9712,1783
78.0973,1847
78.2864,1360
79.1059,680
79.169,1020
79.295,340
79.4211,0
79.6102,340
79.7363,0
80.1776,340
80.3037,0
80.5558,680
80.5558,850
80.6819,986
80.808,1103
80.9341,1207
81.0602,1302
81.1862,1390
81.3123,1473
81.4384,1551
81.6275,1020
82.1318,340
82.2579,0
82.447,340
82.5731,0
82.8883,340
83.0144,0
83.2666,680
83.2666,850
83.3926,986
83.5187,1103
83.6448,1207
83.8339,680
84.3382,0
84.6534,340
84.7795,0
84.9056,680
84.9056,850
85.0317,986
85.1578,1103
85.2838,1207
85.473,680
85.7251,0
86.0403,340
86.1664,680
86.2925,850
86.4186,986
86.6077,340
86.7968,680
86.9229,0
87.049,680
87.175,850
87.3642,986
87.5533,1103
87.6794,1207
87.8685,1302
88.0576,1390
88.2467,1473
88.4358,1551
88.625,1625
88.751,1696
88.8771,1764
89.0662,1829
89.2554,1892
89.3814,1953
89.5075,2012
89.6336,2069
89.7597,2124
89.9488,2178
90.0749,2231
90.201,2282
90.327,2332
90.4531,2381
90.6422,2429
90.7683,2476
90.8944,2522
91.0205,2567
91.1466,2612
91.3357,2656
91.4618,2699
91.5878,2741
91.7139,2783
91.84,2824
91.9661,2864
92.0922,2904
92.2182,2943
92.3443,2982
92.4704,3020
92.5965,3058
92.7226,3095
92.8486,3132
92.9747,3168
93.1008,3204
93.2269,3240
93.353,3275
93.479,3310
93.6051,3344
93.7312,3378
93.8573,3412
93.9834,3445
94.1094,3478
94.2355,3511
94.3616,3543
94.4877,3575
94.6138,3607
94.7398,3639
94.8659,3670
94.992,3701
95.1181,3732
95.2442,3762
95.3702,3792
95.4963,3822
95.6224,3852
95.7485,3882
95.8746,3911
96.0006,3940
96.1267,3969
96.2528,3998
96.3789,4026
96.505,4054
96.631,4082
96.7571,4110
96.8832,4138
97.0093,4165
97.1354,4192
97.2614,4219
97.3875,4246
97.5136,4273
97.6397,4300
97.7658,4326
97.8918,4352
98.0179,4378
98.144,4404
98.2701,4430
98.3962,4456
98.5222,4481
98.6483,4506
98.7744,4531
98.9005,4556
99.0266,4581
99.1526,4606
99.2787,4631
99.4048,4655
99.5309,4679
99.657,4703
99.783,4727
99.9091,4751
100.035,4775
100.161,4799
100.287,4823
100.413,4846
100.54,4869
100.666,4892
100.792,4915
100.918,4938
101.044,4961
101.17,4984
101.296,5007
101.422,5030
101.548,5052
101.674,5074
101.8,5096
101.926,5118
102.052,5140
102.179,5162
102.305,5184
102.431,5206
102.557,5228
102.683,5250
102.809,5272
102.935,5293
103.061,5314
103.187,5335
103.313,5356
103.439,5377
103.565,5398
103.692,5419
103.818,5440
103.944,5461
104.07,5482
104.196,5503
104.322,5524
104.448,5544
104.574,5564
104.7,5584
104.826,5604
104.952,5624
105.078,5644
105.204,5664
105.331,5684
105.457,5704
105.583,5724
105.709,5744
105.835,5764
105.961,5784
106.087,5803
106.213,5822
106.339,5841
106.465,5860
106.591,5879
106.717,5898
106.844,5917
106.97,5936
107.096,5955
107.222,5974
107.348,5993
107.474,6012
107.6,6031
107.726,6050
107.852,6069
107.978,6088
108.104,6106
108.23,6124
108.356,6142
108.483,6160
108.609,6178
108.735,6196
108.861,6214
108.987,6232
109.113,6250
109.239,6268
109.365,6286
109.491,6304
109.617,6322
109.743,6340
109.869,6358
109.996,6376
110.122,6394
110.248,6412
110.374,6430
110.5,6447
110.626,6464
110.752,6481
110.878,6498
111.004,6515
111.13,6532
111.256,6549
111.382,6566
111.508,6583
111.635,6600
111.761,6617
111.887,6634
112.013,6651
112.139,6668
112.265,6685
112.391,6702
112.517,6719
112.643,6736
112.769,6753
112.895,6770
113.021,6787
113.148,6804
113.274,6820
113.4,6836
113.526,6852
113.652,6868
113.778,6884
113.904,6900
114.03,6916
114.156,6932
114.282,6948
114.408,6964
114.534,6980
114.66,6996
114.787,7012
114.913,7028
115.039,7044
115.165,7060
