Time,Packets Lost,rxBytes,rxPackets,txBytes,txPackets
1,0,3636,11,8340,11
2,0,9908,27,17748,27
3,0,16180,43,27156,43
4,0,22452,59,36564,59
5,0,28724,75,45972,75
6,0,34604,90,55380,90
7,0,40876,106,64788,106
8,0,47148,122,74196,122
9,0,53420,138,83604,138
10,0,59692,154,93012,154
11,0,65964,170,102420,170
12,0,72236,186,110652,186
13,0,78116,201,120060,201
14,6,84388,217,129468,217
15,14,90660,233,138876,233
16,22,96932,249,148284,249
17,30,103204,265,157692,265
18,38,109476,281,167100,281
19,46,115748,297,176508,297
20,54,122020,313,185524,313
21,55,127900,328,191796,328
22,55,134172,344,198068,344
23,55,140444,360,204340,360
24,55,146716,376,210612,376
25,55,152988,392,216884,392
26,55,159260,408,223156,408
27,55,165532,424,229036,424
28,55,171412,439,235308,439
29,55,177684,455,241580,455
30,55,183956,471,247852,471
31,55,190228,487,254124,487
32,55,196500,503,260396,503
33,55,202772,519,266668,519
34,55,209044,535,272548,535
35,55,214924,550,274900,550
36,55,221196,566,275292,566
37,55,227468,582,275292,582
38,55,233740,598,275292,598
39,55,240012,614,275292,614
40,55,246284,630,275292,630
41,55,252556,646,276076,646
42,55,256084,655,279996,655
43,55,261964,670,287836,670
44,55,268236,686,295676,686
45,55,274508,702,305084,702
46,55,280780,718,312924,718
47,55,286660,733,320764,733
48,55,292932,749,330172,749
49,55,299204,765,338012,765
50,55,305476,781,345852,781
51,55,311748,797,355260,797
52,55,318020,813,380348,813
53,55,324292,829,386228,829
54,55,330172,844,392500,844
55,55,336444,860,397596,860
56,55,342716,876,400732,876
57,55,348988,892,403868,892
58,55,355260,908,407004,908
59,55,361532,924,413668,924
60,55,367804,940,419156,940
61,55,373684,955,425428,955
62,55,379956,971,432092,971
63,55,386228,987,438364,987
64,55,392500,1003,441500,1003
65,55,398772,1019,444636,1019
66,55,405044,1035,447772,1035
67,55,411316,1051,456788,1051
68,55,417588,1067,463452,1067
69,55,423468,1082,469724,1082
70,55,429740,1098,475212,1098
71,55,436012,1114,478348,1114
72,55,442284,1130,481092,1130
73,55,448556,1146,488148,1146
74,55,454828,1162,494812,1162
75,55,461100,1178,500692,1178
76,55,466980,1193,503828,1193
77,55,473252,1209,507748,1209
78,55,479524,1225,514804,1225
79,55,485796,1241,521076,1241
80,55,492068,1257,524212,1257
81,55,498340,1273,528916,1273
