Time,RTT
0.0,0
0.15424,0.154
0.5296,0.181625
0.65568,0.221546
0.78176,0.272227
0.90784,0.332323
1.03392,0.400657
1.16,0.476324
1.28608,0.511408
1.41216,0.542107
1.53824,0.568968
1.66432,0.608222
1.7904,0.642569
1.91648,0.672622
2.04256,0.714669
2.16864,0.751335
2.29472,0.783418
2.4208,0.82724
2.54688,0.865585
2.67296,0.899136
2.79904,0.944369
2.92512,0.983947
3.0512,1.01858
3.17728,1.06463
3.30336,1.10493
3.42944,1.14019
3.55552,1.18679
3.6816,1.22756
3.80768,1.26324
3.93376,1.31021
4.05984,1.35131
4.18592,1.38727
4.312,1.43461
4.43808,1.47603
4.56416,1.51215
4.69024,1.55951
4.81632,1.60094
4.9424,1.6372
5.06848,1.68467
5.19456,1.72622
5.32064,1.76256
5.44672,1.81012
5.5728,1.85173
5.69888,1.88814
5.82496,1.93574
5.95104,1.97753
6.07712,2.01409
6.2032,2.06182
6.32928,2.1036
6.45536,2.14015
6.58144,2.18788
6.70752,2.22964
6.8336,2.26606
6.95968,2.31368
7.08576,2.35534
7.21184,2.3918
7.33792,2.43945
7.464,2.48127
7.59008,2.51786
7.71616,2.56563
7.84224,2.60742
7.96832,2.64399
8.0944,2.69174
8.22048,2.73353
8.34656,2.77008
8.47264,2.81782
8.59872,2.8596
8.7248,2.89615
8.85088,2.94388
8.97696,2.98564
9.10304,3.02231
9.22912,3.07015
9.3552,3.11188
9.48128,3.14839
9.60736,3.19609
9.73344,3.23783
9.85952,3.27435
9.9856,3.32206
10.1117,3.3638
10.2378,3.40033
10.3638,3.44803
10.4899,3.48978
10.616,3.52643
10.7421,3.57425
10.8682,3.6161
10.9942,3.65271
11.1203,3.70049
11.2464,3.74231
11.3725,3.77889
11.4986,3.82666
11.6246,3.86832
11.7507,3.90478
11.8768,3.95243
12.0029,3.99413
12.129,4.03061
12.255,4.07841
12.3811,4.12023
12.5072,4.15683
12.6333,4.2046
12.7594,4.2464
12.8854,4.28298
13.0115,4.33073
13.1376,4.37251
13.2637,4.40907
13.3898,4.45681
13.5158,4.49859
13.6419,4.53514
13.768,4.58299
13.8941,4.62487
14.0202,4.66139
14.1462,4.70909
14.2723,4.75082
14.3984,4.78735
14.5245,4.83505
14.6506,4.8768
14.7766,4.91332
14.9027,4.96103
15.0288,5.00278
15.1549,5.0393
15.281,5.08702
15.407,5.12889
15.5331,5.16553
15.6592,5.21334
15.7853,5.25517
15.9114,5.29177
16.0374,5.33955
16.1635,5.38136
16.2896,5.41781
16.4157,5.46546
16.5418,5.50715
16.6678,5.54363
16.7939,5.5913
16.92,5.63314
17.0461,5.66975
17.1722,5.71753
17.2982,5.75934
17.4243,5.79592
17.5504,5.84368
17.6765,5.88547
17.8026,5.92204
17.9286,5.96978
18.0547,6.01156
18.1808,6.04811
18.3069,6.09585
18.433,6.13762
18.559,6.17429
18.6851,6.22213
18.8112,6.26386
18.9373,6.30038
19.0634,6.34808
19.1894,6.38982
19.3155,6.42634
19.4416,6.47405
19.5677,6.51579
19.6938,6.55232
19.8198,6.60003
19.9459,6.64177
89.9488,5.89818
90.4531,5.24765
90.6422,4.67845
91.0205,4.16452
91.1466,3.73058
91.3357,3.35088
91.5878,3.00289
91.7139,2.69841
91.84,2.43998
91.9661,2.21386
92.0922,2.00025
92.2182,1.82909
92.3443,1.67933
92.4704,1.53241
92.5965,1.40386
92.7226,1.29138
92.8486,1.19296
92.9747,1.10684
93.1008,1.03148
93.2269,0.965545
93.353,0.923601
93.479,0.887025
93.6051,0.855021
93.7312,0.827018
93.8573,0.802515
93.9834,0.781075
94.1094,0.76219
94.2355,0.745666
94.3616,0.731207
94.4877,0.718556
94.6138,0.707486
94.7398,0.6978
94.8659,0.689325
94.992,0.682034
95.1181,0.675654
95.2442,0.670072
95.3702,0.665188
95.4963,0.660914
95.6224,0.657049
95.7485,0.653667
95.8746,0.650708
96.0006,0.663869
96.1267,0.675385
96.2528,0.685461
96.3789,0.694278
96.505,0.701993
96.631,0.708868
96.7571,0.714884
96.8832,0.720148
97.0093,0.724754
97.1354,0.728784
97.2614,0.732311
97.3875,0.735272
97.5136,0.737863
97.6397,0.74013
97.7658,0.742113
97.8918,0.743848
98.0179,0.745367
98.144,0.746821
98.2701,0.748093
98.3962,0.749206
98.5222,0.75018
98.6483,0.751032
98.7744,0.751778
98.9005,0.752305
99.0266,0.752766
99.1526,0.76892
99.2787,0.783055
99.4048,0.795423
99.5309,0.806245
99.657,0.815714
99.783,0.824124
99.9091,0.831483
100.035,0.837922
100.161,0.843556
100.287,0.848486
100.413,0.8528
100.54,0.856575
100.666,0.859753
100.792,0.862533
100.918,0.864966
101.044,0.867095
101.17,0.868958
101.296,0.870713
101.422,0.872248
101.548,0.873592
101.674,0.874768
101.8,0.875797
101.926,0.876697
102.052,0.877484
102.179,0.878048
102.305,0.878542
102.431,0.878974
102.557,0.879352
102.683,0.879683
102.809,0.879972
102.935,0.8961
103.061,0.910212
103.187,0.92256
103.313,0.933365
103.439,0.942819
