Time,State
20.009,1
20.135,3
35.0054,4
51.8666,0
51.9296,1
52.0557,3
53.1904,0
53.2534,1
53.3795,0
53.6947,1
53.8208,3
54.6403,0
54.9555,1
55.0816,3
55.649,0
55.712,1
55.8381,0
55.9011,1
56.0902,0
56.2794,1
56.4054,0
56.7206,1
56.8467,0
56.9098,1
57.0358,0
57.225,1
57.351,0
57.4141,1
57.5402,0
57.6032,1
57.7293,0
58.1706,1
58.2966,0
58.3597,1
58.4858,0
59.1792,1
59.3053,0
59.9987,1
60.1248,0
60.9443,1
61.0704,0
61.6378,1
61.7638,0
927.24,1
927.366,3
934.113,4
941.046,0
941.109,1
941.235,3
948.043,0
948.106,1
948.232,0
954.221,1
954.347,3
961.661,4
965.505,0
965.568,1
965.694,3
966.829,0
966.892,1
967.018,0
967.712,1
967.838,3
969.036,0
969.099,1
969.225,0
969.414,1
969.54,3
970.485,0
970.548,1
970.675,0
970.864,1
970.99,3
971.746,0
971.809,1
971.935,0
972.124,1
972.314,0
972.503,1
972.629,0
972.692,1
972.818,0
973.511,1
973.637,0
973.953,1
974.079,0
974.394,1
974.52,0
975.34,1
975.466,0
975.781,1
975.907,0
976.348,1
976.474,0
976.789,1
976.916,0
976.979,1
977.105,0
977.42,1
977.546,0
977.861,1
977.987,0
978.05,1
978.176,0
978.239,1
978.365,0
978.555,1
978.681,0
978.996,1
979.122,0
979.185,1
979.311,0
979.374,1
979.5,0
979.689,1
979.815,0
979.878,1
980.004,0
980.194,1
980.32,0
980.383,1
980.509,0
980.572,1
980.698,0
980.887,1
981.013,0
981.076,1
981.202,0
981.391,1
981.517,0
981.58,1
981.707,0
982.148,1
982.274,0
982.337,1
982.463,0
982.652,1
982.778,0
982.841,1
982.967,0
983.535,1
983.661,0
1844.6,1
1844.72,3
1851.47,4
1858.4,0
1858.47,1
1858.59,3
1865.4,0
1865.46,1
1865.59,0
1871.58,1
1871.71,3
1879.02,4
1882.86,0
1882.93,1
1883.05,3
1884.19,0
1884.25,1
1884.38,0
1885.07,1
1885.2,3
1886.39,0
1886.46,1
1886.58,0
1886.77,1
1886.9,3
1887.84,0
1887.91,1
1888.03,0
1888.22,1
1888.35,3
1889.1,0
1889.17,1
1889.29,0
1889.48,1
1889.67,0
1889.86,1
1889.99,0
1890.05,1
1890.18,0
1890.87,1
1891,0
1891.44,1
1891.56,0
1891.75,1
1891.88,0
1892.19,1
1892.32,0
1892.38,1
1892.51,0
1892.7,1
1892.82,0
1893.39,1
1893.52,0
1893.71,1
1893.83,0
1894.78,1
1894.9,0
1895.85,1
1895.98,0
1896.92,1
1897.05,0
1898.37,1
1898.5,0
