Time,Window Size
0.0,0
0.15424,3400
0.5296,3740
0.65568,4080
0.78176,4420
0.90784,4760
1.03392,5100
1.16,5440
1.28608,5780
1.41216,6120
1.53824,6460
1.66432,6800
1.7904,7140
1.91648,7480
2.04256,7820
2.16864,8160
2.29472,8500
2.4208,8840
2.54688,9180
2.67296,9520
2.79904,9860
2.92512,10200
3.0512,10540
3.17728,10880
3.30336,11220
3.42944,11560
3.55552,11900
3.6816,12240
3.80768,12580
3.93376,12920
4.05984,13260
4.18592,13600
4.312,13940
4.43808,14280
4.56416,14620
4.69024,14960
4.81632,15300
4.9424,15640
5.06848,15980
5.19456,16320
5.32064,16660
5.44672,17000
5.5728,17340
5.69888,17680
5.82496,18020
5.95104,18360
6.07712,18700
6.2032,19040
6.32928,19380
6.45536,19720
6.58144,20060
6.70752,20400
6.8336,20740
6.95968,21080
7.08576,21420
7.21184,21760
7.33792,22100
7.464,22440
7.59008,22780
7.71616,23120
7.84224,23460
7.96832,23800
8.0944,24140
8.22048,24480
8.34656,24820
8.47264,25160
8.59872,25500
8.7248,25840
8.85088,26180
8.97696,26520
9.10304,26860
9.22912,27200
9.3552,27540
9.48128,27880
9.60736,28220
9.73344,28560
9.85952,28900
9.9856,29240
10.1117,29580
10.2378,29920
10.3638,30260
10.4899,30600
10.616,30940
10.7421,31280
10.8682,31620
10.9942,31960
11.1203,32300
11.2464,32640
11.3725,32980
11.4986,33320
11.6246,33660
11.7507,34000
11.8768,34340
12.0029,34680
12.129,35020
12.255,35360
12.3811,35700
12.5072,36040
12.6333,36380
12.7594,36720
12.8854,37060
13.0115,37400
13.1376,37740
13.2637,38080
13.3898,38420
13.5158,38760
13.6419,39100
13.768,39440
13.8941,39780
14.0202,40120
14.1462,40460
14.2723,40800
14.3984,41140
14.5245,41480
14.6506,41820
14.7766,42160
14.9027,42500
15.0288,42840
15.1549,43180
15.281,43520
15.407,43860
15.5331,44200
15.6592,44540
15.7853,44880
15.9114,45220
16.0374,45560
16.1635,45900
16.2896,46240
16.4157,46580
16.5418,46920
16.6678,47260
16.7939,47600
16.92,47940
17.0461,48280
17.1722,48620
17.2982,48960
17.4243,49300
17.5504,49640
17.6765,49980
17.8026,50320
17.9286,50660
18.0547,51000
18.1808,51340
18.3069,51680
18.433,52020
18.559,52360
18.6851,52700
18.8112,53040
18.9373,53380
19.0634,53720
19.1894,54060
19.3155,54400
19.4416,54740
19.5677,55080
19.6938,55420
19.8198,55760
19.9459,56100
20.135,55760
27.0064,55080
27.0694,55420
33.8778,54740
33.9408,55080
34.4451,54740
34.5082,54400
34.5712,54060
34.6342,53720
34.6973,53380
34.7603,53040
34.8234,52700
34.8864,52360
34.9494,52020
35.0054,340
40.7491,680
40.7491,850
41.3165,986
41.6832,1103
41.7462,1207
42.176,1302
42.3021,1390
42.6688,1473
42.8579,1551
43.0986,1625
43.4653,1696
43.6544,1764
43.832,1829
44.1987,1892
44.3248,1953
44.6285,2012
44.8176,2069
44.9952,2124
45.2474,2178
45.4365,2231
45.4995,2282
45.8147,2332
45.9408,2381
46.193,2429
46.3821,2476
46.5082,2522
46.7603,2567
46.9494,2612
47.0125,2656
47.3277,2699
47.4538,2741
47.7059,2783
47.895,2824
48.0211,2864
48.2733,2904
48.4624,2943
48.5254,2982
48.8406,3020
48.9667,3058
49.2189,3095
49.408,3132
49.5341,3168
49.7862,3204
49.9754,3240
50.0384,3275
50.3536,3310
50.4797,3344
50.7318,3378
50.921,3412
51.047,3445
51.2992,3478
51.4883,3511
51.5514,3543
52.0557,3060
52.56,2380
52.6861,2040
52.8122,1700
52.9382,1360
53.0643,1020
53.1904,729
53.1904,887
53.3795,1017
53.5056,1130
53.6317,1232
53.8208,680
54.199,0
54.3882,340
54.5142,0
54.6403,729
54.6403,887
54.7664,1017
54.8925,1130
55.0816,680
55.2707,0
55.5229,729
55.649,887
55.8381,1017
56.0902,1130
56.2163,1232
56.4054,1325
56.5315,1412
56.6576,1493
56.8467,1570
57.0358,1643
57.1619,1713
57.351,1780
57.5402,1844
57.7293,1906
57.8554,1966
57.9814,2024
58.1075,2081
58.2966,2136
58.4858,2190
58.6118,2242
58.7379,2293
58.864,2343
58.9901,2392
59.1162,2440
59.3053,2487
59.4314,2533
59.5574,2578
59.6835,2622
59.8096,2666
59.9357,2709
60.1248,2751
60.2509,2793
60.377,2834
60.503,2874
60.6291,2914
60.7552,2953
60.8813,2992
61.0704,3030
61.1965,3068
61.3226,3105
61.4486,3142
61.5747,3178
61.7638,3214
61.8899,3249
62.016,3284
62.1421,3319
62.2682,3353
62.3942,3387
62.5203,3421
62.6464,3454
62.7725,3487
62.8986,3520
63.0246,3552
63.1507,3584
63.2768,3616
63.4029,3647
63.529,3678
63.655,3709
63.7811,3740
63.9072,3770
64.0333,3800
64.1594,3830
64.2854,3860
64.4115,3889
64.5376,3918
64.6637,3947
64.7898,3976
64.9158,4005
65.0419,4033
65.168,4061
65.2941,4089
65.4202,4117
65.5462,4145
65.6723,4172
65.7984,4199
65.9245,4226
66.0506,4253
66.1766,4280
66.3027,4307
66.4288,4333
66.5549,4359
66.681,4385
66.807,4411
66.9331,4437
67.0592,4463
67.1853,4488
67.3114,4513
67.4374,4538
67.5635,4563
67.6896,4588
67.8157,4613
67.9418,4638
68.0678,4662
68.1939,4686
68.32,4710
68.4461,4734
68.5722,4758
68.6982,4782
68.8243,4806
68.9504,4830
69.0765,4853
69.2026,4876
69.3286,4899
69.4547,4922
69.5808,4945
69.7069,4968
69.833,4991
69.959,5014
70.0851,5037
70.2112,5059
70.3373,5081
70.4634,5103
70.5894,5125
70.7155,5147
70.8416,5169
70.9677,5191
71.0938,5213
71.2198,5235
71.3459,5257
71.472,5278
71.5981,5299
71.7242,5320
71.8502,5341
71.9763,5362
72.1024,5383
72.2285,5404
72.3546,5425
72.4806,5446
72.6067,5467
72.7328,5488
72.8589,5509
72.985,5529
73.111,5549
73.2371,5569
73.3632,5589
73.4893,5609
73.6154,5629
73.7414,5649
73.8675,5669
73.9936,5689
74.1197,5709
74.2458,5729
74.3718,5749
74.4979,5769
74.624,5789
74.7501,5808
74.8762,5827
75.0022,5846
75.1283,5865
75.2544,5884
75.3805,5903
75.5066,5922
75.6326,5941
75.7587,5960
75.8848,5979
76.0109,5998
76.137,6017
76.263,6036
76.3891,6055
76.5152,6074
76.6413,6093
76.7674,6111
76.8934,6129
77.0195,6147
77.1456,6165
77.2717,6183
77.3978,6201
77.5238,6219
77.6499,6237
77.776,6255
77.9021,6273
78.0282,6291
78.1542,6309
78.2803,6327
78.4064,6345
78.5325,6363
78.6586,6381
78.7846,6399
78.9107,6417
79.0368,6435
79.1629,6452
79.289,6469
79.415,6486
79.5411,6503
79.6672,6520
79.7933,6537
79.9194,6554
80.0454,6571
80.1715,6588
80.2976,6605
80.4237,6622
80.5498,6639
80.6758,6656
80.8019,6673
80.928,6690
81.0541,6707
81.1802,6724
81.3062,6741
81.4323,6758
81.5584,6775
81.6845,6792
81.8106,6809
81.9366,6825
82.0627,6841
82.1888,6857
82.3149,6873
82.441,6889
82.567,6905
82.6931,6921
82.8192,6937
82.9453,6953
83.0714,6969
83.1974,6985
83.3235,7001
83.4496,7017
83.5757,7033
83.7018,7049
83.8278,7065
83.9539,7081
84.08,7097
84.2061,7113
84.3322,7129
84.4582,7145
84.5843,7161
84.7104,7177
84.8365,7193
84.9626,7209
85.0886,7225
85.2147,7241
85.3408,7256
85.4669,7271
85.593,7286
85.719,7301
85.8451,7316
85.9712,7331
86.0973,7346
86.2234,7361
86.3494,7376
86.4755,7391
86.6016,7406
86.7277,7421
86.8538,7436
86.9798,7451
87.1059,7466
87.232,7481
87.3581,7496
87.4842,7511
87.6102,7526
87.7363,7541
87.8624,7556
87.9885,7571
88.1146,7586
88.2406,7601
88.3667,7616
88.4928,7631
88.6189,7646
88.745,7661
88.871,7676
88.9971,7691
89.1232,7706
89.2493,7721
89.3754,7735
89.5014,7749
89.6275,7763
89.7536,7777
89.8797,7791
90.0058,7805
90.1318,7819
90.2579,7833
90.384,7847
90.5101,7861
90.6362,7875
90.7622,7889
90.8883,7903
91.0144,7917
91.1405,7931
91.2666,7945
91.3926,7959
91.5187,7973
91.6448,7987
91.7709,8001
91.897,8015
92.023,8029
92.1491,8043
92.2752,8057
92.4013,8071
92.5274,8085
92.6534,8099
92.7795,8113
92.9056,8127
93.0317,8141
93.1578,8155
93.2838,8169
93.4099,8183
93.536,8197
93.6621,8211
93.7882,8225
93.9142,8239
94.0403,8253
94.1664,8267
94.2925,8280
94.4186,8293
94.5446,8306
94.6707,8319
94.7968,8332
94.9229,8345
95.049,8358
95.175,8371
95.3011,8384
95.4272,8397
95.5533,8410
95.6794,8423
95.8054,8436
95.9315,8449
96.0576,8462
96.1837,8475
96.3098,8488
96.4358,8501
96.5619,8514
96.688,8527
96.8141,8540
96.9402,8553
97.0662,8566
97.1923,8579
97.3184,8592
97.4445,8605
97.5706,8618
97.6966,8631
97.8227,8644
97.9488,8657
98.0749,8670
98.201,8683
98.327,8696
98.4531,8709
98.5792,8722
98.7053,8735
98.8314,8748
98.9574,8761
99.0835,8774
99.2096,8787
99.3357,8800
99.4618,8813
99.5878,8826
99.7139,8839
99.84,8852
99.9661,8865
100.092,8878
100.218,8891
100.344,8904
100.47,8916
100.596,8928
100.723,8940
100.849,8952
100.975,8964
101.101,8976
101.227,8988
101.353,9000
101.479,9012
101.605,9024
101.731,9036
101.857,9048
101.983,9060
102.109,9072
102.236,9084
102.362,9096
102.488,9108
102.614,9120
102.74,9132
102.866,9144
102.992,9156
103.118,9168
103.244,9180
