Time,Packets Lost,rxBytes,rxPackets,txBytes,txPackets
1,0,3636,11,8340,11
2,0,9908,27,17748,27
3,0,16180,43,27156,43
4,0,22452,59,36564,59
5,0,28724,75,45972,75
6,0,34604,90,55380,90
7,0,40876,106,64788,106
8,0,47148,122,74196,122
9,0,53420,138,83604,138
10,0,59692,154,93012,154
11,0,65964,170,102420,170
12,0,72236,186,110652,186
13,0,78116,201,120060,201
14,6,84388,217,129468,217
15,14,90660,233,138876,233
16,22,96932,249,148284,249
17,30,103204,265,157692,265
18,38,109476,281,167100,281
19,46,115748,297,176508,297
20,54,122020,313,185524,313
21,55,127900,328,191796,328
22,55,134172,344,198068,344
23,55,140444,360,204340,360
24,55,146716,376,210612,376
25,55,152988,392,216884,392
26,55,159260,408,223156,408
27,55,165532,424,229036,424
28,55,171412,439,235308,439
29,55,177684,455,241580,455
30,55,183956,471,247852,471
31,55,190228,487,254124,487
32,55,196500,503,260396,503
33,55,202772,519,266668,519
34,55,209044,535,272548,535
35,55,214924,550,274900,550
36,55,221196,566,275292,566
37,55,227468,582,275292,582
38,55,233740,598,275292,598
39,55,240012,614,275292,614
40,55,246284,630,275292,630
41,55,252556,646,276076,646
42,55,255692,654,278820,654
43,55,260004,665,283132,665
44,55,264708,677,288620,677
45,55,270196,691,294892,691
46,55,276468,707,301164,707
47,55,282348,722,306260,722
48,55,288620,738,312924,738
49,55,294892,754,320372,754
50,55,301164,770,325860,770
51,55,307436,786,332524,786
52,55,313708,802,342324,802
53,55,319980,818,346636,818
54,55,326252,834,352124,834
55,55,332132,849,357220,849
56,55,338404,865,362708,865
57,55,344676,881,369372,881
58,55,350948,897,376428,897
59,55,357220,913,383484,913
60,55,363492,929,388972,929
61,55,369764,945,394460,945
62,55,375644,960,399948,960
63,55,381916,976,406612,976
64,55,388188,992,413276,992
65,55,394460,1008,419548,1008
66,55,400732,1024,426212,1024
67,55,407004,1040,432876,1040
68,55,413276,1056,439148,1056
69,55,419156,1071,445812,1071
70,55,425428,1087,452084,1087
71,55,431700,1103,458748,1103
72,55,437972,1119,465020,1119
73,55,444244,1135,471684,1135
74,55,450516,1151,477956,1151
75,55,456788,1167,483836,1167
76,55,463060,1183,490108,1183
77,55,468940,1198,496772,1198
78,55,475212,1214,503044,1214
79,55,481484,1230,509316,1230
80,55,487756,1246,515980,1246
81,55,494028,1262,522252,1262
