Time,Bytes
0.154241,340
0.154241,680
0.154241,1020
0.154241,1360
0.154241,1700
0.154241,2040
0.154241,2380
0.154241,2720
0.154241,3060
0.154241,3400
0.5296,3060
0.5296,3400
0.5296,3740
0.65568,3060
0.65568,3400
0.65568,3740
0.65568,4080
0.78176,3400
0.78176,3740
0.78176,4080
0.78176,4420
0.90784,3740
0.90784,4080
0.90784,4420
0.90784,4760
1.03392,4080
1.03392,4420
1.03392,4760
1.03392,5100
1.16,4420
1.16,4760
1.16,5100
1.16,5440
1.28608,4760
1.28608,5100
1.28608,5440
1.28608,5780
1.41216,5100
1.41216,5440
1.41216,5780
1.41216,6120
1.53824,5440
1.53824,5780
1.53824,6120
1.53824,6460
1.66432,5780
1.66432,6120
1.66432,6460
1.66432,6800
1.7904,6120
1.7904,6460
1.7904,6800
1.7904,7140
1.91648,6460
1.91648,6800
1.91648,7140
1.91648,7480
2.04256,6800
2.04256,7140
2.04256,7480
2.04256,7820
2.16864,7140
2.16864,7480
2.16864,7820
2.16864,8160
2.29472,7480
2.29472,7820
2.29472,8160
2.29472,8500
2.4208,7820
2.4208,8160
2.4208,8500
2.4208,8840
2.54688,8160
2.54688,8500
2.54688,8840
2.54688,9180
2.67296,8500
2.67296,8840
2.67296,9180
2.67296,9520
2.79904,8840
2.79904,9180
2.79904,9520
2.79904,9860
2.92512,9180
2.92512,9520
2.92512,9860
2.92512,10200
3.0512,9520
3.0512,9860
3.0512,10200
3.0512,10540
3.17728,9860
3.17728,10200
3.17728,10540
3.17728,10880
3.30336,10200
3.30336,10540
3.30336,10880
3.30336,11220
3.42944,10540
3.42944,10880
3.42944,11220
3.42944,11560
3.55552,10880
3.55552,11220
3.55552,11560
3.55552,11900
3.6816,11220
3.6816,11560
3.6816,11900
3.6816,12240
3.80768,11560
3.80768,11900
3.80768,12240
3.80768,12580
3.93376,11900
3.93376,12240
3.93376,12580
3.93376,12920
4.05984,12240
4.05984,12580
4.05984,12920
4.05984,13260
4.18592,12580
4.18592,12920
4.18592,13260
4.18592,13600
4.312,12920
4.312,13260
4.312,13600
4.312,13940
4.43808,13260
4.43808,13600
4.43808,13940
4.43808,14280
4.56416,13600
4.56416,13940
4.56416,14280
4.56416,14620
4.69024,13940
