Time,RTO
0.0,3
0.15424,1
0.78176,1.17146
0.90784,1.48752
1.03392,1.81373
1.16,2.14147
1.28608,2.04094
1.41216,1.93485
1.53824,1.82842
1.66432,1.86684
1.7904,1.86131
1.91648,1.82711
2.04256,1.91691
2.16864,1.94634
2.29472,1.93634
2.4208,2.04251
2.54688,2.0838
2.67296,2.08121
2.79904,2.19279
2.92512,2.23689
3.0512,2.23533
3.17728,2.34562
3.30336,2.38803
3.42944,2.38459
3.55552,2.4929
3.6816,2.53336
3.80768,2.52803
3.93376,2.63456
4.05984,2.67336
4.18592,2.6665
4.312,2.77276
4.43808,2.81104
4.56416,2.80237
4.69024,2.90602
4.81632,2.94232
4.9424,2.93329
5.06848,3.03654
5.19456,3.07244
5.32064,3.06301
5.44672,3.16589
5.5728,3.20144
5.69888,3.19169
5.82496,3.29427
5.95104,3.33068
6.07712,3.32142
6.2032,3.42424
6.32928,3.45958
6.45536,3.44954
6.58144,3.55177
6.70752,3.58669
6.8336,3.5752
6.95968,3.67647
7.08576,3.71076
7.21184,3.70002
7.33792,3.80181
7.464,3.83759
7.59008,3.82783
7.71616,3.93025
7.84224,3.96526
7.96832,3.95495
8.0944,4.05696
8.22048,4.09169
8.34656,4.08118
8.47264,4.18306
8.59872,4.2177
8.7248,4.20713
8.85088,4.30896
8.97696,4.34358
9.10304,4.33412
9.22912,4.43669
9.3552,4.47064
9.48128,4.45958
9.60736,4.56109
9.73344,4.59549
9.85952,4.58476
9.9856,4.68651
10.1117,4.72108
10.2378,4.71049
10.3638,4.81233
10.4899,4.84696
10.616,4.83754
10.7421,4.94015
10.8682,4.97527
10.9942,4.96499
11.1203,5.067
11.2464,5.10169
11.3725,5.09112
11.4986,5.19293
11.6246,5.22637
11.7507,5.215
11.8768,5.31631
12.0029,5.3506
12.129,5.33984
12.255,5.44271
12.3811,5.47805
12.5072,5.46796
12.6333,5.57012
12.7594,5.60494
12.8854,5.59448
13.0115,5.69638
13.1376,5.73102
13.2637,5.72044
13.3898,5.82226
13.5158,5.85686
13.6419,5.84626
13.768,5.94919
13.8941,5.98452
14.0202,5.97326
14.1462,6.0746
14.2723,6.10887
14.3984,6.09805
14.5245,6.19974
14.6506,6.23426
14.7766,6.22362
14.9027,6.32543
15.0288,6.36005
15.1549,6.34948
15.281,6.45134
15.407,6.48712
15.5331,6.47731
15.6592,6.57964
15.7853,6.61456
15.9114,6.60414
16.0374,6.70605
16.1635,6.74068
16.2896,6.72895
16.4157,6.83
16.5418,6.8641
16.6678,6.85319
16.7939,6.95484
16.92,6.99049
17.0461,6.98062
17.1722,7.08293
17.2982,7.11786
17.4243,7.10747
17.5504,7.20943
17.6765,7.2441
17.8026,7.23354
17.9286,7.33537
18.0547,7.36997
18.1808,7.35936
18.3069,7.46117
18.433,7.49576
18.559,7.48628
18.6851,7.58883
18.8112,7.62276
18.9373,7.61169
19.0634,7.71318
19.1894,7.74756
19.3155,7.73683
19.4416,7.83857
19.5677,7.87314
19.6938,7.86253
19.8198,7.96437
19.9459,7.999
