Time,RTT
0.0,0
0.15424,0.154
0.5296,0.181625
0.65568,0.221546
0.78176,0.272227
0.90784,0.332323
1.03392,0.400657
1.16,0.476324
1.28608,0.511408
1.41216,0.542107
1.53824,0.568968
1.66432,0.608222
1.7904,0.642569
1.91648,0.672622
2.04256,0.714669
2.16864,0.751335
2.29472,0.783418
2.4208,0.82724
2.54688,0.865585
2.67296,0.899136
2.79904,0.944369
2.92512,0.983947
3.0512,1.01858
3.17728,1.06463
3.30336,1.10493
3.42944,1.14019
3.55552,1.18679
3.6816,1.22756
3.80768,1.26324
3.93376,1.31021
4.05984,1.35131
4.18592,1.38727
4.312,1.43461
4.43808,1.47603
4.56416,1.51215
4.69024,1.55951
4.81632,1.60094
4.9424,1.6372
5.06848,1.68467
5.19456,1.72622
5.32064,1.76256
5.44672,1.81012
5.5728,1.85173
5.69888,1.88814
5.82496,1.93574
5.95104,1.97753
6.07712,2.01409
6.2032,2.06182
6.32928,2.1036
6.45536,2.14015
6.58144,2.18788
6.70752,2.22964
6.8336,2.26606
6.95968,2.31368
7.08576,2.35534
7.21184,2.3918
7.33792,2.43945
7.464,2.48127
7.59008,2.51786
7.71616,2.56563
7.84224,2.60742
7.96832,2.64399
8.0944,2.69174
8.22048,2.73353
8.34656,2.77008
8.47264,2.81782
8.59872,2.8596
8.7248,2.89615
8.85088,2.94388
8.97696,2.98564
9.10304,3.02231
9.22912,3.07015
9.3552,3.11188
9.48128,3.14839
9.60736,3.19609
9.73344,3.23783
9.85952,3.27435
9.9856,3.32206
10.1117,3.3638
10.2378,3.40033
10.3638,3.44803
10.4899,3.48978
10.616,3.52643
10.7421,3.57425
10.8682,3.6161
10.9942,3.65271
11.1203,3.70049
11.2464,3.74231
11.3725,3.77889
11.4986,3.82666
11.6246,3.86832
11.7507,3.90478
11.8768,3.95243
12.0029,3.99413
12.129,4.03061
12.255,4.07841
12.3811,4.12023
12.5072,4.15683
12.6333,4.2046
12.7594,4.2464
12.8854,4.28298
13.0115,4.33073
13.1376,4.37251
13.2637,4.40907
13.3898,4.45681
13.5158,4.49859
13.6419,4.53514
13.768,4.58299
13.8941,4.62487
14.0202,4.66139
14.1462,4.70909
14.2723,4.75082
14.3984,4.78735
14.5245,4.83505
14.6506,4.8768
14.7766,4.91332
14.9027,4.96103
15.0288,5.00278
15.1549,5.0393
15.281,5.08702
15.407,5.12889
15.5331,5.16553
15.6592,5.21334
15.7853,5.25517
15.9114,5.29177
16.0374,5.33955
16.1635,5.38136
16.2896,5.41781
16.4157,5.46546
16.5418,5.50715
16.6678,5.54363
16.7939,5.5913
16.92,5.63314
17.0461,5.66975
17.1722,5.71753
17.2982,5.75934
17.4243,5.79592
17.5504,5.84368
17.6765,5.88547
17.8026,5.92204
17.9286,5.96978
18.0547,6.01156
18.1808,6.04811
18.3069,6.09585
18.433,6.13762
18.559,6.17429
18.6851,6.22213
18.8112,6.26386
18.9373,6.30038
19.0634,6.34808
19.1894,6.38982
19.3155,6.42634
19.4416,6.47405
19.5677,6.51579
19.6938,6.55232
19.8198,6.60003
19.9459,6.64177
59.3053,5.91405
59.9357,5.27717
60.1248,4.7199
60.6291,4.21666
60.7552,3.7842
60.8813,3.4058
61.0704,3.08257
61.3226,2.78388
61.4486,2.52252
61.5747,2.29383
61.7638,2.09372
61.8899,1.91863
62.016,1.76555
62.1421,1.63161
62.2682,1.51441
62.3942,1.40398
62.5203,1.30736
62.6464,1.22269
62.7725,1.1486
62.8986,1.08378
63.0246,1.02705
63.1507,0.977422
63.2768,0.933994
63.4029,0.895994
63.529,0.862744
63.655,0.833776
63.7811,0.808429
63.9072,0.78625
64.0333,0.766843
64.1594,0.749862
64.2854,0.734879
64.4115,0.721769
64.5376,0.726047
64.6637,0.729791
64.7898,0.733067
64.9158,0.735933
65.0419,0.738441
65.168,0.74076
65.2941,0.74279
65.4202,0.744566
65.5462,0.74612
65.6723,0.74748
65.7984,0.74867
65.9245,0.749586
66.0506,0.750387
66.1766,0.751088
66.3027,0.751702
66.4288,0.752239
66.5549,0.752709
66.681,0.75312
66.807,0.753605
66.9331,0.754029
67.0592,0.7544
67.1853,0.754725
67.3114,0.755009
67.4374,0.755257
67.5635,0.755349
67.6896,0.75543
67.8157,0.771251
67.9418,0.785094
68.0678,0.797207
68.1939,0.807806
68.32,0.817205
68.4461,0.825429
68.5722,0.832625
68.6982,0.838921
68.8243,0.84443
68.9504,0.849251
69.0765,0.853469
69.2026,0.857035
69.3286,0.860155
69.4547,0.862885
69.5808,0.865274
69.7069,0.867364
69.833,0.869193
69.959,0.870918
70.0851,0.872428
70.2112,0.873749
70.3373,0.874905
70.4634,0.875916
70.5894,0.876801
70.7155,0.877575
70.8416,0.878128
70.9677,0.878612
71.0938,0.879035
71.2198,0.879405
71.3459,0.879729
71.472,0.895887
71.5981,0.910026
71.7242,0.922397
71.8502,0.933222
71.9763,0.942694
72.1024,0.950982
72.2285,0.958234
72.3546,0.964579
72.4806,0.970006
72.6067,0.974755
72.7328,0.97891
72.8589,0.982546
