Time,State
1.18352,1
1.18982,3
2.68469,4
3.62182,0
3.62498,1
3.63128,3
3.92757,0
3.93072,1
3.93702,0
4.07256,1
4.07886,3
4.34994,0
4.42243,1
4.42874,3
4.67459,0
4.69666,1
4.70296,0
4.76285,1
4.76915,3
4.9961,0
5.06229,1
5.06859,3
5.26402,0
5.28608,1
5.29238,0
5.32706,1
5.33336,3
5.49096,0
5.54454,1
5.55085,3
5.68638,0
5.70845,1
5.71475,0
5.73051,1
5.73682,3
5.85952,0
5.9005,1
5.9068,3
6.0232,0
6.0545,1
6.0671,3
6.17112,0
6.21818,1
6.23078,3
6.32512,0
6.3724,1
6.38816,3
6.4825,0
6.52955,1
6.55477,3
6.6491,0
6.69616,1
6.71822,0
6.74344,1
6.74974,0
6.77181,1
6.78419,0
6.81256,1
6.83778,0
6.84408,1
6.85038,0
6.87853,1
6.88483,0
6.93211,1
6.93842,0
6.94472,1
6.95102,0
6.97917,1
7.00123,0
7.03275,1
7.03906,0
7.04536,1
7.05482,0
7.09557,1
7.12078,0
7.13339,1
7.1397,0
7.14915,1
7.16154,0
7.21512,1
7.22142,0
7.23403,1
7.24349,0
7.25587,1
7.26218,0
7.31576,1
7.32206,0
7.33782,1
7.35021,0
7.35651,1
7.37858,0
7.4164,1
7.4227,0
7.44454,1
7.45085,0
7.47291,1
7.49813,0
7.51704,1
7.5265,0
7.54518,1
7.56725,0
7.59246,1
7.59877,0
7.62083,1
7.63322,0
7.66158,1
7.6868,0
7.6931,1
7.69941,0
7.72755,1
7.73386,0
7.78114,1
7.78744,0
7.79374,1
7.80005,0
7.82819,1
7.85026,0
7.88178,1
7.88808,0
7.89438,1
7.90384,0
7.94459,1
7.96981,0
7.98242,1
7.98872,0
7.99818,1
8.01056,0
8.06414,1
8.07045,0
8.08306,1
8.09251,0
8.1049,1
8.1112,0
8.16478,1
8.17109,0
8.18685,1
8.19923,0
8.20554,1
8.2276,0
8.26542,1
8.27173,0
8.29357,1
8.29987,0
8.32194,1
8.34715,0
8.36606,1
8.37552,0
8.39421,1
8.41627,0
8.44149,1
8.44779,0
8.46986,1
8.48224,0
8.51061,1
8.53582,0
8.54213,1
8.54843,0
8.57658,1
8.58288,0
8.63016,1
8.63646,0
8.64277,1
8.64907,0
8.67722,1
8.69928,0
8.7308,1
8.7371,0
8.74341,1
8.75286,0
8.79362,1
8.81883,0
8.83144,1
8.83774,0
8.8472,1
8.85958,0
8.91317,1
8.91947,0
8.93208,1
