Time,Window Size
0.0,0
0.083712,3400
0.17848,3740
0.184784,4420
0.191088,5100
0.197392,5780
0.203696,6460
0.272816,7140
0.27912,7820
0.285424,8500
0.291728,9180
0.298032,9860
0.304336,10540
0.31064,11220
0.316944,11900
0.323248,12580
0.367152,13260
0.373456,13940
0.37976,14620
0.386064,15300
0.392368,15980
0.398672,16660
0.404976,17340
0.41128,18020
0.417584,18700
0.423888,19380
0.430192,20060
0.436496,20740
0.4428,21420
0.449104,22100
0.455408,22780
0.461712,23460
0.468016,24140
0.47432,24820
0.480624,25500
0.486928,26180
0.493232,26860
0.499536,27540
0.50584,28220
0.512144,28900
0.518448,29580
0.524752,30260
0.531056,30940
0.53736,31620
0.543664,32300
0.549968,32980
0.556272,33660
0.562576,34340
0.56888,35020
0.575184,35700
0.581488,36380
0.587792,37060
0.594096,37740
0.6004,38420
0.606704,39100
0.613008,39780
0.619312,40460
0.625616,41140
0.63192,41820
0.638224,42500
0.644528,43180
0.650832,43860
0.657136,44540
0.66344,45220
0.669744,45900
0.676048,46580
0.682352,47260
0.688656,47940
0.69496,48620
0.701264,49300
0.707568,49980
0.713872,50660
0.720176,51340
0.72648,52020
0.732784,52700
0.739088,53380
0.745392,54060
0.751696,54740
0.758,55420
0.82104,55760
0.88408,56100
0.94712,56440
1.01016,56780
1.0732,57120
1.13624,57460
1.18982,57120
1.68469,56440
1.68784,56780
1.97782,56440
1.98098,56100
1.98413,55760
1.98728,55420
1.99043,55080
1.99358,54740
1.99674,54400
1.99989,54060
2.00304,53720
2.00619,53380
2.00934,53040
2.0125,52700
2.01565,52360
2.0188,52020
2.02195,51680
2.0251,51340
2.02826,51000
2.03141,50660
2.03456,50320
2.03771,49980
2.04086,49640
2.04402,49300
2.04717,48960
2.05032,48620
2.05347,48280
2.05662,47940
2.05978,47600
2.06293,47260
2.06608,46920
2.06923,46580
2.07238,46240
2.07554,45900
2.07869,45560
2.08184,45220
2.08499,44880
2.08814,44540
2.0913,44200
2.09445,43860
2.0976,43520
2.10075,43180
2.1039,42840
2.10706,42500
2.11021,42160
2.11336,41820
2.11651,40800
2.11966,41140
2.1764,40800
2.17955,40460
2.1827,40120
2.18586,39780
2.18901,39440
2.19216,39100
2.19531,38760
2.19846,38420
2.20162,38080
2.20477,37740
2.20792,37400
2.21107,37060
2.21422,36720
2.21738,36380
2.22053,36040
2.22368,35700
2.22683,35360
2.22998,35020
2.23314,34680
2.23629,34340
2.23944,34000
2.24259,33660
2.24574,33320
2.2489,32980
2.25205,32640
2.2552,32300
2.25835,31960
2.2615,31620
2.26466,31280
2.26781,30940
2.27096,30600
2.27411,30260
2.27726,29920
2.28042,29580
2.28357,29240
2.28672,28900
2.28987,28560
2.29302,28220
2.29618,27880
2.29933,27540
2.30248,27200
2.30563,26860
2.30878,26520
2.31194,26180
2.31509,25840
2.31824,25500
2.32139,25160
2.32454,24820
2.3277,24480
2.33085,24140
2.334,23800
2.33715,23460
2.3403,23120
2.34346,22780
2.34661,22440
2.34976,22100
2.35291,21760
2.35606,21420
2.35922,21080
2.36237,20740
2.36552,20400
2.36867,20060
2.37182,19720
2.37498,19380
2.37813,19040
2.38128,18700
2.38443,18360
2.38758,18020
2.39074,17680
2.39389,16660
2.39704,17000
2.48822,16320
2.49138,16660
2.58256,15980
2.58571,16320
2.6769,15300
2.68005,15640
2.68469,340
2.77123,4760
2.86557,8840
2.90339,12920
2.99142,13260
3.05446,13600
3.1175,13940
3.17739,14280
3.25934,14620
3.30978,14960
3.38542,15300
3.42955,15640
3.4989,15980
3.55878,16320
3.63128,15980
3.77627,15300
3.78258,14960
3.78888,14620
3.79518,14280
3.80149,13940
3.80779,13600
3.8141,13260
3.8204,12920
3.8267,12580
3.83301,12240
3.83931,11900
3.84562,11560
3.85192,11220
3.85822,10880
3.86453,10540
3.87083,10200
3.87714,9860
3.88344,9520
3.88974,9180
3.89605,8840
3.90235,8500
3.90866,8160
3.91496,7820
3.92126,7480
3.92757,11220
3.92757,11560
3.93702,11900
3.94333,12240
3.98115,12580
4.01898,12920
4.07886,12580
4.15451,11900
4.16082,11560
4.16712,11220
4.17342,10880
4.17973,10540
4.18603,10200
4.19234,9860
4.19864,9520
4.20179,9860
4.2081,9180
4.21125,9520
4.21755,8840
4.22386,8500
4.23016,8160
4.23646,7820
4.24277,7480
4.24907,7140
4.25222,7480
4.25853,6800
4.26483,6460
4.27114,6120
4.27744,5780
4.28374,5440
4.29005,5100
4.2932,5440
4.2995,4760
4.30581,4420
4.31211,4080
4.31842,3740
4.32472,3400
4.33102,3060
4.33733,2720
4.34363,2380
4.34994,8840
4.34994,9180
4.36254,9520
4.41298,9860
4.42874,9520
4.4508,8840
4.4571,8500
4.46026,8840
4.47917,8160
4.48232,8500
4.50123,7820
4.50438,8160
