Time,Packets Lost,rxBytes,rxPackets,txBytes,txPackets
1,4,95364,245,154948,245
2,35,219628,562,276860,562
3,35,308220,788,335268,788
4,35,432876,1106,474036,1106
5,35,557140,1423,589284,1423
6,35,677876,1731,695516,1731
7,35,741772,1894,758236,1894
8,35,797436,2036,814292,2036
9,35,853100,2178,868780,2178
10,35,911508,2327,931108,2327
11,35,970700,2478,987164,2478
12,35,1041260,2658,1061644,2658
13,35,1161996,2966,1187868,2966
14,35,1286260,3283,1323500,3283
15,35,1410524,3600,1463052,3600
16,44,1535180,3918,1606524,3918
17,63,1659444,4235,1710796,4235
18,63,1758620,4488,1792724,4488
19,63,1882884,4805,1919340,4805
20,63,1999308,5102,2030276,5102
21,63,2071044,5285,2100444,5285
22,63,2142780,5468,2170220,5468
23,63,2212948,5647,2242348,5647
24,63,2296052,5859,2324668,5859
25,63,2394444,6110,2422668,6110
26,63,2486172,6344,2518708,6344
27,63,2610828,6662,2651204,6662
28,63,2735092,6979,2788404,6979
29,63,2859356,7296,2929132,7296
30,86,2983620,7613,3065940,7613
31,90,3099260,7908,3140420,7908
32,90,3207060,8183,3263900,8183
33,90,3331716,8501,3379148,8501
34,90,3428932,8749,3468524,8749
35,90,3495964,8920,3534380,8920
36,90,3563780,9093,3602980,9093
37,90,3632380,9268,3671580,9268
38,90,3710388,9467,3750764,9467
39,90,3800940,9698,3839356,9698
40,90,3893060,9933,3935788,9933
41,90,4017716,10251,4068284,10251
42,90,4141980,10568,4205484,10568
43,90,4266244,10885,4346996,10885
44,113,4390508,11202,4483804,11202
45,118,4505756,11496,4557892,11496
46,118,4613948,11772,4682156,11772
47,118,4738212,12089,4797012,12089
48,118,4836212,12339,4887172,12339
49,118,4907948,12522,4957732,12522
50,118,4978900,12703,5029468,12703
51,118,5051812,12889,5103164,12889
52,118,5141188,13117,5193324,13117
53,118,5231740,13348,5282308,13348
54,118,5341892,13629,5398732,13629
55,118,5466156,13946,5532012,13946
56,118,5590420,14263,5670780,14263
57,120,5715076,14581,5813076,14581
58,145,5839340,14898,5943220,14898
59,145,5939300,15153,6002412,15153
60,145,6062780,15468,6134516,15468
61,145,6184692,15779,6251332,15779
62,145,6263876,15981,6324636,15981
63,145,6331692,16154,6391668,16154
64,145,6399508,16327,6460268,16327
65,145,6469676,16506,6530044,16506
66,145,6554740,16723,6617852,16723
67,145,6637844,16935,6699388,16935
68,145,6748780,17218,6815812,17218
69,145,6873044,17535,6949876,17535
70,145,6997308,17852,7087860,17852
71,148,7121964,18170,7231332,18170
72,173,7246228,18487,7361084,18487
73,173,7346188,18742,7423804,18742
74,173,7469668,19057,7553164,19057
75,173,7591972,19369,7669588,19369
76,173,7673508,19577,7745244,19577
77,173,7744852,19759,7816196,19759
78,173,7815412,19939,7887540,19939
79,173,7892636,20136,7964764,20136
80,173,7992204,20390,8066684,20390
81,173,8075700,20603,8150180,20603
82,173,8197612,20914,8278364,20914
83,173,8321876,21231,8413996,21231
84,173,8446140,21548,8553548,21548
85,184,8570404,21865,8695844,21865
86,200,8695060,22183,8793452,22183
87,200,8793844,22435,8882044,22435
88,200,8918500,22753,9012972,22753
89,200,9031396,23041,9113324,23041
90,200,9099604,23215,9181140,23215
91,200,9167028,23387,9249348,23387
92,200,9235236,23561,9317164,23561
93,200,9308540,23748,9391644,23748
94,200,9404188,23992,9486508,23992
95,200,9482588,24192,9567652,24192
96,200,9604108,24502,9695444,24502
97,200,9728764,24820,9831468,24820
98,200,9853028,25137,9971804,25137
99,212,9977292,25454,10113708,25454
100,228,10101948,25772,10209748,25772
101,228,10200732,26024,10298340,26024
102,228,10324996,26341,10430836,26341
103,228,10439852,26634,10533148,26634
104,228,10510804,26815,10603708,26815
105,228,10581364,26995,10674660,26995
106,228,10652708,27177,10746788,27177
107,228,10735812,27389,10830676,27389
108,228,10833028,27637,10926324,27637
109,228,10928676,27881,11025892,27881
110,228,11052940,28198,11158388,28198
111,228,11177204,28515,11295980,28515
112,228,11301860,28833,11437100,28833
113,254,11426124,29150,11573124,29150
114,255,11540588,29442,11642900,29442
115,255,11649564,29720,11766772,29720
116,255,11773828,30037,11883196,30037
117,255,11868692,30279,11971396,30279
118,255,11934548,30447,12038428,30447
119,255,12002756,30621,12107028,30621
120,255,12071748,30797,12175236,30797
121,255,12150540,30998,12255988,30998
122,255,12239132,31224,12342620,31224
123,255,12335564,31470,12442972,31470
124,255,12459828,31787,12576644,31787
125,255,12584092,32104,12713452,32104
126,255,12708748,32422,12855356,32422
127,282,12833012,32739,12990988,32739
128,283,12945908,33027,13060764,33027
129,283,13056452,33309,13185420,33309
130,283,13180716,33626,13301452,33626
131,283,13275972,33869,13391220,33869
132,283,13347316,34051,13461388,34051
133,283,13417876,34231,13532732,34231
