Time,Goodput
1.0001,95854
2.0001,124898
3.0001,89044
4.0001,125292
5.0001,124898
6.0001,121352
7.0001,64222
8.0001,55948
9.0001,55948
10.0001,58706
11.0001,59494
12.0001,70920
13.0001,121352
14.0001,124898
15.0001,124898
16.0001,125292
17.0001,124898
18.0001,99682
19.0001,124898
20.0001,117018
21.0001,72102
22.0001,72102
23.0001,70526
24.0001,83528
25.0001,98894
26.0001,92196
27.0001,125292
28.0001,124898
29.0001,124898
30.0001,124898
31.0001,116230
32.0001,108350
33.0001,125292
34.0001,97712
35.0001,67374
36.0001,68162
37.0001,68950
38.0001,78406
39.0001,91014
40.0001,92590
41.0001,125292
42.0001,124898
43.0001,124898
44.0001,124898
45.0001,115836
46.0001,108744
47.0001,125292
48.0001,98106
49.0001,72102
50.0001,71314
51.0001,73284
52.0001,89832
53.0001,91014
54.0001,110714
55.0001,124898
56.0001,124898
57.0001,125292
58.0001,124898
59.0001,100470
60.0001,124110
61.0001,122534
62.0001,79588
63.0001,68162
64.0001,68162
65.0001,70526
66.0001,85498
67.0001,83528
68.0001,111502
69.0001,124898
70.0001,124898
71.0001,125292
72.0001,124898
73.0001,100470
74.0001,124110
75.0001,122928
76.0001,81952
77.0001,71708
78.0001,70920
79.0001,77618
80.0001,100076
81.0001,83922
82.0001,122534
83.0001,124898
84.0001,124898
85.0001,124898
86.0001,125292
87.0001,99288
88.0001,125292
89.0001,113472
90.0001,68556
91.0001,67768
92.0001,68556
93.0001,73678
94.0001,96136
95.0001,78800
96.0001,122534
97.0001,124898
98.0001,124898
99.0001,124898
100,125292
101,99288
102,125292
103,115048
104,71314
105,70920
106,71708
107,83528
108,97712
109,96136
110,124898
111,124898
112,125292
113,124898
114,115048
115,109532
116,124898
117,95348
118,66192
119,68556
120,69344
121,79194
122,89044
123,96924
124,124898
125,124898
126,125292
127,124898
128,113472
129,111108
130,124898
131,95742
132,71708
133,70920
134,74072
135,91014
136,89438
137,113866
138,124898
139,124898
140,124898
141,125292
142,99288
143,125292
144,122534
145,76042
146,67768
147,68162
148,70920
149,88256
150,81558
151,114260
152,124898
153,124898
154,124898
155,125292
156,99288
157,124898
158,123322
159,78406
160,71314
161,71708
162,78012
163,102046
164,83528
165,123322
166,124898
167,125292
168,124898
169,124898
170,99682
171,124898
172,110320
173,67768
174,68950
175,68162
176,74860
177,94954
178,81558
179,122928
180,124898
181,125292
182,124898
183,124898
184,99682
185,124898
186,111896
187,70920
188,70920
189,72890
190,83922
191,96136
192,100076
193,124898
194,124898
195,124898
196,125292
197,110714
198,113866
199,124898
199.999,90620
