Time,Bytes
0.083713,340
0.083713,680
0.083713,1020
0.083713,1360
0.083713,1700
0.083713,2040
0.083713,2380
0.083713,2720
0.083713,3060
0.083713,3400
0.17848,3060
0.17848,3400
0.17848,3740
0.184784,3060
0.184784,3400
0.184784,3740
0.184784,4080
0.184784,4420
0.191088,3740
0.191088,4080
0.191088,4420
0.191088,4760
0.191088,5100
0.197392,4420
0.197392,4760
0.197392,5100
0.197392,5440
0.197392,5780
0.203696,5100
0.203696,5440
0.203696,5780
0.203696,6120
0.203696,6460
0.272816,5780
0.272816,6120
0.272816,6460
0.272816,6800
0.272816,7140
0.27912,6460
0.27912,6800
0.27912,7140
0.27912,7480
0.27912,7820
0.285424,7140
0.285424,7480
0.285424,7820
0.285424,8160
0.285424,8500
0.291728,7820
0.291728,8160
0.291728,8500
0.291728,8840
0.291728,9180
0.298032,8500
0.298032,8840
0.298032,9180
0.298032,9520
0.298032,9860
0.304336,9180
0.304336,9520
0.304336,9860
0.304336,10200
0.304336,10540
0.31064,9860
0.31064,10200
0.31064,10540
0.31064,10880
0.31064,11220
0.316944,10540
0.316944,10880
0.316944,11220
0.316944,11560
0.316944,11900
0.323248,11220
0.323248,11560
0.323248,11900
0.323248,12240
0.323248,12580
0.367152,11900
0.367152,12240
0.367152,12580
0.367152,12920
0.367152,13260
0.373456,12580
0.373456,12920
0.373456,13260
0.373456,13600
0.373456,13940
0.37976,13260
0.37976,13600
0.37976,13940
0.37976,14280
0.37976,14620
0.386064,13940
0.386064,14280
0.386064,14620
0.386064,14960
0.386064,15300
0.392368,14620
0.392368,14960
0.392368,15300
0.392368,15640
0.392368,15980
0.398672,15300
0.398672,15640
0.398672,15980
0.398672,16320
0.398672,16660
0.404976,15980
0.404976,16320
0.404976,16660
0.404976,17000
0.404976,17340
0.41128,16660
0.41128,17000
0.41128,17340
0.41128,17680
0.41128,18020
0.417584,17340
0.417584,17680
0.417584,18020
0.417584,18360
0.417584,18700
0.423888,18020
0.423888,18360
0.423888,18700
0.423888,19040
0.423888,19380
0.430192,18700
0.430192,19040
0.430192,19380
0.430192,19720
0.430192,20060
0.436496,19380
0.436496,19720
0.436496,20060
0.436496,20400
0.436496,20740
0.4428,20060
0.4428,20400
0.4428,20740
0.4428,21080
0.4428,21420
0.449104,20740
0.449104,21080
0.449104,21420
0.449104,21760
0.449104,22100
0.455408,21420
0.455408,21760
0.455408,22100
0.455408,22440
0.455408,22780
0.461712,22100
0.461712,22440
0.461712,22780
0.461712,23120
0.461712,23460
0.468016,22780
0.468016,23120
0.468016,23460
0.468016,23800
0.468016,24140
0.47432,23460
0.47432,23800
0.47432,24140
0.47432,24480
0.47432,24820
0.480624,24140
0.480624,24480
0.480624,24820
0.480624,25160
0.480624,25500
0.486928,24820
0.486928,25160
0.486928,25500
0.486928,25840
0.486928,26180
0.493232,25500
0.493232,25840
0.493232,26180
0.493232,26520
0.493232,26860
0.499536,26180
0.499536,26520
0.499536,26860
0.499536,27200
0.499536,27540
0.50584,26860
0.50584,27200
0.50584,27540
0.50584,27880
0.50584,28220
0.512144,27540
0.512144,27880
0.512144,28220
0.512144,28560
0.512144,28900
0.518448,28220
0.518448,28560
0.518448,28900
0.518448,29240
0.518448,29580
0.524752,28900
0.524752,29240
0.524752,29580
0.524752,29920
0.524752,30260
0.531056,29580
0.531056,29920
0.531056,30260
0.531056,30600
0.531056,30940
0.53736,30260
0.53736,30600
0.53736,30940
0.53736,31280
0.53736,31620
0.543664,30940
0.543664,31280
0.543664,31620
0.543664,31960
0.543664,32300
0.549968,31620
0.549968,31960
0.549968,32300
0.549968,32640
0.549968,32980
0.556272,32300
0.556272,32640
0.556272,32980
0.556272,33320
0.556272,33660
0.562576,32980
0.562576,33320
0.562576,33660
0.562576,34000
0.562576,34340
0.56888,33660
0.56888,34000
0.56888,34340
0.56888,34680
0.56888,35020
0.575184,34340
0.575184,34680
0.575184,35020
0.575184,35360
0.575184,35700
0.581488,35020
0.581488,35360
0.581488,35700
0.581488,36040
0.581488,36380
0.587792,35700
0.587792,36040
0.587792,36380
0.587792,36720
0.587792,37060
0.594096,36380
0.594096,36720
0.594096,37060
0.594096,37400
0.594096,37740
0.6004,37060
0.6004,37400
0.6004,37740
0.6004,38080
0.6004,38420
0.606704,37740
0.606704,38080
0.606704,38420
0.606704,38760
0.606704,39100
0.613008,38420
0.613008,38760
0.613008,39100
0.613008,39440
0.613008,39780
0.619312,39100
0.619312,39440
0.619312,39780
0.619312,40120
0.619312,40460
0.625616,39780
0.625616,40120
0.625616,40460
0.625616,40800
0.625616,41140
0.63192,40460
0.63192,40800
0.63192,41140
0.63192,41480
0.63192,41820
0.638224,41140
0.638224,41480
0.638224,41820
0.638224,42160
0.638224,42500
0.644528,41820
0.644528,42160
0.644528,42500
0.644528,42840
0.644528,43180
0.650832,42500
0.650832,42840
0.650832,43180
0.650832,43520
0.650832,43860
0.657136,43180
0.657136,43520
0.657136,43860
0.657136,44200
0.657136,44540
0.66344,43860
0.66344,44200
0.66344,44540
0.66344,44880
0.66344,45220
0.669744,44540
0.669744,44880
0.669744,45220
0.669744,45560
0.669744,45900
0.676048,45220
0.676048,45560
0.676048,45900
0.676048,46240
0.676048,46580
0.682352,45900
0.682352,46240
0.682352,46580
0.682352,46920
0.682352,47260
0.688656,46580
0.688656,46920
0.688656,47260
0.688656,47600
0.688656,47940
0.69496,47260
0.69496,47600
0.69496,47940
0.69496,48280
0.69496,48620
0.701264,47940
0.701264,48280
0.701264,48620
0.701264,48960
0.701264,49300
0.707568,48620
0.707568,48960
0.707568,49300
0.707568,49640
0.707568,49980
0.713872,49300
0.713872,49640
0.713872,49980
0.713872,50320
0.713872,50660
0.720176,49980
0.720176,50320
0.720176,50660
0.720176,51000
0.720176,51340
0.72648,50660
0.72648,51000
0.72648,51340
0.72648,51680
0.72648,52020
0.732784,51340
0.732784,51680
0.732784,52020
0.732784,52360
0.732784,52700
0.739088,52020
0.739088,52360
0.739088,52700
0.739088,53040
0.739088,53380
0.745392,52700
0.745392,53040
0.745392,53380
0.745392,53720
0.745392,54060
0.751696,53380
0.751696,53720
0.751696,54060
0.751696,54400
0.751696,54740
0.758,54060
0.758,54400
0.758,54740
0.758,55080
0.758,55420
0.764304,54740
0.764304,55080
0.764304,55420
0.770608,54740
0.770608,55080
0.770608,55420
0.776912,54740
0.776912,55080
0.776912,55420
0.783216,54740
0.783216,55080
0.783216,55420
0.78952,54740
0.78952,55080
0.78952,55420
0.795824,54740
0.795824,55080
0.795824,55420
0.802128,54740
0.802128,55080
0.802128,55420
0.808432,54740
0.808432,55080
0.808432,55420
0.814736,54740
0.814736,55080
0.814736,55420
0.82104,54740
0.82104,55080
0.82104,55420
0.82104,55760
0.827344,55080
0.827344,55420
0.827344,55760
0.833648,55080
0.833648,55420
0.833648,55760
0.839952,55080
0.839952,55420
0.839952,55760
0.846256,55080
0.846256,55420
0.846256,55760
0.85256,55080
0.85256,55420
0.85256,55760
0.858864,55080
0.858864,55420
0.858864,55760
0.865168,55080
0.865168,55420
0.865168,55760
0.871472,55080
0.871472,55420
0.871472,55760
0.877776,55080
0.877776,55420
0.877776,55760
0.88408,55080
0.88408,55420
0.88408,55760
0.88408,56100
0.890384,55420
0.890384,55760
0.890384,56100
0.896688,55420
0.896688,55760
0.896688,56100
0.902992,55420
0.902992,55760
