Time,RTO
0.0,3
0.083712,1
2.68469,2
2.77123,1
10.4667,1.0601
10.473,1.08107
10.4917,1.05281
10.5169,1
17.4478,2
17.4842,1
24.8003,1.01211
24.8066,1
31.099,2
31.1416,1
38.6995,1.0137
38.7058,1.00421
38.7121,1
45.0928,2
45.1292,1
52.4453,1.01212
52.4516,1
58.744,2
58.7867,1
66.3445,1.01425
66.3508,1.00457
66.3572,1
72.7379,2
72.7742,1
80.0903,1.01212
80.0966,1
86.389,2
86.4317,1
93.9896,1.01425
93.9959,1.00457
94.0022,1
100.383,2
100.419,1
107.735,1.01249
107.742,1
114.034,2
114.077,1
121.635,1.01423
121.641,1.00454
121.647,1
128.028,2
128.064,1
135.38,1.0125
135.387,1
141.679,2
141.722,1
149.28,1.01423
149.286,1.00454
149.292,1
155.673,2
155.709,1
163.025,1.01247
163.032,1
169.324,2
169.367,1
176.925,1.01423
176.931,1.00455
176.937,1
183.318,2
183.354,1
190.67,1.01195
190.677,1
196.969,2
197.012,1
