Time,Threshold
0.0,0
0.083712,4294967295
0.764304,55420
1.18982,40120
2.68469,10880
3.63128,11220
4.07886,8840
4.42874,6800
4.76915,5100
5.06859,3740
5.33336,3060
5.55085,2380
5.9068,1700
6.0671,1360
6.23078,1020
15.975,38420
17.4478,9520
18.2431,8500
18.5772,6800
18.842,5100
19.1036,3740
19.3306,3060
19.5292,2380
19.7025,2040
19.863,1360
20.2091,1020
29.6294,38080
31.099,9520
31.8785,8500
32.2127,6800
32.4774,5100
32.7359,3740
32.966,3060
33.1677,2380
33.3379,2040
33.5014,1360
33.8632,1020
43.62,38420
45.0928,9520
45.8881,8500
46.2223,6800
46.487,5100
46.7486,3740
46.9756,3060
47.1742,2380
47.3475,2040
47.508,1360
47.8541,1020
57.2744,38080
58.744,9520
59.5236,8500
59.8577,6800
60.1224,5100
60.3809,3740
60.611,3060
60.8127,2380
60.9829,2040
61.1464,1360
61.5082,1020
71.2651,38420
72.7379,9520
73.5332,8500
73.8673,6800
74.132,5100
74.3936,3740
74.6206,3060
74.8192,2380
74.9925,2040
75.1531,1360
75.4991,1020
84.9194,38080
86.389,9520
87.1686,8500
87.5027,6800
87.7674,5100
88.0259,3740
88.256,3060
88.4577,2380
88.6279,2040
88.7914,1360
89.1532,1020
98.9101,38420
100.383,9520
101.178,8500
101.512,6800
101.777,5100
102.039,3740
102.266,3060
102.464,2380
102.638,2040
102.798,1360
103.144,1020
112.564,38080
114.034,9520
114.814,8500
115.148,6800
115.412,5100
115.671,3740
115.901,3060
116.103,2380
116.273,2040
116.436,1360
116.798,1020
126.555,38420
128.028,9520
128.823,8500
129.157,6800
129.422,5100
129.684,3740
129.911,3060
130.109,2380
130.283,2040
130.443,1360
130.789,1020
140.209,38080
141.679,9520
142.459,8500
142.793,6800
143.057,5100
143.316,3740
143.546,3060
143.748,2380
143.918,2040
144.081,1360
144.443,1020
154.2,38420
155.673,9520
156.468,8500
156.802,6800
157.067,5100
157.329,3740
157.556,3060
157.754,2380
157.928,2040
158.088,1360
158.434,1020
167.854,38080
169.324,9520
170.104,8500
170.438,6800
170.702,5100
170.961,3740
171.191,3060
171.393,2380
171.563,2040
171.726,1360
172.088,1020
181.845,38420
183.318,9520
184.113,8500
184.447,6800
184.712,5100
184.974,3740
185.201,3060
185.399,2380
185.573,2040
185.733,1360
186.079,1020
195.499,38080
196.969,9520
197.749,8500
198.083,6800
198.347,5100
198.606,3740
198.836,3060
199.038,2380
199.208,2040
199.371,1360
199.733,1020
