Time,State
1.61512,1
1.62142,3
3.24867,4
4.99837,0
5.00152,1
5.00782,3
5.17781,0
5.18096,1
5.18726,0
5.25346,1
5.25976,3
5.38269,0
5.42997,1
5.43627,3
5.54952,0
5.55898,1
5.56528,0
5.58397,1
5.59658,3
5.69114,0
5.76341,1
5.77917,3
5.86405,0
5.8735,1
5.89219,0
5.9048,1
5.92056,0
5.93317,1
5.94893,3
6.03696,0
6.04326,1
6.06218,0
6.09347,1
6.11554,3
6.20357,0
6.20987,1
6.23194,0
6.26954,1
6.2979,3
6.37018,0
6.39224,1
6.42061,0
6.44582,1
6.46451,0
6.62819,1
6.6345,0
6.71307,1
6.72253,0
6.72883,1
6.74752,0
6.80741,1
6.81371,0
6.81686,1
6.82317,0
6.84186,1
6.86392,0
6.92066,1
6.93619,0
6.95826,1
6.98662,0
7.08096,1
7.08726,0
7.1816,1
7.1879,0
7.2917,1
7.298,0
7.39234,1
7.39864,0
7.49298,1
7.50221,0
7.59677,1
7.60307,0
77.0165,1
77.0228,3
77.442,0
130.947,1
130.953,3
131.373,0
184.878,1
184.884,3
185.303,0
