Time,Packets Lost,rxBytes,rxPackets,txBytes,txPackets
1,0,90268,232,130644,232
2,23,214532,549,293716,549
3,45,328996,841,348596,841
4,45,363492,929,382308,929
5,45,445028,1137,477564,1137
6,45,538716,1376,558708,1376
7,45,587324,1500,607708,1500
8,45,640244,1635,662588,1635
9,45,705708,1802,725308,1802
10,45,788028,2012,811156,2012
11,45,889556,2271,914252,2271
12,45,1009900,2578,1034596,2578
13,45,1134164,2895,1160820,2895
14,45,1258428,3212,1287044,3212
15,45,1382692,3529,1412092,3529
16,45,1507348,3847,1537924,3847
17,45,1631612,4164,1663756,4164
18,45,1755876,4481,1788804,4481
19,45,1880140,4798,1914636,4798
20,45,2004796,5116,2040076,5116
21,45,2129060,5433,2165124,5433
22,45,2253324,5750,2290564,5750
23,45,2377980,6068,2415220,6068
24,45,2502244,6385,2541052,6385
25,45,2626508,6702,2666100,6702
26,45,2750772,7019,2790756,7019
27,45,2875428,7337,2916196,7337
28,45,2999692,7654,3041636,7654
29,45,3123956,7971,3166292,7971
30,45,3248220,8288,3291732,8288
31,45,3372876,8606,3416388,8606
32,45,3497140,8923,3541828,8923
33,45,3621404,9240,3666876,9240
34,45,3745668,9557,3791532,9557
35,45,3870324,9875,3916580,9875
36,45,3994588,10192,4042020,10192
37,45,4118852,10509,4166284,10509
38,45,4243116,10826,4291332,10826
39,45,4367772,11144,4415988,11144
40,45,4492036,11461,4541036,11461
41,45,4616300,11778,4666476,11778
42,45,4740564,12095,4790740,12095
43,45,4865220,12413,4915788,12413
44,45,4989484,12730,5041228,12730
45,45,5113748,13047,5165492,13047
46,45,5238012,13364,5290932,13364
47,45,5362668,13682,5415980,13682
48,45,5486932,13999,5540244,13999
49,45,5611196,14316,5665684,14316
50,45,5735852,14634,5789948,14634
51,45,5860116,14951,5915388,14951
52,45,5984380,15268,6040436,15268
53,45,6108644,15585,6164700,15585
54,45,6233300,15903,6290140,15903
55,45,6357564,16220,6414796,16220
56,45,6481828,16537,6539060,16537
57,45,6606092,16854,6664108,16854
58,45,6730748,17172,6788372,17172
59,45,6855012,17489,6913420,17489
60,45,6979276,17806,7038468,17806
61,45,7103540,18123,7162732,18123
62,45,7228196,18441,7287780,18441
63,45,7352460,18758,7412828,18758
64,45,7476724,19075,7537092,19075
65,45,7600988,19392,7662140,19392
66,45,7725644,19710,7786404,19710
67,45,7849908,20027,7911452,20027
68,45,7974172,20344,8036500,20344
69,45,8098436,20661,8160372,20661
70,45,8223092,20979,8285420,20979
71,45,8347356,21296,8410468,21296
72,45,8471620,21613,8534732,21613
73,45,8595884,21930,8659780,21930
74,45,8720540,22248,8784044,22248
75,45,8844804,22565,8909092,22565
76,45,8969068,22882,9034140,22882
77,46,9093724,23200,9158404,23200
78,46,9217988,23517,9257188,23517
79,46,9342252,23834,9382628,23834
80,46,9466516,24151,9506892,24151
81,46,9591172,24469,9632332,24469
82,46,9715436,24786,9757772,24786
83,46,9839700,25103,9882428,25103
84,46,9963964,25420,10007868,25420
85,46,10088620,25738,10132524,25738
86,46,10212884,26055,10257964,26055
87,46,10337148,26372,10383404,26372
88,46,10461412,26689,10507668,26689
89,46,10586068,27007,10632716,27007
90,46,10710332,27324,10758156,27324
91,46,10834596,27641,10882420,27641
92,46,10958860,27958,11007860,27958
93,46,11083516,28276,11132124,28276
94,46,11207780,28593,11257172,28593
95,46,11332044,28910,11382612,28910
96,46,11456308,29227,11506876,29227
97,46,11580964,29545,11632316,29545
98,46,11705228,29862,11757364,29862
99,46,11829492,30179,11881628,30179
100,46,11953756,30496,12007068,30496
101,46,12078412,30814,12131332,30814
102,46,12202676,31131,12256772,31131
103,46,12326940,31448,12381820,31448
104,46,12451596,31766,12506084,31766
105,46,12575860,32083,12631524,32083
106,46,12700124,32400,12756572,32400
107,46,12824388,32717,12881228,32717
108,46,12949044,33035,13006276,33035
109,46,13073308,33352,13131324,33352
110,46,13197572,33669,13255196,33669
111,46,13321836,33986,13380244,33986
112,46,13446492,34304,13504508,34304
113,46,13570756,34621,13629556,34621
114,46,13695020,34938,13754604,34938
115,46,13819284,35255,13878868,35255
116,46,13943940,35573,14003916,35573
117,46,14068204,35890,14128964,35890
118,46,14192468,36207,14253228,36207
119,46,14316732,36524,14378276,36524
120,46,14441388,36842,14502540,36842
121,46,14565652,37159,14627588,37159
122,46,14689916,37476,14752636,37476
123,46,14814180,37793,14876900,37793
124,46,14938836,38111,15001556,38111
125,46,15063100,38428,15126604,38428
126,46,15187364,38745,15250868,38745
127,46,15311628,39062,15375916,39062
128,46,15436284,39380,15500180,39380
129,46,15560548,39697,15625228,39697
130,46,15684812,40014,15750276,40014
131,47,15809076,40331,15874540,40331
132,47,15933732,40649,15973324,40649
133,47,16057996,40966,16098764,40966
134,47,16182260,41283,16223420,41283
135,47,16306916,41601,16348468,41601
136,47,16431180,41918,16473908,41918
137,47,16555444,42235,16598564,42235
138,47,16679708,42552,16724004,42552
139,47,16804364,42870,16848660,42870
140,47,16928628,43187,16974100,43187
141,47,17052892,43504,17099540,43504
142,47,17177156,43821,17223804,43821
143,47,17301812,44139,17348852,44139
144,47,17426076,44456,17474292,44456
145,47,17550340,44773,17598556,44773
146,47,17674604,45090,17723996,45090
147,47,17799260,45408,17848260,45408
148,47,17923524,45725,17973308,45725
149,47,18047788,46042,18098748,46042
150,47,18172052,46359,18223012,46359
151,47,18296708,46677,18348452,46677
152,47,18420972,46994,18473500,46994
153,47,18545236,47311,18597764,47311
154,47,18669500,47628,18723204,47628
155,47,18794156,47946,18847468,47946
156,47,18918420,48263,18972908,48263
157,47,19042684,48580,19097956,48580
158,47,19166948,48897,19222220,48897
159,47,19291604,49215,19347660,49215
160,47,19415868,49532,19472708,49532
161,47,19540132,49849,19597364,49849
162,47,19664788,50167,19722412,50167
163,47,19789052,50484,19847460,50484
164,47,19913316,50801,19971332,50801
165,47,20037580,51118,20096380,51118
166,47,20162236,51436,20220644,51436
167,47,20286500,51753,20345692,51753
168,47,20410764,52070,20470740,52070
169,47,20535028,52387,20595004,52387
170,47,20659684,52705,20720052,52705
171,47,20783948,53022,20845100,53022
172,47,20908212,53339,20969364,53339
173,47,21032476,53656,21094412,53656
174,47,21157132,53974,21218676,53974
175,47,21281396,54291,21343724,54291
176,47,21405660,54608,21468772,54608
177,47,21529924,54925,21593036,54925
178,47,21654580,55243,21718084,55243
179,47,21778844,55560,21842740,55560
180,47,21903108,55877,21967004,55877
181,47,22027372,56194,22092052,56194
182,47,22152028,56512,22216316,56512
183,47,22276292,56829,22341364,56829
184,47,22400556,57146,22466412,57146
185,48,22524820,57463,22590676,57463
186,48,22649476,57781,22689460,57781
187,48,22773740,58098,22814900,58098
188,48,22898004,58415,22939556,58415
189,48,23022660,58733,23064996,58733
190,48,23146924,59050,23190044,59050
191,48,23271188,59367,23314700,59367
192,48,23395452,59684,23440140,59684
193,48,23520108,60002,23564796,60002
194,48,23644372,60319,23690236,60319
195,48,23768636,60636,23815676,60636
196,48,23892900,60953,23939940,60953
197,48,24017556,61271,24065380,61271
198,48,24141820,61588,24190428,61588
199,48,24266084,61905,24314692,61905
