Time,Goodput
1.0001,90732
2.0001,124898
3.0001,115048
4.0001,34672
5.0001,81952
6.0001,94166
7.0001,48856
8.0001,53190
9.0001,65798
10.0001,82740
11.0001,102046
12.0001,120958
13.0001,124898
14.0001,124898
15.0001,124898
16.0001,125292
17.0001,124898
18.0001,124898
19.0001,125292
20.0001,124898
21.0001,124898
22.0001,124898
23.0001,125292
24.0001,124898
25.0001,124898
26.0001,124898
27.0001,125292
28.0001,124898
29.0001,124898
30.0001,124898
31.0001,125292
32.0001,124898
33.0001,124898
34.0001,124898
35.0001,125292
36.0001,124898
37.0001,124898
38.0001,124898
39.0001,125292
40.0001,124898
41.0001,124898
42.0001,124898
43.0001,125292
44.0001,124898
45.0001,124898
46.0001,125292
47.0001,124898
48.0001,124898
49.0001,124898
50.0001,125292
51.0001,124898
52.0001,124898
53.0001,124898
54.0001,125292
55.0001,124898
56.0001,124898
57.0001,124898
58.0001,125292
59.0001,124898
60.0001,124898
61.0001,124898
62.0001,125292
63.0001,124898
64.0001,124898
65.0001,124898
66.0001,125292
67.0001,124898
68.0001,124898
69.0001,124898
70.0001,125292
71.0001,124898
72.0001,124898
73.0001,125292
74.0001,124898
75.0001,124898
76.0001,124898
77.0001,125292
78.0001,124898
79.0001,124898
80.0001,124898
81.0001,125292
82.0001,124898
83.0001,124898
84.0001,124898
85.0001,125292
86.0001,124898
87.0001,124898
88.0001,124898
89.0001,125292
90.0001,124898
91.0001,124898
92.0001,124898
93.0001,125292
94.0001,124898
95.0001,124898
96.0001,124898
97.0001,125292
98.0001,124898
99.0001,124898
100,125292
101,124898
102,124898
103,124898
104,125292
105,124898
106,124898
107,124898
108,125292
109,124898
110,124898
111,124898
112,125292
113,124898
114,124898
115,124898
116,125292
117,124898
118,124898
119,124898
120,125292
121,124898
122,124898
123,124898
124,125292
125,124898
126,124898
127,124898
128,125292
129,124898
130,124898
131,125292
132,124898
133,124898
134,124898
135,125292
136,124898
137,124898
138,124898
139,125292
140,124898
141,124898
142,124898
143,125292
144,124898
145,124898
146,124898
147,125292
148,124898
149,124898
150,124898
151,125292
152,124898
153,124898
154,124898
155,125292
156,124898
157,124898
158,125292
159,124898
160,124898
161,124898
162,125292
163,124898
164,124898
165,124898
166,125292
167,124898
168,124898
169,124898
170,125292
171,124898
172,124898
173,124898
174,125292
175,124898
176,124898
177,124898
178,125292
179,124898
180,124898
181,124898
182,125292
183,124898
184,124898
185,125292
186,124898
187,124898
188,124898
189,125292
190,124898
191,124898
192,124898
193,125292
194,124898
195,124898
196,124898
197,125292
198,124898
199,124898
199.999,124898
