Time,RTT
0.0,0
0.083712,0.083
0.17848,0.0845
0.184784,0.086562
0.191088,0.089241
0.197392,0.092335
0.203696,0.095793
0.272816,0.107443
0.27912,0.106637
0.285424,0.105932
0.291728,0.10519
0.298032,0.105416
0.304336,0.105614
0.31064,0.105787
0.367152,0.113063
0.373456,0.111555
0.37976,0.11011
0.386064,0.109721
0.392368,0.10938
0.398672,0.109082
0.404976,0.109571
0.41128,0.109999
0.417584,0.110374
0.423888,0.111452
0.430192,0.11252
0.46464,0.11058
0.470944,0.109632
0.477248,0.108928
0.483552,0.108312
0.489856,0.108523
0.49616,0.108707
0.502464,0.108868
0.508768,0.109759
0.515072,0.110664
0.521376,0.111456
0.52768,0.112899
0.533984,0.114036
0.540288,0.115156
0.546592,0.116886
0.552896,0.1184
0.5592,0.119725
0.565504,0.121634
0.571808,0.119804
0.578112,0.118328
0.584416,0.117787
0.59072,0.117188
0.597024,0.116789
0.603328,0.11719
0.609632,0.117541
0.615936,0.117723
0.62224,0.118757
0.628544,0.119662
0.634848,0.120454
0.641152,0.122022
0.647456,0.123269
0.65376,0.12436
0.660064,0.12619
0.666368,0.127791
0.672672,0.129192
0.678976,0.131168
0.68528,0.132897
0.691584,0.134409
0.697888,0.136482
0.704192,0.138421
0.710496,0.139993
0.7168,0.142118
0.723104,0.144103
0.729408,0.14584
0.735712,0.14811
0.742016,0.150096
0.74832,0.151834
0.754624,0.154104
0.760928,0.156091
0.767232,0.157829
0.773536,0.1601
0.77984,0.162087
0.786144,0.163951
0.792448,0.166332
0.798752,0.168415
0.805056,0.170238
0.81136,0.172583
0.817664,0.174635
0.823968,0.17643
0.830272,0.178876
0.836576,0.180891
0.84288,0.182654
0.849184,0.185072
0.855488,0.187188
0.861792,0.188914
0.868096,0.191299
0.8744,0.193386
0.880704,0.195212
0.887008,0.197685
0.893312,0.199849
0.899616,0.201617
0.90592,0.203914
0.912224,0.206049
0.918528,0.207917
0.924832,0.210302
0.931136,0.212389
0.93744,0.214215
0.943744,0.216563
0.950048,0.218742
0.956352,0.220524
0.962656,0.222833
0.96896,0.224853
0.975264,0.226746
0.981568,0.229152
0.987872,0.231133
0.994176,0.232991
1.00048,0.235367
1.00678,0.237446
1.01309,0.23939
1.01939,0.241841
1.0257,0.24386
1.032,0.245752
1.0383,0.248158
1.04461,0.250263
1.05091,0.25198
1.05722,0.254357
1.06352,0.256437
1.06982,0.258257
1.07613,0.260724
1.08243,0.262758
1.08874,0.264538
1.09504,0.26697
1.10134,0.269098
1.10765,0.27096
1.11395,0.27334
1.12026,0.275422
1.12656,0.277244
1.13286,0.279588
1.13917,0.281764
1.14547,0.283543
1.15178,0.28585
1.15808,0.287993
1.16438,0.289868
1.17069,0.292259
1.17699,0.294226
1.1833,0.296072
1.1896,0.298438
1.1959,0.300508
1.20221,0.302319
1.20851,0.304654
1.21482,0.306697
1.22112,0.308609
1.22742,0.311032
1.23373,0.313153
1.24003,0.315008
1.24634,0.317382
1.25264,0.319459
1.25894,0.321276
1.26525,0.323741
1.27155,0.325773
1.27786,0.327551
1.28416,0.329982
1.29046,0.332109
1.29677,0.333845
1.30307,0.336239
1.30938,0.338334
1.31568,0.340167
1.32198,0.342521
1.32829,0.344705
1.33459,0.346491
1.3409,0.348804
1.3472,0.350953
1.3535,0.352833
1.35981,0.355228
1.36611,0.357324
1.37242,0.359158
1.37872,0.361513
1.38502,0.363698
1.39133,0.365485
1.39763,0.367799
1.40394,0.369824
1.41024,0.371721
1.41654,0.37413
1.42285,0.376113
1.42915,0.377973
1.43546,0.380351
1.44176,0.382432
1.44806,0.384378
1.45437,0.38683
1.46067,0.388851
1.46698,0.390619
1.47328,0.393041
1.47958,0.39516
1.48589,0.39689
1.49219,0.399278
1.4985,0.401368
1.5048,0.403197
1.5111,0.405672
1.51741,0.407713
1.52371,0.409498
1.53002,0.411935
1.53632,0.414068
1.54262,0.415934
1.54893,0.418317
1.55523,0.420402
1.56154,0.422226
1.56784,0.424572
1.57414,0.42675
1.58045,0.428531
1.58675,0.430839
1.59306,0.432984
1.59936,0.434861
1.60566,0.437253
1.61197,0.439221
7.08726,0.396943
7.1753,0.3627
7.1879,0.329862
7.27278,0.300754
7.28224,0.275784
7.28854,0.253936
7.298,0.235194
7.37027,0.218044
7.38288,0.203288
7.38918,0.190502
7.39864,0.179189
7.46461,0.172915
7.47722,0.164675
7.48352,0.156715
7.48982,0.149625
7.50221,0.143921
7.5621,0.13818
7.5747,0.133032
7.58101,0.128653
7.58731,0.124821
7.59362,0.122218
7.60307,0.119565
7.65958,0.116744
7.67219,0.114401
7.6785,0.112225
7.6848,0.110321
7.6911,0.10878
7.69741,0.107807
7.75707,0.106581
7.76968,0.105383
7.77598,0.104335
7.78229,0.103543
7.78859,0.102725
7.7949,0.102759
7.85141,0.109164
7.86402,0.108893
7.87032,0.107906
7.87662,0.107042
7.88293,0.106161
7.88923,0.105515
7.94574,0.1112
7.95835,0.110675
7.96466,0.10934
7.97096,0.108172
7.97726,0.107275
7.98357,0.10649
8.04008,0.112053
8.04638,0.110671
8.05584,0.108962
8.06214,0.107591
8.06845,0.106392
8.07475,0.105218
8.08106,0.104315
8.13757,0.1034
8.14387,0.1026
8.15333,0.102025
8.15963,0.101396
8.16594,0.100846
8.17224,0.10049
8.17854,0.100053
8.23506,0.099796
8.24136,0.099571
8.25082,0.099249
8.25712,0.099842
8.26342,0.100361
8.26973,0.100815
8.27603,0.101213
8.32939,0.107436
8.3357,0.106506
8.34515,0.106192
8.35146,0.105543
8.35776,0.10485
8.36406,0.104368
8.37037,0.103947
8.42373,0.109328
8.43003,0.108287
8.43949,0.107751
8.44579,0.106782
8.4521,0.106059
8.4584,0.105426
8.4647,0.104747
8.47101,0.104278
8.52122,0.103493
8.52752,0.102681
8.53698,0.10197
8.54328,0.101473
8.54958,0.100913
8.55589,0.100423
8.56219,0.10012
8.5685,0.09973
8.6187,0.099388
8.62501,0.099214
8.63446,0.099062
8.64077,0.098804
8.64707,0.098703
8.65338,0.098615
8.65968,0.099288
8.66598,0.099752
8.71304,0.105408
8.71934,0.104857
8.7288,0.104624
8.7351,0.104171
8.74141,0.103774
8.74771,0.103302
8.75402,0.103014
8.76032,0.102762
8.80738,0.107666
8.81368,0.106707
8.82314,0.106368
8.82944,0.105697
8.83574,0.104984
8.84205,0.104486
8.84835,0.10405
8.85466,0.103543
8.86096,0.1031
8.90486,0.102337
8.91117,0.101794
8.92062,0.101194
8.92693,0.100669
8.93323,0.100335
8.93954,0.099918
8.94584,0.099553
8.95214,0.099358
8.95845,0.099188
9.00235,0.099039
9.00866,0.098784
9.01811,0.098686
9.02442,0.0986
9.03072,0.0984
9.03702,0.09835
9.04333,0.098306
9.04963,0.098142
9.05594,0.097999
9.09984,0.097874
9.10614,0.098639
9.11245,0.099309
9.11875,0.099395
9.12506,0.099595
9.13136,0.09977
9.13766,0.099798
9.14397,0.099823
9.15027,0.09997
9.19418,0.104848
9.20048,0.104367
9.20678,0.103821
9.21309,0.103468
9.21939,0.103159
9.2257,0.102764
9.232,0.102543
9.2383,0.10235
9.24461,0.102181
9.28851,0.106658
9.29482,0.105825
9.30112,0.105221
9.30742,0.104693
9.31373,0.104106
9.32003,0.103717
9.32634,0.103377
9.33264,0.102954
9.33894,0.102584
9.34525,0.102386
9.386,0.101837
9.3923,0.101357
9.39861,0.100812
9.40491,0.100335
9.41122,0.100043
9.41752,0.099662
9.42382,0.099329
9.43013,0.099162
9.43643,0.099016
9.44274,0.098764
9.48349,0.098543
9.48979,0.09835
9.4961,0.098306
9.5024,0.098267
9.5087,0.098108
9.51501,0.098844
9.52131,0.099488
9.52762,0.100052
9.53392,0.10042
9.54022,0.100867
9.57782,0.105133
9.58413,0.104616
9.59043,0.104164
9.59674,0.103643
9.60304,0.103312
9.60934,0.103023
9.61565,0.102645
9.62195,0.102314
9.62826,0.102149
9.63456,0.102005
9.67216,0.105754
9.67846,0.105159
9.68477,0.104514
9.69107,0.104074
9.69738,0.103689
9.70368,0.103227
9.70998,0.102823
