Time,State
1.61512,1
1.62142,3
3.24867,4
5.10846,0
5.11162,1
5.11792,3
5.26899,0
5.32258,1
5.32888,3
5.45789,0
5.48626,1
5.49256,3
5.64048,0
5.68146,1
5.68776,3
5.82938,0
5.86405,1
5.87035,3
6.01512,0
6.0561,1
6.0624,3
6.20402,0
6.24499,1
6.2513,3
6.39922,0
6.44019,1
6.4465,3
6.59442,0
6.63539,1
6.6417,3
6.78962,0
6.8369,1
6.8432,3
6.99112,0
7.0321,1
7.0384,3
7.18654,0
7.20861,1
7.21491,0
7.23067,1
7.23698,3
7.38827,0
7.41034,1
7.41664,0
7.4324,1
7.4387,3
7.59,0
7.63098,1
7.63728,0
7.64043,1
7.64674,3
7.80118,0
7.81694,1
7.82325,0
7.84531,1
7.85162,3
8.00606,0
8.03443,1
8.04074,0
8.04389,1
8.05019,0
8.05334,1
8.05965,3
8.2141,0
8.24246,1
8.24877,0
8.25822,1
8.26453,3
8.41898,0
8.44734,1
8.45365,3
8.61125,0
8.6144,1
8.6207,0
8.65538,1
8.66168,3
8.82243,0
8.82558,1
8.83189,0
8.87917,1
8.88547,3
9.04938,0
9.09035,1
9.09666,3
9.2511,0
9.25426,1
9.26056,0
9.27632,1
9.28262,0
9.30469,1
9.31099,3
9.46859,0
9.51587,1
9.52218,3
9.68293,0
9.7113,1
9.7176,0
9.72075,1
9.72706,0
9.73021,1
9.73651,3
9.88781,0
9.89096,1
9.89726,0
9.93194,1
9.93824,0
9.94139,1
9.9477,3
10.1021,0
10.1053,1
10.1116,0
10.1211,1
10.1274,0
10.1368,1
10.1431,0
10.1463,1
10.1526,3
10.307,0
10.3228,1
10.3291,0
10.3575,1
10.3638,3
10.5182,0
10.5214,1
10.5277,0
10.5623,1
10.5686,3
10.7231,0
10.7388,1
10.7452,0
10.7735,1
10.7798,3
10.9311,0
10.9721,1
10.9784,3
11.1265,0
11.1549,1
11.1612,0
11.177,1
11.1833,3
11.3314,0
11.3724,1
11.3787,3
11.5268,0
11.5615,1
11.5678,0
11.5773,1
11.5836,3
11.7317,0
11.7727,1
11.779,3
11.9272,0
11.9744,1
11.9807,3
12.1289,0
12.1762,1
12.1825,3
12.3306,0
12.3779,1
12.3842,3
12.5323,0
12.5796,1
12.5859,3
12.7341,0
12.7813,1
12.7876,3
12.9358,0
12.9831,1
12.9894,3
13.1375,0
13.1407,1
13.147,0
13.188,1
13.1943,3
13.3456,0
13.3487,1
13.355,0
13.396,1
13.4023,3
13.5567,0
13.5599,1
13.5662,0
13.6072,1
13.6135,3
13.7711,0
13.8184,1
13.8247,3
13.9823,0
14.0169,1
14.0232,0
14.0264,1
14.0327,3
14.1871,0
14.2344,1
14.2407,3
14.3983,0
14.433,1
14.4424,0
14.4456,1
14.4519,3
14.6064,0
14.6536,1
14.6599,3
14.8144,0
14.8617,1
14.868,3
15.0224,0
15.0697,1
15.076,3
15.2304,0
15.2651,1
15.2714,0
15.2746,1
15.2809,3
15.4322,0
15.4353,1
15.4416,0
15.4826,1
15.4889,3
15.6465,0
15.6938,1
15.7001,3
15.8577,0
15.905,1
15.9113,3
