Time,Packets Lost,rxBytes,rxPackets,txBytes,txPackets
1,0,90268,232,130644,232
2,23,214532,549,293716,549
3,45,328996,841,348596,841
4,45,363492,929,382308,929
5,45,433268,1107,457572,1107
6,45,543028,1387,566940,1387
7,45,662588,1692,693164,1692
8,45,786852,2009,811940,2009
9,45,911116,2326,938948,2326
10,45,1035380,2643,1065956,2643
11,45,1160036,2961,1190612,2961
12,45,1284300,3278,1315268,3278
13,45,1408564,3595,1439924,3595
14,45,1532828,3912,1563796,3912
15,45,1657484,4230,1682964,4230
16,45,1781748,4547,1809972,4547
17,45,1906012,4864,1936980,4864
18,45,2030276,5181,2062420,5181
19,45,2154932,5499,2185900,5499
20,45,2279196,5816,2306636,5816
21,45,2403460,6133,2434036,6133
22,45,2527724,6450,2559476,6450
23,45,2652380,6768,2682956,6768
24,45,2776644,7085,2807612,7085
25,45,2900908,7402,2931876,7402
26,45,3025172,7719,3055748,7719
27,45,3149828,8037,3180796,8037
28,45,3274092,8354,3300748,8354
29,45,3398356,8671,3428540,8671
30,45,3523012,8989,3554764,8989
31,45,3647276,9306,3679028,9306
32,45,3771540,9623,3796628,9623
33,45,3895412,9939,3921676,9939
34,45,4020068,10257,4047508,10257
35,45,4144332,10574,4174908,10574
36,45,4268596,10891,4300348,10891
37,45,4392860,11208,4423828,11208
38,45,4517516,11526,4543388,11526
39,45,4641780,11843,4667652,11843
40,45,4766044,12160,4792308,12160
41,45,4890308,12477,4920100,12477
42,45,5014964,12795,5046324,12795
43,45,5139228,13112,5170980,13112
44,45,5263492,13429,5295244,13429
45,45,5387756,13746,5415588,13746
46,45,5512412,14064,5543380,14064
47,45,5636676,14381,5668428,14381
48,45,5760940,14698,5791908,14698
49,45,5885204,15015,5911468,15015
50,45,6009860,15333,6038476,15333
51,45,6134124,15650,6165484,15650
52,45,6258388,15967,6290532,15967
53,45,6383044,16285,6408132,16285
54,45,6507308,16602,6535924,16602
55,45,6631572,16919,6662148,16919
56,45,6755836,17236,6787196,17236
57,45,6880492,17554,6911460,17554
58,45,7004756,17871,7035724,17871
59,45,7129020,18188,7159988,18188
60,45,7253284,18505,7285036,18505
61,45,7377940,18823,7408516,18823
62,45,7502204,19140,7530036,19140
63,45,7626468,19457,7657828,19457
64,45,7750732,19774,7782484,19774
65,45,7875388,20092,7905964,20092
66,45,7999652,20409,8026700,20409
67,45,8123916,20726,8154100,20726
68,45,8248180,21043,8280324,21043
69,45,8372836,21361,8404588,21361
70,45,8497100,21678,8523364,21678
71,45,8621364,21995,8649588,21995
72,45,8745628,22312,8775420,22312
73,45,8870284,22630,8901252,22630
74,45,8994548,22947,9026692,22947
75,45,9118812,23264,9143508,23264
76,45,9243076,23581,9270124,23581
77,45,9367732,23899,9397916,23899
78,45,9491996,24216,9523748,24216
79,45,9616260,24533,9647620,24533
80,45,9740916,24851,9767180,24851
81,45,9865180,25168,9894972,25168
82,45,9989444,25485,10021196,25485
83,45,10113708,25802,10145068,25802
84,45,10238364,26120,10268940,26120
85,45,10361844,26435,10392420,26435
86,45,10485716,26751,10516292,26751
87,45,10609588,27067,10640164,27067
88,45,10733460,27383,10758156,27383
89,45,10856940,27698,10882028,27698
90,45,10980812,28014,11005508,28014
91,45,11104292,28329,11129380,28329
92,45,11228164,28645,11253252,28645
93,45,11352036,28961,11377908,28961
94,45,11475516,29276,11501388,29276
95,45,11599780,29593,11626436,29593
96,45,11723260,29908,11749916,29908
97,45,11847132,30224,11874964,30224
98,45,11971004,30540,11998444,30540
99,45,12094092,30854,12121924,30854
100,45,12218356,31171,12246188,31171
101,45,12341836,31486,12370452,31486
102,45,12465708,31802,12494716,31802
103,45,12589188,32117,12618196,32117
104,45,12713452,32434,12743244,32434
105,45,12836932,32749,12866332,32749
106,45,12961196,33066,12991772,33066
107,45,13084284,33380,13114860,33380
108,45,13208156,33696,13238732,33696
109,45,13331636,34011,13362604,34011
110,45,13455508,34327,13486868,34327
111,45,13579380,34643,13610348,34643
112,45,13702860,34958,13734220,34958
113,45,13827124,35275,13857700,35275
114,45,13950604,35590,13981964,35590
115,45,14074868,35907,14105444,35907
116,45,14198348,36222,14228924,36222
117,45,14321828,36537,14352796,36537
118,45,14445308,36852,14476276,36852
119,45,14569572,37169,14600148,37169
120,45,14693052,37484,14724020,37484
121,45,14816924,37800,14847500,37800
122,45,14940796,38116,14971764,38116
123,45,15064276,38431,15095244,38431
124,45,15188540,38748,15212452,38748
125,45,15312020,39063,15335932,39063
126,45,15435500,39378,15460588,39378
127,45,15559372,39694,15583676,39694
128,45,15683244,40010,15708724,40010
129,45,15807116,40326,15832204,40326
130,45,15930596,40641,15956468,40641
131,45,16054468,40957,16080732,40957
132,45,16178340,41273,16204996,41273
133,45,16302212,41589,16329260,41589
134,45,16425692,41904,16452348,41904
135,45,16549564,42220,16577004,42220
136,45,16672652,42534,16700092,42534
137,45,16797308,42852,16825140,42852
138,45,16920396,43166,16948620,43166
139,45,17044268,43482,17073276,43482
140,45,17168140,43798,17197148,43798
141,45,17292012,44114,17321804,44114
142,45,17415884,44430,17445676,44430
143,45,17539364,44745,17569156,44745
144,45,17662844,45060,17693420,45060
145,45,17786716,45376,17817292,45376
146,45,17910588,45692,17941556,45692
147,45,18034068,46007,18065036,46007
148,45,18158332,46324,18189300,46324
149,45,18281812,46639,18312780,46639
150,45,18406076,46956,18436652,46956
151,45,18529556,47271,18560524,47271
152,45,18652644,47585,18683612,47585
153,45,18776908,47902,18807484,47902
154,45,18900388,48217,18931356,48217
155,45,19024260,48533,19054836,48533
156,45,19148132,48849,19178708,48849
157,45,19272004,49165,19303364,49165
158,45,19395876,49481,19426060,49481
159,45,19519748,49797,19551108,49797
160,45,19643228,50112,19673804,50112
161,45,19766708,50427,19797284,50427
162,45,19890580,50743,19921156,50743
163,45,20014452,51059,20038756,51059
164,45,20138324,51375,20163020,51375
165,45,20261412,51689,20286500,51689
166,45,20386068,52007,20411156,52007
167,45,20509156,52321,20534636,52321
168,45,20633420,52638,20659684,52638
169,45,20756900,52953,20783164,52953
170,45,20880380,53268,20907036,53268
171,45,21004252,53584,21030908,53584
172,45,21128124,53900,21155564,53900
173,45,21251604,54215,21279436,54215
174,45,21375476,54531,21403308,54531
175,45,21499348,54847,21527964,54847
176,45,21622828,55162,21651836,55162
177,45,21747092,55479,21776492,55479
178,45,21870572,55794,21899972,55794
179,45,21994444,56110,22023844,56110
180,45,22117924,56425,22147716,56425
181,45,22241796,56741,22272372,56741
182,45,22365668,57057,22395852,57057
183,45,22489148,57372,22520116,57372
184,45,22613020,57688,22643988,57688
185,45,22736892,58004,22767860,58004
186,45,22860764,58320,22891732,58320
187,45,22984244,58635,23014820,58635
188,45,23108116,58951,23139476,58951
189,45,23231204,59265,23262172,59265
190,45,23355860,59583,23386828,59583
191,45,23479340,59898,23509916,59898
192,45,23603212,60214,23633788,60214
193,45,23727084,60530,23757660,60530
194,45,23850564,60845,23881532,60845
195,45,23974828,61162,24004620,61162
196,45,24097916,61476,24128884,61476
197,45,24221788,61792,24251972,61792
198,45,24345268,62107,24376236,62107
199,45,24469532,62424,24493444,62424
