Time,Goodput
1.0001,90732
2.0001,124898
3.0001,115048
4.0001,34672
5.0001,70132
6.0001,110320
7.0001,120170
8.0001,124898
9.0001,124898
10.0001,124898
11.0001,125292
12.0001,124898
13.0001,124898
14.0001,124898
15.0001,125292
16.0001,124898
17.0001,124898
18.0001,124898
19.0001,125292
20.0001,124898
21.0001,124898
22.0001,124898
23.0001,125292
24.0001,124898
25.0001,124898
26.0001,125292
27.0001,124898
28.0001,124898
29.0001,124898
30.0001,125292
31.0001,124898
32.0001,124898
33.0001,124504
34.0001,125292
35.0001,124898
36.0001,124898
37.0001,124898
38.0001,125292
39.0001,124898
40.0001,124898
41.0001,124898
42.0001,125292
43.0001,124898
44.0001,124898
45.0001,124898
46.0001,125292
47.0001,124898
48.0001,124898
49.0001,125292
50.0001,124898
51.0001,124898
52.0001,124898
53.0001,125292
54.0001,124898
55.0001,124898
56.0001,124898
57.0001,125292
58.0001,124898
59.0001,124898
60.0001,124898
61.0001,125292
62.0001,124898
63.0001,124898
64.0001,124898
65.0001,125292
66.0001,124898
67.0001,124898
68.0001,124898
69.0001,125292
70.0001,124898
71.0001,124898
72.0001,124898
73.0001,125292
74.0001,124898
75.0001,124898
76.0001,125292
77.0001,124898
78.0001,124898
79.0001,124898
80.0001,125292
81.0001,124898
82.0001,124898
83.0001,124898
84.0001,125292
85.0001,124110
86.0001,124504
87.0001,124504
88.0001,124504
89.0001,124110
90.0001,124504
91.0001,124110
92.0001,124504
93.0001,124504
94.0001,124110
95.0001,124898
96.0001,124110
97.0001,124504
98.0001,124504
99.0001,123716
100,124898
101,124110
102,124504
103,124110
104,124898
105,124110
106,124898
107,123716
108,124504
109,124110
110,124504
111,124504
112,124110
113,124898
114,124110
115,124898
116,124110
117,124110
118,124504
119,124504
120,124110
121,124504
122,124504
123,124110
124,124898
125,124110
126,124504
127,124110
128,124504
129,124504
130,124110
131,124504
132,124504
133,124504
134,124110
135,124504
136,123716
137,125292
138,123716
139,124504
140,124504
141,124504
142,124504
143,124110
144,124110
145,124504
146,124504
147,124504
148,124504
149,124110
150,124898
151,124110
152,123716
153,124898
154,124110
155,124898
156,124110
157,124504
158,124504
159,124504
160,124110
161,124110
162,124504
163,124504
164,124504
165,123716
166,125292
167,123716
168,124898
169,124110
170,124110
171,124504
172,124504
173,124110
174,124504
175,124504
176,124110
177,124898
178,124110
179,124504
180,124110
181,124504
182,124504
183,124110
184,124504
185,124504
186,124504
187,124110
188,124504
189,123716
190,125292
191,124110
192,124504
193,124504
194,124110
195,124898
196,123716
197,124504
198,124110
199,124898
199.999,123716
