Time,Threshold
0.0,0
0.083712,4294967295
1.62142,4312
3.24867,5844
5.11792,6130
5.32888,6458
5.87035,6538
6.2513,6485
6.6417,6427
7.0384,6395
7.64674,6398
8.05965,6397
8.45365,6374
8.88547,6350
9.31099,6339
9.73651,6331
10.1526,6324
10.5686,6299
11.1833,6289
11.5836,6306
11.9807,6314
12.3842,6313
12.7876,6327
13.4023,6359
13.8247,6382
14.2407,6380
14.6599,6365
15.076,6348
15.4889,6337
15.9113,6336
16.3242,6345
16.9483,6356
17.3644,6359
17.7773,6356
18.1965,6357
18.6188,6360
19.4636,6363
19.886,6373
20.3083,6388
20.7338,6398
21.3611,6400
21.7708,6390
22.1838,6364
22.5904,6332
23.0001,6306
23.4036,6295
24.0182,6289
24.4185,6293
24.8188,6299
25.6194,6315
26.2152,6345
26.6186,6363
27.0315,6369
27.4539,6371
27.8731,6364
28.2923,6370
28.7147,6391
29.3483,6407
29.7706,6422
30.193,6432
30.6185,6431
31.0346,6411
31.4506,6380
31.8604,6349
32.2702,6328
32.6799,6322
33.2849,6341
33.7009,6369
34.1076,6368
34.5205,6358
34.9365,6345
35.3557,6356
35.7813,6379
36.4085,6384
36.8214,6378
37.2343,6360
37.6504,6331
38.0665,6296
38.4731,6260
38.8765,6264
39.4817,6306
39.8852,6330
40.2918,6333
40.711,6336
41.1334,6338
41.5494,6334
41.9655,6337
42.5959,6352
43.0088,6366
43.4249,6359
43.8378,6343
44.257,6341
44.6825,6343
45.1049,6348
45.5241,6359
45.9496,6369
46.5769,6377
46.9961,6385
47.4121,6383
47.8282,6365
48.2443,6345
48.6572,6333
49.0796,6336
49.4988,6348
50.1229,6359
50.5389,6362
50.9518,6359
51.7934,6362
52.6382,6365
53.0605,6374
53.4829,6389
53.9084,6399
54.5357,6401
54.9454,6391
55.3583,6365
55.7649,6333
56.1747,6307
56.5782,6296
57.1928,6289
57.5931,6293
57.9934,6300
58.794,6315
59.3897,6345
59.7932,6363
60.2061,6369
60.6285,6371
61.0477,6364
61.4669,6370
61.8893,6391
